"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","order","continentOcean","individualCount"
"1","2021-02-07 08:35:28-03","MN","R","225195","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W. Weber","Neves, B.","2019","08","31","Neves, B.F.S.","348","2015","08","20","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","R010016880","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:28-03","MN","R","225194","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W. Weber","Neves, B.","2019","08","31","Neves, B.F.S.","347","2015","08","20","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","R010016879","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:28-03","MN","R","199076","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W. Weber",NA,NA,NA,NA,"Leme, E.M.C.","638","2011","06",NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","R010016883","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:28-03","MN","R","225204","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W. Weber","Neves, B.","2019","08","31","Neves, B.F.S.","357","2015","08","23","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.7461013793945","-20.040599822998","31867","R010016881","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:28-03","MN","R","187002","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W. Weber",NA,NA,NA,NA,"Costa, A.F.","526","1995","10","17","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","R010016884","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:28-03","MN","R","193069","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W. Weber",NA,NA,NA,NA,"Costa, A.F.","544","1995","10","17","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","R010016882","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","1011",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","A. Costa/30-VIII-2001",NA,NA,NA,"W. Pizziolo","298","1986","03","07","Brasil","Espírito Santo","Santa Teresa","-40.576944","-19.963056",NA,"MBML001011",NA,"Valsugana Velha","40W34'37","19S57'47","Epífita sobre arbusto, a 60cm do solo, folhas verdes ligeiramente rosadas, bainha com mancha rosa, brácteas vermelhas, flores verdes, semi-sombra, mata, encosta.","MBML001011",NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","1013",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","A. Costa/30-VIII-2001",NA,NA,NA,"H. Q. Boudet Fernandes","1169","1985","05","28","Brasil","Espírito Santo","Santa Teresa","-40.635556","-19.925556",NA,"MBML001013",NA,"Country Club","40W38'8","19S55'32","Epífita, ciófila, em capoeirão, folhas com base vinácea, inflorescência com brácteas vermelhas, cálice amarelo com ápice verde claro, corola, estames e pistilo amarelos passando a marrons.","MBML001013",NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","12862",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","L. Kollmann/04-12-2002",NA,NA,NA,"V. Demuner; et al","1186","2000","06","20","Brasil","Espírito Santo","Santa Teresa","-40.824722","-19.888889",NA,"MBML012862",NA,"Pedra Alegre","40W49'29","19S53'20","Epífita 3m, brácteas vermelhas, pétalas amarelas. Capoeirão sobre a rocha.","MBML012862",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","15629",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"L. Kollmann; et al","5079","2001","11","28","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,"MBML015629",NA,"Reserva Biológica Augusto Ruschi - Nova Lombardia","40W33'11","19S54'27","Epífita na sombra. Folhas verdes. Brácteas escapais verdes. Flores laranjas, ápice verdes, pétalas amarelas. Sépalas amarelas com beira laranja.","MBML015629",NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","16727",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","L. Kollmann/04-12-2002",NA,NA,NA,"A. P. Fontana; et al","367","2002","06","09","Brasil","Espírito Santo","Santa Teresa","-40.620556","-19.931111",NA,"MBML016727",NA,"São Lourenço","40W37'14","19S55'52","Epífita, folhas verdes arroxeadas, inflorescência alaranjada, brácteas alaranjdas, flores com cálice amarelo esverdeado.","MBML016727",NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","20959",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","L. Kollmann/17-06-2008",NA,NA,NA,"A. P. Fontana; et al","592","2003","05","10","Brasil","Espírito Santo","Santa Teresa","-40.620556","-19.931111",NA,"MBML020959",NA,"São Lourenço","40W37'14","19S55'52","Epífita, brácteas vermelhas cálice amarelo com ápice verde e corola marrom.","MBML020959",NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","21422",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","L. Kollmann/17-06-2008",NA,NA,NA,"R.R. Vervloet; et al","2549","2003","08","16","Brasil","Espírito Santo","Santa Teresa","-40.620556","-19.931111",NA,"MBML021422",NA,"São Lourenço","40W37'14","19S55'52","Epífita, em tronco caído, folhas de cor verde com base vinho, brácteas escapais e florais de cor vermelha, sépalas amarelas, pétalas passadas de cor marrom. Fundo de vale, dossel 18m.","MBML021422",NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","24907",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","L. Kollmann/19-07-2005",NA,NA,NA,"L. Kollmann; et al","8133","2005","07","19","Brasil","Espírito Santo","São Roque do Canaã","-40.775278","-19.796944",NA,"MBML024907",NA,"Alto Misterioso","40W46'31","19S47'49","Epífita na sombra, brácteas vermelhas, flores amarelas.","MBML024907",NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","24961",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","L. Kollmann/21-11-2005",NA,NA,NA,"L. Kollmann; et al","8325","2005","09","16","Brasil","Espírito Santo","São Roque do Canaã","-40.775278","-19.796944",NA,"MBML024961",NA,"Alto Misterioso","40W46'31","19S47'49","Epífita na sombra, brácteas vermelhas, flores amarelas.","MBML024961",NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","25478",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","L. Kollmann/17-06-2008",NA,NA,NA,"A. P. Fontana; et al","1574","2005","07","16","Brasil","Espírito Santo","São Roque do Canaã","-40.775278","-19.796944",NA,"MBML025478",NA,"Alto Misterioso","40W46'31","19S47'49","Epífita, umbrófila, brácteas vermelhas, flores secas.","MBML025478",NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","32312",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","L. Kollmann/05-11-2007",NA,NA,NA,"L. Kollmann; A. P. Fontana","10099","2007","11","05","Brasil","Espírito Santo","São Roque do Canaã","-40.775278","-19.796944",NA,"MBML032312",NA,"Alto Misterioso","40W46'31","19S47'49","Epífita na sombra, brácteas verdes.","MBML032312","800","800",NA,NA,NA,NA
"18","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","4413",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","A. Costa/30-VIII-2001",NA,NA,NA,"H. Q. Boudet Fernandes","2313","1988","02","19","Brasil","Espírito Santo","Alfredo Chaves","-40.917222","-20.471667",NA,"MBML004413",NA,"São Bento de Urânia","40W55'2","20S28'18","Epífita folha com mancha vinácea na base. inflorescência ereta com brácteas vermelhas e flores amarelas. Herb/culta.","MBML004413",NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","4496",NA,"Plantae","Bromeliaceae","Vriesea","seideliana","Vriesea seideliana","W.Weber","A. Costa/1995",NA,NA,NA,"W. Boone","1159","1988","04","15","Brasil","Espírito Santo","Santa Teresa","-40.6","-19.936111",NA,"MBML004496",NA,"Museu de Biologia Mello Leitão","40W36'0","19S56'10","Planta com inflorescência de brácteas vermelhas, cálice e corola amarelas, verde no ápice. Culta/Herb.","MBML004496",NA,NA,NA,NA,NA,NA
