"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","infraspecificEpithet","class","relatedCatalogItem","typeStatus","dayIdentified","fieldNumber","individualCount","sex"
"1","2020-09-23 10:36:45-03","E","E","315798","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","Laessoe, T. & Silva, T.","53306","1992","03","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319804","<a href=http://data.rbge.org.uk/herb/E00315798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:45-03","E","E","44151","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","Ratter, J.A., De Santos, R.R. et al",NA,"1968","05","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:51585","<a href=http://data.rbge.org.uk/herb/E00044151 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","910831","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","W. R. Anderson","10411","1973","05","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910831","Magnoliophyta","Dioscoreales","Mart.","P. J. M. Maas","Goiás","Cocalzinho de Goiás","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","-48.80861","-15.7880556","1230","1230","NY00910831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910844","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","Y. E. J. Mexia","5874-a","1931","05","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910844","Magnoliophyta","Dioscoreales","Mart.",NA,"Minas Gerais","Diamantina","Districto Diamantina. Barao. Upper Serra de Capao.","-43.6003","-18.2494","1240","1240","NY00910844_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02460807","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","B. Maguire","47126","1960","07","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673508' target='other'> <mi>dwc_moreinfo</mi></a>","NY02460807","Magnoliophyta","Dioscoreales","Mart.",NA,"Amapá",NA,"Rio Oiapoque. Near Santo Antonio.","-51.8","3.88",NA,NA,"NY02460807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","910834","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","H. S. Irwin","21961","1969","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910834","Magnoliophyta","Dioscoreales","Mart.","F. P. Jonker","Minas Gerais",NA,"ca. 27 km S.W. of Diamantina on road to Gouveia. Serra do Espinhaço.","-43.73","-18.42","1300","1300","NY00910834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2230691","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","G. Davidse","17690","1980","03","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2395194' target='other'> <mi>dwc_moreinfo</mi></a>","NY02230691","Magnoliophyta","Dioscoreales","Mart.",NA,"Pará","Vigía","Ca. 9 km southeast of Vigia along highway (PA-140) to Belém.","-48.066667","-0.916667","50","50","NY02230691_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","910836","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","H. S. Irwin","29276","1971","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910836","Magnoliophyta","Dioscoreales","Mart.","P. J. M. Maas","Minas Gerais",NA,"Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 12 km W. of Barão de Cocais","-43.4927778","-20.1263","1500","1500","NY00910836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2230688","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","G. T. Prance","9172","1969","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2395188' target='other'> <mi>dwc_moreinfo</mi></a>","NY02230688","Magnoliophyta","Dioscoreales","Mart.",NA,"Roraima",NA,"Dormida, foothills of Serra da Lua.","-60.183333","2.416667",NA,NA,"NY02230688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02230681","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","W. R. Anderson","10660","1974","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2395165' target='other'> <mi>dwc_moreinfo</mi></a>","NY02230681","Magnoliophyta","Dioscoreales","Mart.",NA,"Pará",NA,"Alto Tapajós, Rio Cururú. Marshy campo and low wet forest near canal SE of Missão Cururú.","-57.516667","-7.583333","140","140","NY02230681_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","910838","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","L. B. Damazio","37236","1908","06","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910838","Magnoliophyta","Dioscoreales","Mart.","L. B. Damazio","Minas Gerais",NA,"Serra do Cipó","-43.539757","-19.388386",NA,NA,"NY00910838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","910833","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","H. S. Irwin","16334","1966","05","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910833","Magnoliophyta","Dioscoreales","Mart.","F. P. Jonker","Mato Grosso",NA,"Ca. 86 km. N. of Xavantina. Serra do Roncador.","-52.08","-13.92","550","550","NY00910833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1146577","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","P. G. Delprete","10051","2007","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1351183' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146577","Magnoliophyta","Dioscoreales","Mart.","P. J. M. Maas; H. Maas-van de Kamer","Goiás","Pirenópolis","Parque Estadualdos Pireneus. Trilha da Estrada principal para o Morro do Cabeludo.","-48.8331","-15.8083","1150","1150","NY01146577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","910835","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","H. S. Irwin","22715","1969","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910835","Magnoliophyta","Dioscoreales","Mart.","P. J. M. Maas","Minas Gerais",NA,"Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.18","1300","1300","NY00910835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2230687","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","W. C. Steward","20334","1974","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2395186' target='other'> <mi>dwc_moreinfo</mi></a>","NY02230687","Magnoliophyta","Dioscoreales","Mart.",NA,"Amazonas",NA,"Manaus-Caracaraí Highway. Forest at km 130","-60.086031","-1.8595815",NA,NA,"NY02230687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","910842","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor","J. A. Ratter","R.1369","1968","05","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910842","Magnoliophyta","Dioscoreales","Mart.",NA,"Mato Grosso",NA,"Lagoa de Leo, 8 km. SW of the Base Camp of the Expedition (c 270 km. N. of Xavantina){.","-51.87","-12.9",NA,NA,"NY00910842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
