"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:34-03","E","E","319855","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","spruceana","Coccoloba spruceana","unspecified kind of","Spruce, Richard","3185","1905","01","26","E. Tropical South America","BR","Ad flumina Casiquiari, Vasiva et Pacimoni","herbarium specimen of unspecif","BGBASE:324920","<a href=http://data.rbge.org.uk/herb/E00319855 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","323118","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","spruceana","Coccoloba spruceana","isotype","R. Spruce","3185","1853",NA,NA,"South America",NA,"Ad flumina Pasiquiari, Vasiva et Pacimoni","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00323118","Magnoliophyta","Caryophyllales","Lindau","NY00323118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02200138","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","spruceana","Coccoloba spruceana",NA,"M. B. Silva","2503","1969","09","04","South America","Brazil","Km 35 da estrada do Palhão, arredores do Acampamento do Igarapé Curupira.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2333646' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200138","Magnoliophyta","Caryophyllales","Lindau","NY02200138_01","Pará","Santarém","-54.7083","-2.44306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02200136","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","spruceana","Coccoloba spruceana",NA,"D. C. Daly","1259","1981","11","08","South America","Brazil","Rio Caraipé, approx. 60km from Tucuruí, SW on road serving Fazendas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2333644' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200136","Magnoliophyta","Caryophyllales","Lindau","NY02200136_01","Pará",NA,"-49.9007982","-4.1911223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02200137","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","spruceana","Coccoloba spruceana",NA,"B. W. Nelson","602","1980","10","06","South America","Brazil","Near Sena Madureira","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2333645' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200137","Magnoliophyta","Caryophyllales","Lindau","NY02200137_01","Acre","Sena Madureira","-68.67","-9.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","821671","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","striata","Coccoloba striata",NA,"R. P. Belém","3111","1967","01","13","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821671","Magnoliophyta","Caryophyllales","Benth.","NY00821671_01","Bahia","Maraú","-39.0144","-14.1033","E. de Melo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01198689","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","striata","Coccoloba striata",NA,"S. C. de Sant'Ana","616","1996","07","25","South America","Brazil","Una Biological Reserve; Mata Higrófila sul baiana","sheet",NA,"Site: R. Coleta feitas na Picada da Bandeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510501' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198689","Magnoliophyta","Caryophyllales","Benth.","NY01198689_01","Bahia","Una","-39.0833","-15.15","D. E. Atha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00863959","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","striata","Coccoloba striata",NA,"R. M. Harley","11135","1968","11","20","South America","Brazil","Rio Suia Missu, c. 20 km N. of the ferry and c. 50 km N.N.W. of the base camp","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863959","Magnoliophyta","Caryophyllales","Benth.","NY00863959_01","Mato Grosso",NA,"-51.77","-12.82","E. de Melo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-02-01 13:56:00-02","NY","NYBG","484931","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","striata","Coccoloba striata",NA,"A. Fernandez","3104","1986","05",NA,"South America","Venezuela","Cerro a 3 km N.W. de El Manganeso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484931","Magnoliophyta","Caryophyllales",NA,NA,"Bolívar","Piar","-62.15","7.98","R. A. Howard","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","821672","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","striata","Coccoloba striata",NA,"S. A. Mori","14026","1981","05","14","South America","Brazil","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 138-A.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821672","Magnoliophyta","Caryophyllales","Benth.","NY00821672_01","Bahia","Una","-39.1202492","-15.1148921","E. de Melo","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
