"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:41:33-03","E","E","77763","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","Jansen-jacobs, M.J., Ter Welle, B.J.H., Simmons, C., Jacobs-brouwer, A., James, V. & Andrew, R.","4434","1995","07","13","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:85895","<a href=http://data.rbge.org.uk/herb/E00077763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00077763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","156992","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","Costa, L.V.","28842","1993","11","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:167196","<a href=http://data.rbge.org.uk/herb/E00156992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00156992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:33-03","E","E","296315","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","Smith, Herbert Huntington","407",NA,NA,NA,"W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:311572","<a href=http://data.rbge.org.uk/herb/E00296315 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296315","isotype","Departamento de Magdalena","Santa Marta","762","762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:33-03","E","E","134633","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","Dubs, Balthasar","2000","1995","12","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143051","<a href=http://data.rbge.org.uk/herb/E00134633 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","194312","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","W. L. Balée","2201","1986","05","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00194312",NA,"Maranhão","Ka'apor Indian Reserve. Inventory of 80 year old fallow",NA,NA,"Magnoliophyta","Sapindales","(L.) Sleumer","T. D. Pennington","Monção","-45.25","-3.5","NY00194312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 11:54:00-03","NY","NYBG","865840","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","J. M. Pires","10055",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865840",NA,"Acre",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"T. D. Pennington","Rio Branco","-67.8097","-9.9747","NY00865840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","390020","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","P. R. J. Bamps","5033","1975","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390020",NA,"Rio de Janeiro","Rio Bonito","100","100","Magnoliophyta","Sapindales","(L.) Sleumer",NA,NA,"-42.62","-22.72","NY00390020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00837132","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","E. P. Heringer","5585","1980","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837132",NA,"Distrito Federal","Bacia do Rio São Bartolomeu",NA,NA,"Magnoliophyta","Sapindales","(L.) Sleumer","T. D. Pennington","Brasília","-47.9294","-15.7797","NY00837132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","695650","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","F. A. González","3288","1995","01","05","South America","Colombia","sheet",NA,"Collection date as: 05 Ene 1995 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00695650",NA,"Caldas","Orillas del río Guarinó, entre El Retén y La Victoria","400","500","Magnoliophyta","Sapindales","(L.) Sleumer","T. D. Pennington","Victoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00837176","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","T. C. Plowman","8382","1980","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837176",NA,"Tocantins","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho. Goiás.","400","500","Magnoliophyta","Sapindales","(L.) Sleumer","T. D. Pennington","Presidente Kennedy","-48.6008","-8.5006","NY00837176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
