"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","locality","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","sex","class","infraspecificEpithet","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:47-03","UNESC","CRI","4549","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.","Elaine T. G. Carvalho","D. Mondardo; V. Manfredini","1995","09","22","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI005511","CRI005511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","3771","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.","Jane Bento Knabben","Jane B. Knabben","1986","10","20","Brasil","Santa Catarina","Tubarão","-49.007222","-28.467222","49º0'26''W","28º28'2''S","CRI005514","CRI005514","11","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","1417","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.","Denise Nunes da Silva","Denise Nunes da Silva","1992","10","20","Brasil","Santa Catarina","Tubarão","-49.007222","-28.467222","49º0'26''W","28º28'2''S","CRI005512","CRI005512","11","11","Habitat: solo arenoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:41-03","UNESC","CRI","14725","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.","Juliana Fernandes","Juliana Fernandes","2001","10","25","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI014050","CRI014050","46","46","Habito: Arbóreo","2001","11","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:41-03","UNESC","CRI","12583","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.","Aline Votri Guislon & Peterson T. Padilha","Alexandre Medeiros","2017","05","08","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010790",NA,NA,NA,"Coleta 275. Habito: Arbustivo","2017","08","18","Margem da BR 101 (Lado Quilombola)","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:54-03","E","E","167525","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava",NA,NA,"Fiebrig, K.","1905","03","22","PY",NA,NA,NA,NA,NA,NA,"E00167525",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00167525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"4038","E. Tropical South America","herbarium specimen of unspecif","BGBASE:175925",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:54-03","E","E","167680","PreservedSpecimen","Plantae","Myrtaceae","Psidium","pomiferum","Psidium pomiferum",NA,NA,"Schomburgk, Robert Hermann",NA,NA,NA,"GY",NA,NA,NA,NA,NA,NA,"E00167680",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00167680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"110","E. Tropical South America","herbarium specimen of unspecif","BGBASE:176619","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1413950","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.","M. L. Kawasaki","T. B. Croat","2001","11","18","Brazil","Acre","Cruzeiro do Sul","-72.8297","-8.1342",NA,NA,"NY01413950","NY01413950_01","230","230","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278581' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Municipio Cruzeiro do Sul; vicinity of Vista Alegre.",NA,NA,"85468","South America","sheet",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","41828","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.",NA,"B. C. Bennett","1988","08","26","Ecuador","Morona-Santiago",NA,"-78.15","-2.52",NA,NA,"NY00041828",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278577' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Centro Shuar Yukutais. 10km S Sucua, Rio Upano, near chacra of Domingo Antich",NA,NA,"3326","South America","sheet",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","202238","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.",NA,"H. T. Beck","1993","01","30","Ecuador","Esmeraldas",NA,"-78.67","1.25",NA,NA,"NY00202238",NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278583' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Awá Reserve. Community of Mataje",NA,NA,"1816","South America","sheet",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
