"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","1534","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis","Aubl.","Inês Cordeiro","R. Negrelle; C. Londero","1993","02","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI002459","CRI002459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:17-03","E","E","247496","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis",NA,NA,"Richards, P.W.","1968","08","10","BR","Mato Grosso",NA,"Expedition Base Camp. Trapia.","-51.766667","-12.816667","-51.766667","-12.816667",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00247496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247496",NA,"6643","E. Tropical South America","herbarium specimen of unspecif","BGBASE:271546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:17-03","E","E","224824","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis",NA,NA,NA,"1987","05","29","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00224824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00224824",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:235601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:17-03","E","E","40833","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis",NA,NA,NA,NA,NA,NA,"PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00040833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040833",NA,"1654","W. Tropical South America","herbarium specimen of unspecif","BGBASE:49105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:17-03","E","E","202083","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis",NA,NA,"Pennington, T.D.; Pennington, R.T.; Daza, A.","2002","02","17","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202083 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202083",NA,"17342","W. Tropical South America","herbarium specimen of unspecif","BGBASE:209680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:39:17-03","E","E","161382","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis",NA,NA,"Ramos, P.C.M.","1990","10","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161382 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161382",NA,"92","E. Tropical South America","herbarium specimen of unspecif","BGBASE:169043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","58539","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis nervosa","Müll.Arg.",NA,"G. Gardner",NA,NA,NA,"Brazil","Ceará",NA,"Brasil trop. Prov. Ceará",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058539","NY00058539_01","1836","South America","sheet",NA,"Magnoliophyta","Malpighiales","nervosa","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1551076","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis","Aubl.","K. J. Wurdack","P. Acevedo-Rodríguez","2008","08","15","Brazil","Amazonas","São Gabriel da Cachoeira","Along Rio Negro","-67.06236","0.14569",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1908772' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551076","NY01551076_01","14612","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1146267","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis","Aubl.",NA,"M. L. S. Guedes","2007","12","07","Brazil","Bahia","Andaraí","Chapada Diamantina. Caminho para o Paty.","-41.3403","-12.8036",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336291' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146267","NY01146267_01","14192","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4081966","PreservedSpecimen","Plantae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis","Aubl.",NA,"J. C. Solomon","1981","09","12","Bolivia","El Beni","Vaca Díez","35 km E of Riberalta on the road to Guayaramerín","-65.75","-11.08",NA,NA,"230",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4392482' target='other'> <mi>dwc_moreinfo</mi></a>","NY04081966",NA,"6252","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
