"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","class","fieldNumber","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1182082","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom","J. N. Nakajima","P. G. Delprete","8978","2004","10","24","South America","Brazil","Goiás","Cocalzinho de Goiás","Serra dos Pireneus, Faz. Capitão do Mato. Após a 2° porteira, saindo da Faz. Capitão do Mato, sentido para Morro Cabeludo. Área de Cerrado Sensu.","-48.8","-15.8","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397088' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182082","NY01182082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00924544","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","phoenix","Inulopsis phoenix","G.L.Nesom","H. E. Robinson","H. S. Irwin","9350","1965","10","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 13 km N.W. of Veadeiros","-47.60183","-14.03362","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924544","NY00924544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:17-03","UFRJ","RFA","13074","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom","N. Nascimento D. Medina","P. Occhioni","5148","1972","06","28",NA,"Brasil","Minas Gerais","Minas Gerais","Estrada da Conceição da Cerra. Serra do Cipó.",NA,NA,"1450","1450",NA,"Planta 10cm, escapo 20cm, flor branca.","RFA39549",NA,"2005","08","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-24 13:06:29-03","MN","R","231247","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom",NA,"Santiago, D.S. 278; Alves, R.J.V. & Antunes, K.",NA,"2012","11","24",NA,"Brasil","Minas Gerais","Alagoa",NA,"-44.6418991088867","-22.1706008911133",NA,NA,NA,"Herbário Leopoldo Krieger - CESJ: 61025","R010032204",NA,NA,NA,NA,"13155","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:31:53-03","UFJF","CESJ","38815","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom","R.L.Esteves","F.M. Ferreira","262","2002","11","22","América do Sul","Brasil","Minas Gerais","Baependi","Toca dos Urubus","-44.8899993896484","-21.9589004516602",NA,NA,NA,"Erva ca. 15 cm em campo rupestre, solo arenoso, flores do raio brancas e do disco amarelas.","CESJ038815","CESJ038815","2004","08","28","29865","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:31:53-03","UFJF","CESJ","9087","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom","A.M. Teles","L. Krieger","CESJ9087","1970","09","05","América do Sul","Brasil","Minas Gerais","Entre Rios de Minas",NA,"-44.065601348877","-20.6707992553711",NA,NA,NA,"No campo. A 1ª flor depois da queimada.","CESJ009087","CESJ009087","2005","07","04","20620","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:31:53-03","UFJF","CESJ","61025","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom",NA,"D.S. Santiago; K. Antunes; R.J.V. Alves","278","2012","11","24","América do Sul","Brasil","Minas Gerais","Alagoa","Parque Estadual da Serra do Papagaio, Pico do Santo Agostinho (Garrafão). Campo de altitude (topo).","-44.6418991088867","-22.1706008911133",NA,NA,NA,"Erva, ca. 50 cm. Flores do raio brancas, flores do disco amarela.","CESJ061025",NA,NA,NA,NA,"13155","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:31:53-03","UFJF","CESJ","1487","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom","A.M. Teles","L. Roth","CESJ1487","1955","08","18","América do Sul","Brasil","Minas Gerais","Belo Horizonte","Serra do Curral - Barreiro","-43.937801361084","-19.9207992553711",NA,NA,NA,"erva de campo-cerrado, em flor so após a queimada.","CESJ001487","CESJ001487","2005","07","04","17082","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:23-03","UNICAMP","UEC","130260","S","Plantae","Magnoliopsida",NA,"Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom","Heiden, G","Yamamoto, K; Kinoshita, LS; Simões, AO; Farias, R; Silva, RR; Silva, LF; Scarpa, F","02/7","2012","09","24",NA,"Brazil","Minas Gerais","Lagoa Santa","Proximidades da cidade.","-43.895","-19.493333",NA,NA,NA,"Erva; brácteas verdes; corola amarela.; Ambiente de cerrado na beira da estrada de asfalto.","UEC127184","UEC127184","2017","10","18",NA,NA,"-43.895","-19.493333",NA,NA,NA,NA,NA
"10","2021-03-01 16:24:23-03","UNICAMP","UEC","121088","S","Plantae","Magnoliopsida",NA,"Asteraceae","Inulopsis","camporum","Inulopsis camporum","(Gardner) G.L.Nesom","Teles, AM","Aparecida da Silva, M","4490","2000","09","13",NA,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Projeto Fogo","-47.883333","-15.933333","1100","1100",NA,"Erva heliófita ca. 30 cm, capítulos amarelos, flores liguladas brancas, caule próximo às raízes de cor branca depois vinho e próximo a folhagem verde, folhagem jovem pubescentes concolores verde clara.; Campo sujo com queima bienal m","UEC120788","UEC120788","2004","10","15",NA,NA,"-47.883333","-15.933333",NA,NA,NA,NA,NA
