"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01176376","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","T. M. Koyama","G. Davidse","18132","1980","04","09","South America","Brazil","Pará","Capanema","Rio Quatipuru, in vicinity of Miraselvas, ca. 30 km by road west of Braganca","-46.98","-1.07","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409627' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176376","NY01176376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02618582","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.",NA,"R. Spruce","1783","1851","03",NA,"South America","Brazil",NA,NA,"Prope Barra, Prov. Rio Negro.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2921933' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618582","NY02618582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:28-03","PUCPR","HUCP","10134","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Bessa, FA","Bessa, FA","048","1996","08","13",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,"HUCP00004974","HUCP00004974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:28-03","PUCPR","HUCP","10135","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Irgang, B","Bessa, FA","011","1996","07","16",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:28-03","PUCPR","HUCP","10136","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Bessa, FA","Bessa, FA","039","1996","08","13",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:28-03","PUCPR","HUCP","10137","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Irgang, B","Bessa, FA","031","1996","08","13",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,"HUCP00004840","HUCP00004840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:28-03","PUCPR","HUCP","10138","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Bessa, FA","Bessa, FA","033","1996","08","13",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:28-03","PUCPR","HUCP","10139","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Bessa, FA","Bessa, FA","043","1996","08","13",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:28-03","PUCPR","HUCP","10140","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Irgang, B","Bessa, FA","019","1996","07","17",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:28-03","PUCPR","HUCP","10141","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Irgang, B","Bessa, FA","017","1996","07","17",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-04 15:26:28-03","PUCPR","HUCP","10227","S","Plantae","Monocotiledonea",NA,"Cyperaceae","Eleocharis","confervoides","Eleocharis confervoides","(Poir.) Steud.","Bessa, FA","Bessa, FA","168","1997","02","18",NA,"Brasil","Paraná","São Mateus de Sul","Petrobrás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
