"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","fieldNumber","dayIdentified","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00933473","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","R. C. Barneby","H. S. Irwin","12986","1966","02","19","South America","Brazil","Distrito Federal","Brasília","Ca. 25 km S.W. of Brasília","-48.08168","-15.94305","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933473","NY00933473_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02681514","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"L. M. Borges","618","2012","03","25","South America","Brazil","Distrito Federal","Brasília","Gama. Rodovia DF 475; Atrás do cemitério próximo no início da rodovia. Cerrado antropizado.","-48.08522","-15.99786",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957434' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681514","NY02681514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2845","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"H. S. Irwin","7918","1965","08","28","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, ca 20 km S of Brasília.","-48.0638","-16.01719","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002845","NY00002845_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00933472","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","R. C. Barneby","B. D. Sucre","273","1965","05","25","South America","Brazil","Distrito Federal","Brasília","Parque Nacional do Gama","-47.9296989440918","-15.7797002792358",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933472","NY00933472_01",NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00933474","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","R. C. Barneby","E. P. Heringer","8974","1962","05","05","South America","Brazil","Distrito Federal","Brasília","Gama.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933474","NY00933474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:50-03","UFRJ","RFA","17679","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"E.P. Heringer","11214","1972","03","18",NA,"Brasil","Distrito Federal","Distrito Federal","Parque Municipal do Gama",NA,NA,NA,NA,NA,"Arbusto de 3m,formando várias retas,flores róseas vistosas","RFA14804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:40:07-03","EAO","IAN","119100","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"Sucre, D","273","1965","05","25","Southern America","Brasil","Distrito Federal","Brasilia","Parque nacional do GAMA. BRASÍLIA.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Pequena árvore com Mais ou menos 2,50m á 3m de altura, estames lilás e posteriomente quase branco","IAN119100",NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:40:07-03","EAO","IAN","139595","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","heringeri","Mimosa heringeri","Barneby","Barneby, RC","Sucre, D","273","1965","05","25","Southern America","Brasil","Distrito Federal","Brasília","Parque Nacional do Gama.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Pequena árvore com mais ou menos 2.50 m a 3 m de altura; estames lilas e posteriormente quase branco.","IAN139595",NA,NA,"70570","auto","1991",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-06 15:26:57-03","EPAMIG","PAMG","2335","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","L.M. Borges","M. Brandão","5383","1972","05","24",NA,"Brasil","Distrito Federal","Brasília","Gama","-47.929167","-15.78","1130","1130",NA,"Cerrado. Flores róseas em glomérulos. Unicata",NA,NA,NA,NA,NA,"2012","47° 55' 45W","15° 46' 48S",NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:29:57-03","MN","R","169853","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Barneby, R.C.","Irwin, H.S.; Grear Jr., J.W.; Souza, R. & Santos, R.R.","s.n.","1966","02","19",NA,"Brasil","Distrito Federal",NA,NA,NA,NA,"950","950",NA,NA,NA,NA,NA,NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA
