"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","604416","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","B. G. Schubert","G. Eiten","3969","1962","04","03","South America","Brazil","Maranhão","Loreto","Ilha de Balsas region, between the Rio Balsas and Parnaíba. 100 meters NE of main house of Fazenda Morros, about 35 km. south of Lorêto","-45.07","-7.38","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604416","NY00604416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 14:17:00-03","NY","NYBG","604417","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","M. Blasco Capdevila","L. B. Holm-Nielsen","2581","1973","03","28","South America","Ecuador","Guayas",NA,"3 km E of Buenos Aires (km 86 from Guayaquil)","-80.47","-2.37","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01020021","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","B. G. Schubert","G. Eiten","4072","1962","04","06","South America","Brazil","Maranhão","Loreto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. About 30 km. south of Loreto. By main house of Fazenda São Raimundo.","-45.12","-7.32","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139165' target='other'> <mi>dwc_moreinfo</mi></a>","NY01020021","NY01020021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01020023","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","B. G. Schubert","G. Eiten","4452","1962","04","30","South America","Brazil","Maranhão","Loreto","Ilha de Balsas region between the Rios Balsas & Parnaíba. By main house of Fazenda Morros, about 35 km south of Loreto","-45.07","-7.38","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139170' target='other'> <mi>dwc_moreinfo</mi></a>","NY01020023","NY01020023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","604415","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","B. G. Schubert","H. S. Irwin","31633","1971","03","06","South America","Brazil","Bahia",NA,"Valley of the Rio das Ondas. Ca. 5km E. of Barreiras",NA,NA,"500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604415","NY00604415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 12:10:00-02","NY","NYBG","604414","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","B. G. Schubert","W. R. Anderson","37110","1972","03","17","South America","Brazil","Bahia","Cocos","Ca. 5km W of Cocos","-44.5344009399414","-14.1838998794556","530","530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604414","NY00604414_01","199742","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01020024","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","procumbens","longipes","Desmodium procumbens longipes","(Mill.) Hitchc.",NA,"F. E. Drouet","2581","1935","10","09","South America","Brazil","Ceará","Maranguape","About Açude Columinjuba.","-38.6856","-3.8908",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139172' target='other'> <mi>dwc_moreinfo</mi></a>","NY01020024","NY01020024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01020022","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","B. G. Schubert","G. Eiten","3998","1962","04","05","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas & Parnaíba. About 35 km south of Lorêto. Next to house at Veados. (About 11 km. W of main house of Faz. Morros.)","-45.12","-7.38","250","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01020022","NY01020022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:41:31-03","EAO","IAN","107181","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","Amshoff, GJH","Lanjouw, J; Lindeman, JC","1433","1948","12","18","Southern America","Suriname",NA,NA,"Inter Coppename fluv. ostium et Coronie oppidum.&nf;Side of Coronie road on shell ridge.",NA,NA,NA,NA,NA,"Herb. 25 - 35 cm. tall. flowers pale pink.","IAN107181",NA,NA,NA,"1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:31-03","EAO","IAN","72186","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Desmodium","procumbens","procumbens","Desmodium procumbens procumbens","(Mill.) Hitchc.","Schubert, BG","Black, GA","13969","1951","10","27","Southern America","Brasil",NA,NA,"Território do Rio Branco, Boa Vista",NA,NA,NA,NA,NA,"Anual; flor branca.","IAN072186",NA,NA,NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-08 17:41:31-03","EAO","IAN","58379","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Desmodium","spirale",NA,"Desmodium spirale","(Sw.) DC.","Ducke, A","Pires, JM; Black, GA","1947","1950","05","24","Southern America","Brasil","Maranhão",NA,"Ilha dos Botes, duas léguas abaixo de Carolina, Rio Tocantins.",NA,NA,NA,NA,NA,"Folhas pegajosas.","IAN058379",NA,NA,NA,"1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:41:31-03","EAO","IAN","58492","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Desmodium","spirale",NA,"Desmodium spirale","(Sw.) DC.","Ducke, A","Pires, JM; Black, GA","2061","1950","05","24","Southern America","Brasil","Maranhão",NA,"Ilha dos Botes, duas léguas abaixo de Carolina, Rio Tocantins.",NA,NA,NA,NA,NA,NA,"IAN058492",NA,NA,NA,"1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-08 17:41:31-03","EAO","IAN","104855","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Desmodium","spirale",NA,"Desmodium spirale","(Sw.) DC.",NA,"Ducke, A","188","1955","06","18","Southern America","Brasil","Ceará","Fortaleza","Taperaoba, capoeira.","-38.543098449707","-3.71722006797791",NA,NA,NA,"Flor brancacenta.","IAN104855",NA,"19924","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-08 17:41:31-03","EAO","IAN","51155","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Desmodium","spirale",NA,"Desmodium spirale","(Sw.) DC.","Ducke, A","Fróes, RL; Black, GA","24703","1949","06","26","Southern America","Brasil","Pará","Marabá","Capoeira do Campo.","-49.1178016662598","-5.36860990524292",NA,NA,NA,"Anual, flor amarela.","IAN051155",NA,"262883","auto","1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-06 15:26:54-03","EPAMIG","PAMG","8625","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Desmodium","procumbens",NA,"Desmodium procumbens","(Mill.) Hitchc.","L.C.P. Lima","M. Brandão","191","1974","06","22",NA,"Brasil","Minas Gerais","Janaúba","Janaúba - Jaíba, Km 30","-43.3175","-15.803611","510","510",NA,"Latossolo vermelho, textura argilosa. Caatinga. 30 a 40 cm de altura, frutinhos pequenos romboidais. Uma duplicata",NA,NA,NA,NA,"2011","12","43° 19' 3W","15° 48' 13 S",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-06 15:26:54-03","EPAMIG","PAMG","3132","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Desmodium","procumbens",NA,"Desmodium procumbens","(Mill.) Hitchc.","L.C.P. Lima","M.L. Gavilanes","221","1975","05","05",NA,"Brasil","Minas Gerais","Brasília de Minas",NA,"-44.483333","-16.183333","900","900",NA,"Cerrado. Unicata",NA,NA,NA,NA,"2011","12","44° 29'W","16° 11'S",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-06 15:26:54-03","EPAMIG","PAMG","4482","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Desmodium","procumbens",NA,"Desmodium procumbens","(Mill.) Hitchc.","L.C.P. Lima","M. Brandão","5919","1977","09","11",NA,"Brasil","Minas Gerais","Unaí","Unaí - Cabeceiras","-46.911944","-16.351667","565","565",NA,"Unicata",NA,NA,NA,NA,"2011","12","46° 54' 43W","16° 21' 6S",NA,NA,NA,NA,NA,NA,NA
