"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","locality","occurrenceRemarks","phylum","barcode","imagecode","class","continentOcean","individualCount","preparationType"
"1","2020-11-06 15:27:02-03","EPAMIG","PAMG","44455","PreservedSpecimen","Plantae","Fabales","Fabaceae","Zornia","mitziana","Zornia mitziana","Sousa Costa","A.P.F. Perez","2009","10","M. Brandão","11667","1989","03","04","Brasil","Minas Gerais","Bonfinópolis de Minas","-45.983056","-16.5675","45° 58' 59W","16° 34' 3S","655","655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-22 10:34:36-03","EPAMIG","PAMG","56862","PreservedSpecimen","Plantae","Fabales","Fabaceae","Zornia","mitziana","Zornia mitziana","Sousa Costa",NA,NA,NA,"M. Brandão","11667","1989","02","04","Brasil","Minas Gerais","Urucuia","-45.689722","-16.115278","45° 41' 23W","16° 6' 55S","521","521","Isótipo","Bonfinópolis para Unaí","Planta rasteira de flores amarelas",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:31:33-03","UNICAMP","UEC","161707","S","Plantae",NA,"Fabaceae","Zornia","mitziana","Zornia mitziana","Sousa Costa","Fortuna-Perez, AP","2008","11","Kirkbride, MCG","1590","1982","04","15","Brazil","Distrito Federal","Brasília","-47.9","-15.95","-47.9","-15.95",NA,NA,NA,"Fazenda Água Limpa, Campo experimental da UnB. Coletada no caminho.","Erva rasteira, flores amarelas estandarte na parte central interna na cor vermelho.","Magnoliopsida","UEC024904","UEC024904",NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3230713","PreservedSpecimen","Plantae","Rosales","Fabaceae","Zornia","mitziana","Zornia mitziana","Sousa Costa",NA,NA,NA,"T. B. Cavalcanti, J. H. Kirkbride, W. Roath & G. Pereira Da Silva","415",NA,NA,NA,"Brazil","Goiás",NA,"-47.8","-17.42",NA,NA,"830",NA,NA,"BR-050. Cristalina- Ipameri; Km 88. as Margens Do Rio Imburucu, Municipio Cristalina, Cerrado",NA,NA,"US02049504","US02049504_01","Dicotyledonae","South America - Neotropics","1",NA
"5","2020-09-02 16:28:42-03","Cenargen","CEN","13218","PreservedSpecimen","Plantae",NA,"Fabaceae Faboideae","Zornia","mitziana","Zornia mitziana","Costa","M. C. Assis","1992","09","Taciana Barbosa Cavalcanti","415","1989","03","12","Brasil","GO","CRISTALINA","47.8","-17.416666","47.8","-17.416666","830","830",NA,"BR - 050. Cristalina - Ipameri; km 88, às margens do rio Imburuçú.",NA,NA,"CEN00013218","CEN00013218",NA,NA,"5","Exsicatas"
"6","2019-11-13 11:23:24-03","USP","SPF","93373","PreservedSpecimen","Plantae",NA,"Leguminosae","Zornia","mitziana","Zornia mitziana","Sousa Costa","Siniscalchi, CM","2011","07","Cavalcanti, TB","415","1989","03","12","Brasil","Goiás","Cristalina","-47.8","-17.416667","-47.8","-17.416667","830","830",NA,NA,NA,NA,"SPF00093373",NA,NA,NA,NA,NA
"7","2020-05-08 11:13:47-03","UEFS","HUEFS","30228","PreservedSpecimen","Plantae","Fabales","Leguminosae Subfam. Papilionoideae","Zornia","mitziana","Zornia mitziana","Sousa Costa","A.P.Fortuna-Perez","2008","11","Cavalcanti, T.B.","415","1989","03","12","Brasil","Goiás","Cristalina","-47.8","-17.416667","47W48'","17S25'","830","830",NA,"Br-050 Cristalina-Ipameri, km 88 às margens do Rio Imburuçu.","Solo arenoso. Relevo levemente ondulado.","Angiospermae","HUEFS0030228",NA,"Rosanae",NA,NA,NA
"8","2019-11-01 15:01:16-03","UnB","UB",NA,"PreservedSpecimen","Plantae",NA,"Fabaceae","Zornia","mitziana","Zornia mitziana","Sousa Costa","Martins, MV","2015",NA,"Kirkbride, MCG","1590","1982","04","15","Brasil","Distrito Federal","Brasília","-47.9","-15.95","-47.9","-15.95",NA,NA,NA,"Fazenda Água Limpa. Campo experimental da UnB.","Coletada no caminho da fazenda Água Limpa. DF; Erva rasteira, flores amarelas estandarte na parte central interna de cor vermelho.","Dicotyledoneae",NA,NA,NA,"Southern America",NA,NA
"9","2019-11-01 15:01:16-03","UnB","UB",NA,"PreservedSpecimen","Plantae",NA,"Fabaceae","Zornia","mitziana","Zornia mitziana","Sousa Costa","Martins, MV","2015",NA,"Kirkbride, MCG","1590","1982","04","15","Brasil","Distrito Federal","Brasília","-47.9","-15.95","-47.9","-15.95",NA,NA,NA,"Fazenda Água Limpa. Campo Experimental da UnB.","Erva rasteira, flores amarelas estandarte na parte central interna de cor vermelho.","Dicotyledoneae",NA,NA,NA,"Southern America",NA,NA
