"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","occurrenceRemarks","barcode","identifiedBy","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount"
"1","2020-02-08 09:16:50-03","NBC","NL-BOTANY","L 0369468","PreservedSpecimen","Plantae","Magnoliopsidae","Gentianales","Apocynaceae","Aspidosperma","quebracho","Aspidosperma quebracho","Schltdl.","Unknown","Southern America","Argentina","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200369468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0369468",NA,NA,NA,NA,NA,NA,NA,NA
"2","2011-02-16 13:50:00-02","MO","MOBOT","100348334","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macaglia","quebracho","Macaglia quebracho","Kuntze","Otto Kuntze","South America","Bolivia",NA,NA,"Foster's catalog notes file","Kuntze s.n.","Cochabamba","Mt. Tunari","-66.35","-17.31666","1400.00000000","1"
