"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","day","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-04-05 14:26:11-03","UNESC","CRI","13586","PreservedSpecimen","Plantae","Thelypteridaceae","Cyclosorus","interruptus","Cyclosorus interruptus","(Willd.) H. Ito","Renato Colares","2018","05","28","Renato Colares; Thuany Machado","2018","03","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.445556","-28.531389","49º26'44''W","28º31'53''S","161","161","Habitat: Terrestre Habito: Herbácea","CRI012193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:11-03","UNESC","CRI","9914","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","A. L. de Gasper","2011","03","09","A. Korte","2011","02","Brasil","Santa Catarina","Araquari","Próximo à rodovia BR -101, km 61.","-48.78","-26.46","48º46'48''W","26º27'36''S","8","8","Floresta Ombrófila Densa Habitat: banhado Habito: erva terrícola","CRI008409","5976","18","CRI008409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:56-03","E","E","119588","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","07","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00119588 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00119588","46","11",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:175755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:56-03","E","E","119600","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00119600 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00119600","91","13",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:175743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:56-03","E","E","119570","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00119570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00119570","71","13",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:175702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:56-03","E","E","166462","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","07","BR","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00166462 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00166462","125","22",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:176232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:56-03","E","E","167602","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","09","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00167602 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167602","177","07",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:176406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","816040","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","A. Salino",NA,NA,NA,"J. E. Leite","1943","01","Brazil","Rio Grande do Sul",NA,"São Salvador",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816040","2376",NA,"NY00816040_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","816043","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","A. Salino",NA,NA,NA,"L. P. de Queiroz","1992","11","Brazil","Bahia","Feira de Santana","Campus da UEFS.","-38.97","-12.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816043","2884","26","NY00816043_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","04032159","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"K. M. Redden","2006","09","Guyana","Potaro-Siparuni",NA,"Micobe road outside village.","-58.9808","5.3414",NA,NA,"22",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336205' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032159","4262","15",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
