"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","coordinatePrecision","individualCount","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","dayIdentified","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","138382","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke","holotype","B. A. Krukoff","6279","1934","09","24","South America","Brazil","Amazonas","Humaitá","Near Tres Casas","-62.6839542","-6.9876421","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138382","NY00138382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01887594","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"G. T. Prance","13446","1971","06","22","South America","Brazil","Amazonas",NA,"Rio Purus between Santa Maria and Mari, north of Lábrea.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2125098' target='other'> <mi>dwc_moreinfo</mi></a>","NY01887594","NY01887594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:33:01-03","NBC","NL-BOTANY","L.1066062","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Vitex","krukovii","Vitex krukovii","Moldenke","type","Krukoff BA",NA,"1934","09","14","Southern America","Brazil","Amazonas",NA,"Basin of Rio MadeiraState of Amazonas: Municipality Humayta, near Tres Casas.",NA,NA,NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1066062 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1066062","NL-L1066062","Magnoliopsidae","Uw7612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:33:01-03","NBC","NL-BOTANY","L.1066063","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Vitex","krukovii","Vitex krukovii","Moldenke","type","Krukoff BA",NA,"1934","09","14","Southern America","Brazil","Amazonas",NA,"Basin of Rio MadeiraState of Amazonas: Municipality Humayta, near Tres Casas.",NA,NA,NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1066063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1066063","NL-L1066063","Magnoliopsidae","U 0056273 | Uw7612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:33:01-03","NBC","NL-BOTANY","L.1066064","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Vitex","krukovii","Vitex krukovii","Moldenke","type","Krukoff BA",NA,"1934","09","14","Southern America","Brazil","Amazonas",NA,"Basin of Rio MadeiraState of Amazonas: Municipality Humayta, near Tres Casas.",NA,NA,NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1066064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1066064","NL-L1066064","Magnoliopsidae","Uw7612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:33:01-03","NBC","NL-BOTANY","U 0007056","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"Krukoff BA",NA,"1934","09","14","Southern America","Brazil","Amazonas",NA,"Basin of Rio MadeiraState of Amazonas: Municipality Humayta, near Tres Casas.",NA,NA,NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007056 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007056",NA,"Magnoliopsidae","Uw7612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:33:01-03","NBC","NL-BOTANY","U 0280145","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"Prance GT; Maas PJM",NA,"1971","06","22","Southern America","Brazil","Amazonas",NA,"Rio Purus (Lábrea), Rio Curuquetê",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200280145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0280145",NA,"Magnoliopsidae","Uw18967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:33:01-03","NBC","NL-BOTANY","U.1763447","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Vitex","krukovii","Vitex krukovii","Moldenke","type","Krukoff BA",NA,"1934","09","14","Southern America","Brazil","Amazonas",NA,"Basin of Rio MadeiraState of Amazonas: Municipality Humayta, near Tres Casas.",NA,NA,NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1763447 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1763447","NL-U1763447","Magnoliopsidae","U 0007055 | 22152 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:33:01-03","NBC","NL-BOTANY","U.1763448","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"Prance GT; Maas PJM",NA,"1971","06","22","Southern America","Brazil","Amazonas",NA,"Rio Purus (Lábrea), Rio Curuquetê",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1763448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1763448","NL-U1763448","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2009-11-18 09:22:00-02","MO","MOBOT","100229504","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"Boris A. Krukoff","Krukoff 6279","1934","9","14","South America","Brazil","Amazonas","Humaitá","Near Tres Casas. On varzea land.","-63.0208015441895","-7.50611019134521",NA,NA,NA,NA,NA,NA,"202650","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
