"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:41:33-03","E","E","285685","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea","possible type","Gardner, George","5704","1905","01","14","E. Tropical South America","BR","Minas Gerais","Organ Mts.","herbarium specimen of unspecif","BGBASE:296439","<a href=http://data.rbge.org.uk/herb/E00285685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","522634","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea",NA,"J. R. Pirani","3504","1994","12","08","South America","Brazil","Espírito Santo","Ca. 3 km S do Morro do Aghá, na rodovia ES-060","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522634","Magnoliophyta","Myrtales","Gardner","T. Morley","Piúma","-40.77","-20.87","NY00522634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","229534","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea","isotype","G. Gardner","5704","1841",NA,NA,"South America","Brazil","Rio de Janeiro","Organ Mountains [Serra dos Orgãos].","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229534","Magnoliophyta","Myrtales","Gardner",NA,NA,"-43.073169","-22.496706","NY00229534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","229532","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea","isotype","G. Gardner","5704","1841",NA,NA,"South America","Brazil","Rio de Janeiro","Organ Mountains [Serra dos Orgãos].","sheet",NA,"Probably Gardner 5704 is written on the label. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229532","Magnoliophyta","Myrtales","Gardner",NA,NA,"-43.073169","-22.496706","NY00229532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522635","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea",NA,"G. Gardner","X5704",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Serra dos Orgaos","sheet",NA,"Shuttl. 1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522635","Magnoliophyta","Myrtales","Gardner","T. Morley",NA,"-43.073169","-22.496706","NY00522635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","229533","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea","isotype","G. Gardner","5704","1841",NA,NA,"South America","Brazil","Rio de Janeiro","Organ Mountains [Serra dos Orgãos].","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229533","Magnoliophyta","Myrtales","Gardner",NA,NA,"-43.073169","-22.496706","NY00229533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:44:45-03","EAO","IAN","93666","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","petroniana","Mouriri petroniana",NA,"Glaziou, AFM","13860",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN093666","Dicotiledônea",NA,"Cogn. & Nald.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:13:45-03","ESALQ","ESA","66264","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea",NA,"Hatschbach, G. ; Silva, J.M.","61519.0","1995","01","15",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"ESA066264","Magnoliophyta",NA,"Gardner","Wurdack, J.J.","Venda Novo do Imigrante",NA,NA,"ESA066264","1995","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:24-03","UFV","VIC","18004","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea",NA,"Ana Luiza","s.n.",NA,NA,NA,NA,"Brasil","Bahia",NA,NA,NA,"Altura de 25 m, P9 Nº 74","VIC018004",NA,NA,"Gardner",NA,"FLONA Rio Preto",NA,NA,"VIC018004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 17:09:25-03","UFES","SAMES","3418","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","arborea","Mouriri arborea",NA,"Oliveira,I.R.; Rocha,T.L.;Ribeiro,M.","86","2010","09","25",NA,"Brasil","Espírito Santo","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 5 a 6 da estrada interna.",NA,NA,"Árvore de 13 metros de altura, com frutos verdes e maduros.","SAMES03418",NA,NA,"Gardner","Ribeiro,M.","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,"2011","10","14","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA,NA,NA,NA
