"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","375637","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","H. O. Sleumer","G. G. Hatschbach","16877","1967","08","03","South America","Brazil","Paraná","Campina Grande do Sul","Sitio do Belizario","-49.0553","-25.3058","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375637","NY00375637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375640","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","H. O. Sleumer","G. G. Hatschbach","14589","1966","08","12","South America","Brazil","Paraná","Sao José dos Pinhais","Col. S. Andrade","-49.2064","-25.5347",NA,NA,"sheet","Paratype <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375640","NY00375640_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375639","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","D. C. Daly; Z. Marchal","G. G. Hatschbach","16877","1967","08","03","South America","Brazil","Paraná","Campina Grande do Sul","Sítio do Belizario","-49.0553","-25.3058","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375639","NY00375639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","107363","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","J. A. Kallunki","G. G. Hatschbach","32235","1973","07","13","South America","Brazil","Paraná","Sao José dos Pinhais","Usina Chaminé","-49.2064","-25.5347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00107363","NY00107363_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375638","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","G. G. Hatschbach","G. G. Hatschbach","50993","1986","12","11","South America","Brazil","Paraná","Sao José dos Pinhais","Col. S. Andrade","-49.2064","-25.5347",NA,NA,"sheet","1° col. de frutos maduros <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375638","NY00375638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1016080","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","G. G. Hatschbach","P. I. Oliveira","578","1982","07","13","South America","Brazil","Paraná","Sao José dos Pinhais","Col. Santos Andrade","-49.2064","-25.5347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016080","NY01016080_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:42-03","UNESP-IBB","BOTU","10469","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G.","Oliveira, P.I.","578","1982","07","13",NA,"Brasil","Paraná","São José dos Pinhais",NA,NA,NA,NA,NA,NA,"Árvore, 12 m de altura, flor creme. Tronco 30 cm.; da mata","BOTU010469",NA,NA,"1982","10","9999","9999",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:51:34-03","NBC","NL-BOTANY","L 0010727","PreservedSpecimen","Plantae",NA,"Malpighiales","Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Sleumer HO","Hatschbach GG",NA,"1973","07","13","Southern America","Brazil","Paraná",NA,"Usina Chamine (mun S. Jose dos Pinhaes).",NA,NA,NA,NA,NA,"Mata.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200010727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0010727","NL-L0010727","holotype",NA,NA,NA,NA,"Magnoliopsidae","384904",NA,NA,NA,NA,NA
"9","2020-02-08 09:51:34-03","NBC","NL-BOTANY","WAG.1319758","PreservedSpecimen","Plantae",NA,"Malpighiales","Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer",NA,"Hatschbach GG; Cordeiro J",NA,"1986","11","11","Southern America","Brazil",NA,NA,"Santos Andrade (mun. S. José dos Pinhais) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1319758 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1319758","NL-WAG1319758",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:51:34-03","NBC","NL-BOTANY","WAG.1319759","PreservedSpecimen","Plantae",NA,"Malpighiales","Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer",NA,"Hatschbach GG",NA,"1967","08","03","Southern America","Brazil",NA,NA,"Sitio do Belizario (mun. Campina, Grande do Sul) Pâraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1319759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1319759","NL-WAG1319759",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
