"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","631920","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","cylindrica","Calathea cylindrica","(Roscoe) K.Schum.","R. C. Forzza","R. C. Forzza","1537","2000","05","06","South America","Brazil","São Paulo","Ubatuba","Praia da Lagoinha","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00631920","NY00631920_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","569301","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","cylindrica","Calathea cylindrica","(Roscoe) K.Schum.","H. Kennedy","J. P. P. Carauta","3462","1980","03","30","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Morro da Urca, na base","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569301","NY00569301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","569299","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","cylindrica","Calathea cylindrica","(Roscoe) K.Schum.","H. Kennedy","J. G. Jardim","678","1995","08","08","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra D'Reserva","-39.22095","-14.7739696","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569299","NY00569299_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","569316","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","cylindrica","Calathea cylindrica","(Roscoe) K.Schum.","H. Kennedy","S. Nunes","1","1978","01","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","PN da Tijuca, Serra do Beijo","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569316","NY00569316_01","100","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02714934","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","cylindrica","Calathea cylindrica","(Roscoe) K.Schum.",NA,"A. M. Amorim","4384",NA,NA,NA,"South America","Brazil","Bahia","Camacan","fazenda Serra Bonita, RPPN Serra Bonita, 9,7Km a W de Camacan na estrada para Jacarecí, daí, 6Km Sw na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474197' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714934","NY02714934_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1146736","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","cylindrica","Calathea cylindrica","(Roscoe) K.Schum.",NA,"S. Vieira","293","2007","04","14","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita, 10 km W de Camacá na estrada para Jacarecí, 6 km SW na estrada para a RPPN e Torre de transmissão. Trilha da pousada.","-39.5647","-15.3931","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298506' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146736","NY01146736_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","569300","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","cylindrica","Calathea cylindrica","(Roscoe) K.Schum.","H. Kennedy","R. M. Harley","19485","1977","03","09","South America","Brazil","Bahia","Itabuna","Itabuna, Quadra D'Reserva Botanica","-39.23","-14.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569300","NY00569300_01","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:24-03","UFBA","ALCB","56111","PreservedSpecimen","Plantae","Monocotyledon",NA,"Marantaceae","Goeppertia","cylindrica","Goeppertia cylindrica","(Roscoe) Borchs. & S.Suárez","Saka, M.N.","Loureiro, DM; Alves, L. de J.; Guedes, ML; Santana, DL","363","2001","09","06","Southern America","Brasil","Bahia","Ibirapitanga/Camamú/Maraú","Litoral Sul, Assentamento Oricó, área de reserva legal","-39.349167","-14.133611",NA,"1,50 m. Folhas com longo pecíolo e lâminas membranáceas, discolores. Inflorescência com brácteas verdes; flores com bractéolas esverdeadas, tépalas alvas. Frequente.; vegetação em estádio avançado de desenvolvimento.","ALCB020172","ALCB020172",NA,NA,"2014","10","-39.349167","-14.133611",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:28:24-03","UFBA","ALCB","82582","PreservedSpecimen","Plantae","Monocotyledon",NA,"Marantaceae","Goeppertia","cylindrica","Goeppertia cylindrica","(Roscoe) Borchs. & S.Suárez","Vieira, S","Hatschbach, G; Hatschbach, M; Silva, JM","64155","1996","01","16","Southern America","Brasil","Minas Gerais","Varzea da Palma","Estrada Várzea da Palma à Serra do Cabral","-44.7308006286621","-17.5981006622314",NA,"Flor amarela. Mata à beira de corrego no início da subida da serra.","ALCB020153","ALCB020153",NA,NA,"2003",NA,NA,NA,"60948","auto",NA,NA,NA,NA,NA
"10","2019-10-09 11:28:24-03","UFBA","ALCB","032677","PreservedSpecimen","Plantae","Monocotyledon",NA,"Marantaceae","Goeppertia","cylindrica","Goeppertia cylindrica","(Roscoe) Borchs. & S.Suárez","Kennedy, H","Jardim, JG; Sant'Ana, SC de; Fernando","678","1995","08","08","Southern America","Brasil","Bahia","Ilhéus","Litoral Sul, µrea do CEPEC (Centro de Pesquisas do Cacau), Km 22 da Rodovia Ilhéus-Itabuna (BR 415). Quadra D' Reserva","-39.033333","-14.783333",NA,"folhas verdes e brilhantes na face superior e face inferior opaca. Inflorescência com brácteas verdes e flores com corola amarela-clara. No interior da mata.",NA,NA,"50","50","1996",NA,"-39.033333","-14.783333",NA,NA,NA,NA,NA,NA,NA
