"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1844044","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb.f.","R. Souza","10420","1968","10","02","South America","Brazil","Mato Grosso","12 km to S. of base camp, along road.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134947' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844044","NY01844044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:59-03","EAO","IAN","19818","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb.f.","Blanchet, JS","3447",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN019818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:28:36-03","UFBA","ALCB","037877","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb.f.","Hind, DJN; Bautista, HP","PCD4140","1996","11","08","Southern America","Brasil","Bahia","Chapada Diamantina, Estrada Piatã/Abaira, entrada a direita, após a entrada para Catolés","-41.738611","-13.266944",NA,"0,80 m, ereta, pseudobulbos subterrestres, caule vináceo. Tépalas castanhas pintalgadas de grená, labelo amarelo, coluna verde pintalgada de grená. Raro.; Solo com concreções ferruginosas, cascalheiras.","ALCB006127","ALCB006127","Batista, JAN","2018","05","11","Piatã","-41.738611","-13.266944","1090","1090",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:29-03","ESALQ","ESA","87813","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb. f.","Batista, J.A.N.","1255.0","2001","10","07",NA,"Brasil","Distrito Federal",NA,"-47.9296989440918","-15.7797002792358",NA,NA,"ESA087813","ESA087813","Batista, J.A.N.",NA,NA,NA,"Brasília",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:49-03","MN","R","3003","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb. f.","Kuhlmann, J.G.","149","1914","10",NA,NA,"Brasil","Mato Grosso",NA,NA,NA,NA,"Comissão de Linhas Telegráficas e Estratégicas do Mato Grosso ao Amazonas",NA,NA,"Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:49-03","MN","R","121738","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb. f.","Lutz, A.","1598","1919","12","09",NA,"Brasil","Minas Gerais",NA,"-44.5774993896484","-17.8866996765137",NA,"Herbarium Lutz",NA,NA,"Pabst, G.F.J.","1953","12","25","Lassance",NA,NA,NA,NA,"55983","auto",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:20:10-03","UNICAMP","UEC","127175","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb.f.","Batista, JAN; Bianchetti, LB; Pellizzaro, KF; Jacintho, TRS; Oliveira Neto, OB","1245","2001","09","19",NA,"Brazil","Distrito Federal","Plano Piloto, RA-I. Final da Asa Norte. Área entre o Parque Ecológico Norte e o Parque Nacional de Brasília. Local do futuro setor Noroeste. Área aproximadamente entre a entrada da Água Minerale o carrefour, do lado oposto da pista em frente ao set","-47.9296989440918","-15.7797002792358",NA,"Pseudobulbos completamente enterrados, externamente brancos. Folhas pouco desenvolvidas, em início de crescimento. Ocasional. Observados vários exemplares meio esparsos, concentrados num determinado ponto da área. Em plena floração. In","UEC064368","UEC064368","Bianchetti, LB; Batista, JAN","2001","09",NA,"Brasília",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA
"8","2020-04-22 16:26:35-03","UFPB","JPB","18474","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb.f.","Felix, LP; Santana, ES","3062","1990","05","24","Southern America","Brasil","Paraíba","Reserva Biológica Guaribas, Sema II.","-35.142056","-6.741861",NA,"; DESC: Terrestre. Ornamental. Subterrâneos. Pseudobulbos. Ocasional em carrascos e tabuleiros.",NA,NA,"Felix, LP","1990","10","09","Mamanguape","-35.142056","-6.741861","181","181",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-04-22 16:26:35-03","UFPB","JPB","23239","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb.f.","Eduardo, F","3","1998","04","20","Southern America","Brasil","Paraíba","Orquidario de Francisco Eduardo","-34.863056","-7.115",NA,"; DESC: Solo arenoso. Nativa de Santa Rita, Tibiri.&nf;Coletadas por membros da APO. Inaldo, Pereira e Eduardo.&nf;Flores amarelas com manchas.",NA,NA,NA,NA,NA,NA,"João Pessoa","-34.863056","-7.115","47","47",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-21 19:40:17-03","UFC","EAC","15322","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","blanchetii","Cyrtopodium blanchetii","Rchb. f.","Fernandes, A.","EAC15322","1987","01","06","Southern America","Brasil","Ceará","Entre Jacaré e Lages, terrestre, cerrado.","-41.0922012329102","-3.56222009658813",NA,"Flor castanho-amarelada, não foi constatado bulbos, substrato arenoso orgânico.","EAC0015322","EAC0015322","Lima-Verde, L.W.",NA,NA,NA,"Viçosa do Ceará",NA,NA,"700","700","34051","auto",NA,NA,NA,NA,NA,NA
