"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","typeStatus","fieldNumber","dayIdentified","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01057729","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","A. P. Fortuna Perez","G. Pereira-Silva","2163","1993","12","28","South America","Brazil","Distrito Federal","Brasília","Reserva Ecologica do Guara","-47.97","-15.8","1035","1035","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162301' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057729","NY01057729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00984774","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","R. C. Barneby","F. H. F. Oldenburger","1996","1975","12","04","South America","Brazil","Distrito Federal","Brasília","Near Planaltina on monument hill","-47.66666667","-15.61666667",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984774","NY00984774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00984755","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","J. W. Grear","H. S. Irwin","26355","1970","02","18","South America","Brazil","Distrito Federal","Brasília","Morro da Igreginha, ca. 5 km SSE of Planaltina","-47.65855","-15.6237","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984755","NY00984755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00984770","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","J. W. Grear","H. S. Irwin","10166","1965","11","10","South America","Brazil","Distrito Federal","Brasília","Adjacent to Parque Municipal do Gama","-48","-16","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984770","NY00984770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00984767","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","J. W. Grear","H. S. Irwin","11045","1965","12","04","South America","Brazil","Distrito Federal",NA,"Near Rio Descoberto, on the Goiás - D. F. boundary between Anápolis and Brasília","-48.25","-15.97","1010","1010","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984767","NY00984767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00984778","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","R. H. Fortunato","E. P. Heringer","2871","1979","12","04","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984778","NY00984778_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00984772","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","J. W. Grear","W. R. Anderson","7835","1973","03","23","South America","Brazil","Goiás","São João d'Aliança","3 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.73","1040","1040","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984772","NY00984772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01057679","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","A. P. Fortuna Perez","J. G. A. Vieira","41","1981","03","31","South America","Brazil","Goiás","Planaltina","Serra da Piedade- 24 km ao norte de Sao Gabriel/Sao Joao da Alianca. Mun. Sao Gabriel","-47.57","-15","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162156' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057679","NY01057679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00984759","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","J. W. Grear","H. S. Irwin","18817","1968","01","18","South America","Brazil","Goiás","Cocalzinho de Goiás","30 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.68","-15.7","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984759","NY00984759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00984763","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","glaziovii","Eriosema glaziovii","Harms","J. W. Grear","H. S. Irwin","11680","1966","01","15","South America","Brazil","Distrito Federal","Brasília","Ca. 20 km S. of Brasília, on road to Anapolis","-48.04869","-15.9111",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984763","NY00984763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
