"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:25:18-03","UNESC","CRI","585","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Luis R. M. Baptista","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","585","1990","08","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002894","CRI002894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","9383","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","A. L. de Gasper","A.L. de Gasper; E. Brogni","2412","2009","09","15","Brasil","Santa Catarina","Brusque","RPPN Chácara Edith.","-48.896667","-27.100833","48º53'48''W","27º6'3''S","112","112","CRI002889","CRI002889","2009","09","15","Floresta Ombrófila Densa Habitat: borda do fragmento Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","5341","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","J. A. Jarenkow","J. A. Jarenkow",NA,"1992","03","09","Brasil","Rio Grande do Sul","Torres","Perdida.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","5","5","CRI002891","CRI002891","1992","03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","15247","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Altamir Rocha Antunes","Altamir Rocha Antunes",NA,"2020","03","09","Brasil","Santa Catarina","Orleans","Parque Estadual da Serra Furada.","-49.392778","-28.193333","49º23'34''W","28º11'36''S","531","531","CRI014662",NA,"2020","03","09","Flor branca-bronzeada. Fruto vagem, cor marrom. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:32-03","UNESC","CRI","4989","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Denise de Bem Bez","Denise de Bem Bez",NA,"1996","10","13","Brasil","Santa Catarina","Santa Rosa do Sul",NA,"-49.700278","-29.136667","49º42'1''W","29º8'12''S","19","19","CRI002903","CRI002903",NA,NA,NA,"Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:18-03","UNESC","CRI","602","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Luis R. M. Baptista","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","952","1990","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002898","CRI002898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:18-03","UNESC","CRI","3165","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Vanilde Citadini- Zanette","Robson dos Santos; Aurélio José de Aguiar","1642","1993","05","26","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002900","CRI002900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:32-03","UNESC","CRI","8788","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Vanilde Citadini-Zanette","Andresa; Maristela Giassi e Vanilde Citadini-Zanette",NA,"2001","08","09","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"CRI002888","CRI002888","2001","08","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:18-03","UNESC","CRI","3138","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1610","1993","05","14","Brasil","Santa Catarina","Orleans","Parque Estadual da Serra Furada - Chapadão.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","CRI002895","CRI002895","1994","01","01","Habitat: mata atlântica de encosta Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:32-03","UNESC","CRI","8298","PreservedSpecimen","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Vanilde Citadini- Zanette","Tanise Boeira Pelegrine Bertolin",NA,"2006","06","27","Brasil","Santa Catarina","Maracajá","Parque Ecológico Municipal de Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12","CRI002897","CRI002897","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
