"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857593","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R. M. Harley","L. Emygdio de Mello Filho","3600","1972","07","25","South America","Brazil","Minas Gerais","Alpinópolis","Morro do V.H.F.","-46.3881","-20.8636","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857593","NY00857593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00818383","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","C. C. Epling","G. T. Prance","58185","1964","07","18","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros. 2 km from Veadeiros","-47.5097","-14.1325",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=861498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818383","NY00818383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00818406","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R. M. Harley","H. S. Irwin","29745","1971","02","10","South America","Brazil","Distrito Federal","Brasília","Rio Sobradinho, immediately west of Sobradinho","-47.7922222","-15.6506","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=861703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818406","NY00818406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:32:30-03","NBC","NL-BOTANY","U.1414891","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"Irwin HS; Harley RM; Smith GL",NA,"1971","02","10","Southern America","Brazil",NA,NA,"Distrito Federal. In small relict campo by gallery margin. Cerrado and gallery, Rio Sobradinho, immediately west of Sobradinho.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1414891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1414891","NL-U1414891","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:32:30-03","NBC","NL-BOTANY","U.1414892","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"Prance GT; Silva NT",NA,"1964","07","18","Southern America","Brazil",NA,NA,"New Brazilian Highways. Chapada dos Veadeiros, Goiás. 2 km from Veadeiros, on Cerrado.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1414892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1414892","NL-U1414892","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-07 11:45:10-03","UFMS","CGMS","69440","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","S.N. Moreira; V.J. Pott","V.J. Pott; A. Pott; S.N. Moreira","11437","2012","04","29",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Feliz, Rodovia BR-262, Km 426, Distrito de Cachoeirão, próximo ao Rio Cachoeirão.","-55.2619444","-20.4636111","195","195",NA,"Flor branca. Habitat: Campo úmido, vereda. Solo hidromórfico, orgânico. Relevo plano. Habito: Erva anfíbia. 0,80 - 1,20 m de altura. Ocasional.","CGMS1102398",NA,NA,"-55,2619444","-20,4636111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-07 11:45:10-03","UFMS","CGMS","59050","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R.M. Harley","V.J. Pott; S.N. Moreira","10840","2010","04","12",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo da Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7905555","-20.5583333","512","512",NA,"Flor branca. Habitat: Campo úmido, em nascente, com buriti. Solo argiloso-orgânico. Relevo plano. Habito: Subarbusto anfíbio, 0,80 - 1,20 m de altura. Ocasional.","CGMS1088962",NA,NA,"-54,7905555","-20,5583333","2017","11","08",NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:45:10-03","UFMS","CGMS","42425","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","V.J. Pott","S.N. Moreira; V.J. Pott; A. Pott; J.B. Fabri","1348","2013","03","08",NA,"Brasil","Mato Grosso do Sul","Maracaju","Fazenda Jaboticaba.","-55.5358333","-21.5555556",NA,NA,NA,"Flor branca. Área 10. Habitat: Campo graminoso úmido sem Mauritia flexuosa (buriti) em domínio de Cerrado. Rapanea umbellata e Miconia chamissois abundantes. Gramíneas filiformes de até 2 m de altura. Habito: Erva anfíbia. Até 0,80","CGMS1072402",NA,NA,"-55,5358333","-21,5555556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:45:10-03","UFMS","CGMS","23633","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","H.D. Ferreira","S.N. Moreira; V.J.Pott","170","2008","04","01",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo da Embrapa Gado de Corte; Área de Varjão proxima à ferrovia.","-54.79","-20.5566667","504","504",NA,"Flor lilás-claro. Fruto ausente. Folha glauco-acizentada. Habitat: Campo úmido de Vereda com buriti em domínio de Cerrado. Habito: Erva anfíbia.","CGMS1053046",NA,NA,"-54,79","-20,5566667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:45:10-03","UFMS","CGMS","51213","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R.M. Harley","S.N. Moreira; V.J. Pott; A. Pott; C. Cardeal","716","2012","05","02",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Fazenda Feliz, entre Terenos e Aquidauana Área 4.","-55.2625","-20.4619444",NA,NA,NA,"Flor branca. Habitat: Campo graminoso úmido com Mauritia flexuosa em domínio de Cerrado. Solo orgânico. Relevo plano deprimido. Habito: Erva anfíbia, até 30 cm de altura.","CGMS1081202",NA,NA,"-55,2625","-20,4619444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
