"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","492132","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","kleinii","Justicia kleinii","Wassh. & L.B.Sm.","D. C. Wasshausen","J. M. Silva","2702","1998","12","15","South America","Brazil","Paraná","Morretes","Serra da Prata, trilha para a Torre da Prata.","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492132","NY00492132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","492134","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","kleinii","Justicia kleinii","Wassh. & L.B.Sm.","D. C. Wasshausen","R. M. Klein","6848","1966","10","21","South America","Brazil","Santa Catarina","Garuva","Rio Três Barras, Monte Crista, Garuva.","-48.8547","-26.0269","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492134","NY00492134_01","isotype","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","492133","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","kleinii","Justicia kleinii","Wassh. & L.B.Sm.","D. C. Wasshausen","J. C. Lindeman","2576","1966","09","29","South America","Brazil","Paraná",NA,"Rain forest on atlantic slope of Serra do Mar above Bela Vista on old road Curitiba - Morretes.","-48.887212","-25.350515","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492133","NY00492133_01",NA,"550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:24:39-03","PUCPR","HUCP","21485","S","Plantae","Eudicotiledonea",NA,"Acanthaceae","Justicia","kleinii","Justicia kleinii","Wassh. & L.B. Sm.","Vieira, FCS","Vieira, FCS","1388","2005","11","15",NA,"Brasil","Santa Catarina","Garuva","Monte Crista, Rio do Cristo.","-48.8549995422363","-26.0266990661621",NA,NA,NA,NA,NA,NA,NA,"22441","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:29:25-03","NBC","NL-BOTANY","L.2833453","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Justicia","kleinii","Justicia kleinii","Wassh. & L.B.Sm.",NA,"Reitz R; Klein RM",NA,"1957","10","05","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina, Tres Barras, Garuva, Francisco do Sul.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2833453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2833453","NL-L2833453",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:29:25-03","NBC","NL-BOTANY","U.1047353","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Justicia","kleinii","Justicia kleinii","Wassh. & L.B.Sm.",NA,"Lindeman JC; Haas JH de",NA,"1966","09","29","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis, Est. Paraná, Rain forrest on atlantic slope of Serr do Mar above Bela Vista on old road Curitiba-Morretes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1047353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1047353","NL-U1047353",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2020-11-04 10:58:34-03","ESALQ","ESA","33128","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Justicia","kleinii","Justicia kleinii",NA,"Kameyama, C.","Joaquim, G.O. et al.","15.0","1996","09","07",NA,"Brasil","São Paulo","Itanhaém",NA,"-46.7799987792969","-24.1800003051758",NA,NA,"ESA033128","ESA033128",NA,NA,NA,"26998","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 10:58:34-03","ESALQ","ESA","27100","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Justicia","kleinii","Justicia kleinii","Wassh. & L.B.Sm.","Kameyama, C.","Souza, V.C.; Souza, J.P.; Ivanauskas, N.M.; Duarte, A.R.; Eterovic, A.; Marques, O.A.V.","11072.0","1996","04","11",NA,"Brasil","São Paulo","Itanhaém","Ilha da Queimada Grande","-46.7799987792969","-24.1800003051758",NA,"Erva; corola alva com fauce arroxeada. Interior de mata.","ESA027100","ESA027100",NA,NA,NA,"26998","auto",NA,"1999",NA,NA,NA,NA,NA
"9","2020-11-04 10:58:34-03","ESALQ","ESA","111284","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Justicia","kleinii","Justicia kleinii",NA,"Povoa, N.","Harissis, A.",NA,"2008","09","21",NA,"Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA111284",NA,NA,NA,NA,"37574","auto",NA,"2008","11","01",NA,NA,NA
"10","2020-11-04 10:58:34-03","ESALQ","ESA","26079","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Justicia","kleinii","Justicia kleinii",NA,"Kameyama, C.","Rodrigues, R.R. et al.","152.0","1995","09","03",NA,"Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,"ESA026079","ESA026079",NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA
