"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","2172419","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","C. A. Cid Ferreira","310","1979","08","13","South America","Brazil","Amazonas","Itapiranga","Rio Uatumã, margem direita do rio, área da cachoeira da Balbina","-58.7269878","-2.3065914","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322055' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172419","NY02172419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","609568","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","R. L. Liesner","11334","1981","04","07","South America","Venezuela","Bolívar",NA,"Represa Guri, 30 to 40 km east of Ciudad Piar by winding road","-63.17","7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609568",NA,"C. C. Berg","300","370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2172421","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","M. H. Nee","34522","1987","03","28","South America","Brazil","Rondônia","Costa Marques","9.5 km. E of Forte Principe da Beira. (Between road from Costa Marques to Forte Principe da Beira and Rio Guapore.)","-64.333333","-12.433333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322057' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172421","NY02172421_01",NA,"150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","196963","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","M. N. Alexiades","838","1989","07","15","South America","Peru","Madre de Dios","Tambopata","Comunidad Nativa de Infierno. Hermosa Chica. Border of lake Cocococha","-69.28","-12.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196963",NA,NA,"260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","609558","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","C. M. Lira","320","1980","10","30","South America","Brazil","Rio de Janeiro",NA,"Três Rios, Km 148 (entre Bemposta e Auta)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609558","NY00609558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02172414","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","J. P. P. Carauta","2221","1976","12","08","South America","Brazil","Rio de Janeiro","Paratí","Parati Mirim, perto da Cachoeira do Ronca.","-44.639187","-23.242091","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322046' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172414","NY02172414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1039494","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","J. R. Pirani","5376","2004","04","01","South America","Brazil","Bahia","Rio de Contas","Estrada para a Cachoeira do Fraga, ca. de 100m. das margens da Cachoeira.","-41.8269","-13.5992","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039494","NY01039494_01",NA,"930","930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","609564","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","G. G. Hatschbach","46773","1983","08","07","South America","Brazil","Espírito Santo","Linhares","Lagoa Juparana","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609564","NY00609564_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","609557","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","D. S. D. de Araújo","4092","1980","11","04","South America","Brazil","Rio de Janeiro","Cachoeiras de Macacu","Próximo a cidade, à beira de estrada","-42.6531","-22.4625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609557","NY00609557_01","J. P. P. Carauta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1145567","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","gomelleira","Ficus gomelleira","Kunth & C.D.Bouché","A. M. Giulietti","CFCR13595","1994","01","12","South America","Brazil","Minas Gerais","São Roque de Minas","Arredores do Parque Nacional da Serra da Canastra entre.","-46.4137","-20.258","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145567","NY01145567_01",NA,"1095","1176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
