"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","stateProvince","decimalLongitude","decimalLatitude","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","county","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus","sex"
"1","2020-09-23 10:37:32-03","E","E","249920","PreservedSpecimen","Plantae","Compositae","Chromolaena","elliptica","Chromolaena elliptica","Tweedie, John","Temperate South America","UY","Banda Orientale","herbarium specimen of unspecif","BGBASE:268898","<a href=http://data.rbge.org.uk/herb/E00249920 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00249920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","785019","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","elliptica","Chromolaena elliptica","A. C. Brade","South America","Brazil","S. Paulo. Villa Emma.","sheet",NA,"Jardim Botânico do Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00785019","Magnoliophyta","Asterales","(Hook. & Arn.) R.M.King & H.Rob.","16176","1940","03","São Paulo","-46.543068","-23.587347","NY00785019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 13:03:00-03","NY","NYBG","785021","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","elliptica","Chromolaena elliptica","T. M. Pedersen","South America","Paraguay","Estancia San Miguelito. Colonia Gral. Delgado.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00785021",NA,"Asterales",NA,"3272","1955","02","Itapúa",NA,NA,NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","785018","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","elliptica","Chromolaena elliptica","R. Reitz","South America","Brazil","Serra de Sao Luiz, Balsa Nova.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00785018","Magnoliophyta","Asterales","(Hook. & Arn.) R.M.King & H.Rob.","17446","1965","12","Paraná",NA,NA,"NY00785018_01","12","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","785017","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","elliptica","Chromolaena elliptica","R. Reitz","South America","Brazil","Campo Massiambú, Palhoça.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00785017","Magnoliophyta","Asterales","(Hook. & Arn.) R.M.King & H.Rob.","393","1953","03","Santa Catarina","-48.62515","-27.834087","NY00785017_01","12","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 13:03:00-03","NY","NYBG","785020","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","elliptica","Chromolaena elliptica","T. M. Pedersen","South America","Argentina","Estancia Garruchos.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00785020",NA,"Asterales",NA,"5471","1960","02","Corrientes",NA,NA,NA,"17",NA,NA,"Santo Tome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","806565","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","umbelliformis","Chromolaena umbelliformis","A. C. Brade","South America","Brazil","Acclimação, S.Paulo.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806565","Magnoliophyta","Asterales","(Dusén) R.M.King & H.Rob.","6138","1914","04","São Paulo",NA,NA,"NY00806565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:37:05-03","EAO","IAN","61444","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","umbelliforme","Eupatorium umbelliforme","Dusén, PKH","Southern America","Brasil",NA,NA,NA,NA,"IAN061444","Dicotiledônea",NA,"Dusén","16925","1915","03",NA,NA,NA,"IAN061444_f","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:37:05-03","EAO","IAN","73570","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","umbelliforme","Eupatorium umbelliforme","Dusén, PKH","Southern America","Brasil",NA,NA,NA,NA,"IAN073570","Dicotiledônea",NA,"Dusén","16925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:24:48-03","PUCPR","HUCP","21403","S","Plantae","Asteraceae","Chromolaena","elliptica","Chromolaena elliptica","Silva, JM",NA,"Brasil",NA,NA,NA,NA,"HUCP00007186","Eudicotiledonea",NA,"(Hook. & Arn.) R.M. King & H.Rob.","s.n.","2008","04","Paraná","-51.9906005859375","-26.4841995239258","HUCP00007186","17",NA,NA,"Palmas","Nakajima, JN","46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
