"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","identifiedBy","typeStatus","class"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1273","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","Leme","2008","10","07","Ines Ribeiro de Andrade;","2003","08","28","Brasil","Minas Gerais","Matias Cardoso","Apa Lajedão","-43.9219017028809","-14.854700088501","43°45'47","14°53'29","44859","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03188788","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","Leme",NA,NA,NA,"M. Machado","2004","07","03","Brazil","Bahia","Santana","Porto Novo, 8 Km a norte de Porto Novo na estrada para Santana.","-43.9356","-13.2386",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3437966' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"273","South America","465","465","sheet","NY03188788","NY03188788_01",NA,NA,NA
"3","2021-01-14 15:25:52-03","MN","R","187675","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","Leme","2001",NA,NA,"Silva, J.G. 1076; Menezes, M.","1985","02","01","Brasil","Minas Gerais","Varzelândia",NA,"-44.0275001525879","-15.7013998031616",NA,NA,"30875",NA,"Instituto de Arqueologia Brasileira - IAB 21","auto",NA,NA,NA,NA,NA,"R010005780","R010005780 R010005780_1","Forzza, R.C.",NA,NA
"4","2019-02-15 11:35:36-02","IPA","IPA","43104","S","Plantae","Plantae",NA,"Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","Leme","2001",NA,NA,"Andrade-Lima","1975",NA,NA,"Brasil","Bahia","Bom Jesus da Lapa",NA,"-43.418098449707","-13.2550001144409",NA,NA,"66899",NA,NA,"auto","75-8166","Southern America",NA,NA,NA,"IPA0043104",NA,"Forzza, R.C.",NA,NA
"5","2020-12-21 16:19:25-03","MBM","MBM","145663","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","E.M.C. Leme",NA,NA,NA,"Teixeira; Carvalho; Carvalho","1984","10","05","Brazil","Minas Gerais","Serra Azul",NA,NA,NA,NA,NA,NA,NA,"Herbáceo, espinosa 6 pétalas alva esverdeado, 3 sépalas verde inflorescência cacho. Campo",NA,"3801","Southern America",NA,NA,NA,"MBM145663","MBM145663","Teixeira; Carvalho",NA,NA
"6","2020-12-21 16:19:25-03","MBM","MBM","145663","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","E.M.C. Leme",NA,NA,NA,"Teixeira; Carvalho; Carvalho","1984","10","05","Brazil","Minas Gerais","Serra Azul de Minas","Serra Azul","-43.1699981689453","-18.3619003295898",NA,NA,"17198",NA,"Herbáceo, espinhosa, 6 pétalas alva esverdeado, 3 sépalas verde, inflorescência cacho.","auto","s.n.","Southern America",NA,NA,NA,"MBM145663","MBM145663",NA,"HOLOTYPE",NA
"7","2020-09-12 05:00:02-03","US","US","3694351","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","Leme",NA,NA,NA,"R. C. Forzza, B. R. Silva & R. Dias- Melo","2005","7","17","Brazil","Bahia","Santana","Bahia. Santana: Distrito de Porto Novo. Estrada Porto Novo - Santana, cerca de 8 km de Porto Novo","-43.9392","-13.2356","43 56 21 W","13 14 8 S",NA,"1",NA,NA,"4076","South America - Neotropics","470",NA,NA,"US01907581","US01907581_01","Forzza, R. C.",NA,"Monocotyledonae"
"8","2020-09-12 05:00:02-03","US","US","3694352","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","Leme",NA,NA,NA,"R. C. Forzza, B. R. Silva & R. Dias- Melo","2005","7","17","Brazil","Bahia","Santana","Bahia. Santana: Distrito de Porto Novo. Estrada Porto Novo - Santana, cerca de 8 km de Porto Novo","-43.9392","-13.2356","43 56 21 W","13 14 8 S",NA,"1",NA,NA,"4076","South America - Neotropics","470",NA,NA,"US01907582","US01907582_01","Forzza, R. C.",NA,"Monocotyledonae"
"9","2020-09-12 05:00:02-03","US","US","3694350","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","Leme",NA,NA,NA,"R. C. Forzza, B. R. Silva & R. Dias- Melo","2005","7","17","Brazil","Bahia","Santana","Bahia. Santana: Distrito de Porto Novo. Estrada Porto Novo - Santana, cerca de 8 km de Porto Novo","-43.9392","-13.2356","43 56 21 W","13 14 8 S",NA,"1",NA,NA,"4076","South America - Neotropics","470",NA,NA,"US01907580","US01907580_01","Forzza, R. C.",NA,"Monocotyledonae"
"10","2019-10-07 09:20:36-03","UEFS","HUEFS","221620","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Encholirium","longiflorum","Encholirium longiflorum","Leme",NA,NA,NA,"Forzza, R.C.","2005","07","17","Brasil","Bahia","Santana","Porto Novo. Estrada Porto Novo-Santana, cerca de 8 Km de Porto Novo, lajeados de calcário na beira da estrada.","-43.939167","-13.235556","43W56'21''","13S14'8''",NA,NA,"Caatinga.",NA,"4077",NA,"470","470",NA,"HUEFS0221620","HUEFS0221620",NA,NA,"Lilianae"
