"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","locality","imagecode","decimalLongitude","decimalLatitude","stateProvince","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","infraspecificEpithet","yearIdentified","monthIdentified","fieldNumber","dayIdentified","individualCount","sex"
"1","2020-09-23 10:42:18-03","E","E","387138","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia","isotype","Gardner, George","5681","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:427779","<a href=http://data.rbge.org.uk/herb/E00387138 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00387138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:18-03","E","E","387137","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia",NA,"Ratter, J.A.; Bridgewater, S.; Cardoso, E.; Fonsêca, J.; de Lima, Valdir; Passon, Lucília; dos Santos, R.R. & Sanaiotti, Tânia","7248","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:427487","<a href=http://data.rbge.org.uk/herb/E00387137 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00387137","1994","05","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","127667","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia","isotype","G. Gardner","5681","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00127667","1836",NA,NA,"Magnoliophyta","Ericales","Gleason","Brasilia","NY00127667_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","127664","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia","type","G. Gardner","5681","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00127664",NA,NA,NA,"Magnoliophyta","Ericales","Gleason","Organ Mts.","NY00127664_01","-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","127666","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia","isotype","G. Gardner","X5681","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00127666",NA,NA,NA,"Magnoliophyta","Ericales","Gleason","Serra dos Orgaos. Brasil. trop.","NY00127666_01","-43.073169","-22.496706","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00997028","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia",NA,"G. G. Hatschbach","36327","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997028","1975","02","20","Magnoliophyta","Ericales","Gardner","GO-12, Chapada dos Veadeiros.","NY00997028_01","-47.5097","-14.1325","Goiás","B. Maguire","Alto Paraíso de Goiás","1300","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00997027","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia",NA,"Y. E. J. Mexia","5777","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997027","1931","05","07","Magnoliophyta","Ericales","Gardner","Serra do Rio Grande.","NY00997027_01 NY00997027_02","-43.6003","-18.2494","Minas Gerais","Standley","Diamantina","1260","1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1183493","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia",NA,"G. L. Webster","25777","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1446907' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183493","1986","11","19","Magnoliophyta","Ericales","Gleason","2 km SE of Morro do Chapeu","NY01183493_01","-41.1561012268066","-11.5500001907349","Bahia","G. L. Webster","Morro do Chapéu","1000","1000","98143","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:05:10-03","NBC","NL-BOTANY","U.1741899","PreservedSpecimen","Plantae","Theaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia",NA,"Mexia YEJ",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1741899 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1741899","1931","05","07",NA,"Ericales","Gardner","State pf Minas Geraes. Diamantina. Serra do Rio Grande.","NL-U1741899",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:56-03","ESALQ","ESA","90384","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","cuneifolia","Ternstroemia cuneifolia",NA,"Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","4778.0",NA,"Brasil",NA,NA,"Árvore, ca. 4m alt. Frutos imaturos verdes passando a vermelhos","ESA090384","2005","01","28","Magnoliophyta",NA,"Gardner","Estrada para o Morrão (Morro do Chapéu). Ca. 13km da rodovia para Utinga, arredores da antena. Caatinga/Campo rupestre","ESA090384","-41.1561012268066","-11.5500001907349","Bahia","Guedes, M.L.S.","Morro do Chapéu","1235","1235","98143","auto",NA,"-41,209,444","-11,090,833",NA,NA,NA,NA,NA,NA,NA
