"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","class","coordinatePrecision","geoFlag","individualCount"
"1","2021-04-05 14:33:19-03","UNESC","CRI","7702","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Tais B. Guimarães","2004","03","26","Daniel B. Falkenberg; Tais B. Guimarães","2004","03","26","Brasil","Santa Catarina","Florianópolis","P. M. das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habito: subarbustiva","CRI001212","CRI001212",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1017699","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Á. L. Cabrera",NA,NA,NA,"R. Reitz","1953","05","14","Brazil","Santa Catarina","Palhoça","Campo Massiambú","-48.62515","-27.834087",NA,NA,"2","2","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221608' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017699","NY01017699_01","Magnoliophyta","Asterales","642","South America","sheet",NA,NA,NA,NA
"3","2019-08-27 13:27:45-03","IAP","PACA-AGP","65282","PreservedSpecimen","Plantae","Compositae","Noticastrum","malmei","Noticastrum malmei","Zardini","Heiden, G.","2016","10","31","Reitz, R.","1953","05","14","Brasil","SC","Palhoça","Campo do Massiambu","-48.6678009033203","-27.645299911499",NA,NA,NA,NA,"HBR 23130 Habitat: restinga","PACA065282",NA,"Magnoliophyta","Asterales","642",NA,NA,"Magnoliatae","31105","auto",NA
"4","2020-10-14 09:59:19-03","FURB","FURB","27626","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Fernandes, AC","2012","03","05","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","2010","05","03","Brasil","Santa Catarina","Laguna","R. Vinte as margens da BR - 101.","-48.7827778","-28.3969444","-48.7827778","-28.3969444","6","6","Coleta Extra IFFSC (Arbusto) Habitat: Floresta Ombrófila Densa; interior do fragmento Habito: arbusto; flor amarela e branca","FURB18228","FURB18228",NA,NA,"4606",NA,NA,NA,NA,NA,NA
"5","2019-11-08 08:50:01-03","FURB","FURB","8106","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Fernandes, AC","2012","03","05","Rezini, J.A.","2008","02","20","Brasil","Santa Catarina","Imbituba","Margem da Lagoa Doce.","-48.6461111","-28.2341666","-48.6461111","-28.2341666","3","3",NA,"FURB18229","FURB18229",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-10-14 09:59:19-03","FURB","FURB","41914","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Guimarães, TB","2005",NA,NA,"Guimarães, T.; Falkenberg, D.B.","2005","04","14","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de Santa Catarinja.","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,NA,"FURB18227","FURB18227",NA,NA,"947",NA,NA,NA,"27000","auto",NA
"7","2021-03-16 17:51:02-03","UCS","HUCS","00746","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Robinson, H.","1985","11",NA,"Guerra, I.","1985","04","21","Brasil","Rio Grande do Sul","Jaquirana","São Francisco de Paula","-50.3577995300293","-28.8847007751465",NA,NA,NA,NA,"Smithsonian Institution; Em campo",NA,NA,"Angiospermae","Asterales","s.n.",NA,NA,NA,"31282","auto",NA
"8","2021-01-27 14:32:54-03","UFSM","SMDB","14692","S","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Guimarães, TB","2005",NA,NA,"Guimarães, TB; Falkenberg, DB","2005","04","14","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"Hábito: subarbusto. Flores liguladas brancas, centrais amarelas. FLOR 35.032; Baixada seca entre dunas, na restinga","SMDB014692",NA,NA,NA,"947",NA,NA,NA,"27000","auto",NA
"9","2020-12-21 16:16:48-03","MBM","MBM","410735","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Heiden, G.","2009","05","25","Heiden, G.; Neitzke, R.S.; Romano, C.M.; Neitzke, R.S.; Romano, C.M.","2009","05","25","Brazil","Rio Grande do Sul","Rio Grande","Ilha dos Marinheiros, Marambaia, próximo à ponte do córrego que desagua na porção leste da ilha","-52.100556","-31.996944","-52.100556","-31.996944","4","4","Erva, ca. 50 cm. Folhas pilosas, glandulosas, cinéreas. Capítulos com flores do disco amarelas e raio alvas.; Vegetação costeira, dunas semiconsolidadas.","MBM410735","MBM410735",NA,NA,"1052","Southern America",NA,NA,NA,NA,NA
"10","2020-12-21 16:16:48-03","MBM","MBM","202693","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Falkenberg, D.B.",NA,NA,NA,"Xouza, M.L.; et al.; et al.","1984","10","26","Brazil","Santa Catarina","Florianópolis","Rio Vermelho","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,NA,"MBM202693","MBM202693",NA,NA,"373","Southern America",NA,NA,"27000","auto",NA
"11","2015-09-04 05:16:06-03","MNHN","RECOLNAT_MNHN_P","P02563308","PreservedSpecimen",NA,"Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de","1816",NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. No.1041 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563308' target='other'> <mi>dwc_moreinfo</mi></a>","P02563308","P02563308_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA
"12","2015-09-04 05:16:06-03","MNHN","RECOLNAT_MNHN_P","P02563309","PreservedSpecimen",NA,"Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. 1a. part. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563309' target='other'> <mi>dwc_moreinfo</mi></a>","P02563309","P02563309_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA
"13","2015-09-04 05:16:06-03","MNHN","RECOLNAT_MNHN_P","P02563310","PreservedSpecimen",NA,"Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de","1816",NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. No. 1041 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563310' target='other'> <mi>dwc_moreinfo</mi></a>","P02563310","P02563310_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA
"14","2015-09-04 05:16:06-03","MNHN","RECOLNAT_MNHN_P","P02563311","PreservedSpecimen",NA,"Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de","1816",NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. No.1041 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563311' target='other'> <mi>dwc_moreinfo</mi></a>","P02563311","P02563311_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA
"15","2015-09-04 05:16:06-03","MNHN","RECOLNAT_MNHN_P","P02563312","PreservedSpecimen",NA,"Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de","1816",NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. 1a. part. No.1041 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563312' target='other'> <mi>dwc_moreinfo</mi></a>","P02563312","P02563312_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA
"16","2020-08-31 08:53:05-03","INPA","INPA","131202","S","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","Robinson, HE","1985","11",NA,"Guerra, I","1985","04","21","Brasil","Rio Grande do Sul",NA,"Jaquirana-São Francisco de Paula. Em campo.",NA,NA,NA,NA,NA,NA,NA,"INPA0131202","INPA0131202 INPA0131202_e","Dicotyledon Asterids","Asterales","746","Southern America",NA,NA,NA,NA,NA
"17","2021-01-26 14:12:26-03","CPACT","ECT","786","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","malmei","Noticastrum malmei","Zardini","G.Heiden","2019","04","29","G.N.Mauricio","2019","04","12","Brasil","Rio Grande do Sul","Pelotas","Dunas do Laranjal.","-51.257222","-31.767222","51º15'26''W","31º46'2''S","1","1",NA,"ECT0000786","ECT0000786","Embryophyta",NA,"2",NA,NA,NA,NA,NA,NA
