"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","10240","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis","(Spreng.) Meisn.","M. G. Caxambu","2011","12","05","M. G. Caxambu; et al.","3480","2011","10","13","Brasil","Paraná","Balsa Nova","Ponto dos Arcos.","-49.629444","-25.580833","49º37'46''W","25º34'51''S","878","878","Floresta Ombrófila Mista Montana Habito: arbusto heliófito","CRI002292","CRI002292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","4778","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis brasiliensis",NA,"Daniel B. Falkenberg",NA,NA,NA,"Robson dos Santos","222","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24",NA,"CRI002291","CRI002291","brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:12-03","UNESC","CRI","6175","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis brasiliensis",NA,"Daniel B. Falkenberg",NA,NA,NA,"Vanilde Citadini Zanette","2506","1997","06","20","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","48","48",NA,"CRI002287","CRI002287","brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","4817","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis brasiliensis",NA,"Daniel B. Falkenberg",NA,NA,NA,"V. Citadini-Zanette",NA,"1996","02","15","Brasil","Santa Catarina","Sombrio","Interpraias.","-49.616944","-29.114444","49º37'1''W","29º6'52''S","17","17",NA,"CRI002294","CRI002294","brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:29-03","UNESC","CRI","3453","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis brasiliensis",NA,"V. C. Zanette","1995","01","02","Robson dos Santos; Clair Maria Martinello e M. Sobral","162","1994","11","12","Brasil","Rio Grande do Sul","Cambará do Sul","Aparados da Serra","-50.144167","-29.047778","50º8'39''W","29º2'52''S","1019","1019","Habitat: mata atlântica Habito: terrícola","CRI002288","CRI002288","brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","4756","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis brasiliensis",NA,"Daniel B. Falkenberg",NA,NA,NA,"Robson dos Santos","200","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24",NA,"CRI002290","CRI002290","brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:12-03","UNESC","CRI","10279","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis","(Spreng.) Meisn.","M. Sobral","2009","07","21","Robson dos Santos; Isabel Alves dos Santos, Alecssandro S. Klein",NA,"2009","07","21","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.214722","-28.185","49º12'53''W","28º11'6''S","860","860",NA,"CRI002295","CRI002295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:12-03","UNESC","CRI","13950","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis","(Spreng.) Meisn.","Valdemar Boff","1995","09","07","Valdemar Boff",NA,"1995","09","07","Brasil","Santa Catarina","Praia Grande",NA,"-49.950278","-29.198611","49º57'1''W","29º11'55''S",NA,NA,"Habitat: Terrestre Habito: Arbórea","CRI012561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:29-03","UNESC","CRI","10900","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis brasiliensis",NA,"Vanilde C. Zanette",NA,NA,NA,"Humberto de Bona Martins",NA,"2014","08","01","Brasil","Santa Catarina","Garopaba","Gaia Village.","-48.613611","-28.023889","48º36'49''W","28º1'26''S","10","10",NA,"CRI002289","CRI002289","brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:12-03","UNESC","CRI","13564","PreservedSpecimen","Plantae","Ericaceae","Gaylussacia","brasiliensis","Gaylussacia brasiliensis","(Spreng.) Meisn.","Renato Colares & Aline Votri Guislon","2018","08","01","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos",NA,"2018","12","15","Brasil","Santa Catarina","Treviso","Dois dedos","-49.525","-28.511111","49º31'30''W","28º30'40''S","743","743","Habitat: Terrestre Habito: Arbustivo","CRI012171","CRI012171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
