"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:34:08-03","UNESC","CRI","9016","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","recurva","Rudgea recurva","Müll.Arg.","A. Stival-Santos","2010","09","28","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2786","2010","05","19","Brasil","Santa Catarina","Águas Mornas","Vargem Grande.","-48.871389","-27.718889","48º52'17''W","27º43'8''S","250","250","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI009538","CRI009538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:04-03","UNESC","CRI","9699","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","recurva","Rudgea recurva","Müll.Arg.","A. Stival-Santos","2009","09","25","A. Stival-Santos; E. Legal & S. Silveira","957","2009","09","25","Brasil","Santa Catarina","Ilhota","Baú.","-48.871111","-26.819722","48º52'16''W","26º49'11''S","109","109","Floresta Ombrófila Densa","CRI009537","CRI009537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:04-03","UNESC","CRI","13122","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","recurva","Rudgea recurva","Müll.Arg.","Korte, A","2010","10","06","Korte, A.; Kniess, A.","4591","2010","10","06","Brasil","Santa Catarina","Major Gercino","Reserva Indígena Águas Claras. Reserva Indígena Águas Claras.","-48.960556","-27.360278","48º57'38''W","27º21'37''S","258","258","Florística IFFSC 427 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbustiva;","CRI011686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:04-03","UNESC","CRI","13123","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","recurva","Rudgea recurva","Müll.Arg.","Korte, A","2010","12","01","Korte, A.; Kniess, A.","4917","2010","11","11","Brasil","Santa Catarina","Camboriú","Rio do Meio. Rio do Meio.","-48.690833","-27.000278","48º41'27''W","27º0'1''S","47","47","Florística IFFSC 641b (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto;","CRI011685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:04-03","UNESC","CRI","9020","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","recurva","Rudgea recurva","Müll.Arg.","Marcos Sobral","2010","08","15","A. Korte; A. Kniess","2442","2010","04","01","Brasil","Santa Catarina","Ascurra","IIze Grande.","-49.320556","-27","49º19'14''W","27º0'0''S","154","154","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI009535","CRI009535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","502609","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","breviflora","Rudgea breviflora","Müll.Arg.","P. C. Standley",NA,NA,NA,"O. Handro","s.n.","1936","11","18","Brazil","São Paulo","Sao Paulo","Nativa no Parque do Estado e Jardim Botánico","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502609","NY00502609_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","502608","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","breviflora","Rudgea breviflora","Müll.Arg.","P. C. Standley",NA,NA,NA,"P. K. H. Dusén","8854","1909","10","27","Brazil","Paraná","Antonina","Reg. lit.","-48.7117","-25.4286",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502608","NY00502608_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","502607","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","breviflora","Rudgea breviflora","Müll.Arg.","P. C. Standley",NA,NA,NA,"O. Handro","s.n.","1936","11","18","Brazil","São Paulo","Sao Paulo","Nativa do Parque do Estado e Jardim Botánico","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502607","NY00502607_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","502747","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","recurva","Rudgea recurva","Müll.Arg.","L. B. Smith",NA,NA,NA,"R. Reitz","2796","1947","11","12","Brazil","Santa Catarina","Brusque","Azambuja","-48.910147","-27.126635",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502747","NY00502747_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","502751","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","recurva","Rudgea recurva","Müll.Arg.","J. H. Kirkbride Jr.",NA,NA,NA,"G. G. Hatschbach","35232","1974","10","17","Brazil","Paraná","Antonina","Saivá","-48.731953","-25.450829",NA,NA,NA,NA,"Xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502751","NY00502751_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
