"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","individualCount","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordedBy","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","infraspecificEpithet","relatedCatalogItem","typeStatus"
"1","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2035","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina","(Lodd.) Rchb.f.","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4103","S","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina",NA,"1","254","Carlos Alberto Ferreira Júnior","2017","05","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2120","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina","(Lodd.) Rchb.f.","1","254",NA,NA,NA,NA,"Brasil","Minas Gerais","Congonhas","Morro da Bandeira","-43.8577995300293","-20.4997005462646","16368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1996","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina","(Lodd.) Rchb.f.","1","254",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2421","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina","(Lodd.) Rchb.f.","1","254","Carlos A. Ferreira Jr.","2012","11","28","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, campo rupestre no caminho para a mata do Pico Brumoso","-43.7144012451172","-19.1688995361328","26557","auto","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","CAF","2012","11","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","822482","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina","(Lodd.) Rchb.f.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912314' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Brazil","Bahia","Abaíra","Campos da Serra do Bicota","-41.85","-13.33",NA,NA,"W. Ganev","1487","1992","11","18","South America","1550","1550","sheet","NY00822482","NY00822482_01",NA,NA,NA,NA,NA
"7","2019-10-09 11:28:31-03","UFBA","ALCB","82307","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina","(Lodd.) Rchb.f.",NA,"com pseudobulbo amarelado. Folhas coriáceas, concolores. Flores com pedunculo, pétalas e labelo vináceo. Freqüente.","Toscano, AL","2008","02",NA,"Brasil","Bahia","Caetité","Serra Geral, Brejinho das Ametistas, Bloco III","-42.466667","-14.066667",NA,NA,"Guedes, ML; Lima, DS; Valadão, RM","14333","2007","12","19","Southern America",NA,NA,NA,"ALCB009731","ALCB009731","-42.466667","-14.066667",NA,NA,NA
"8","2020-11-04 12:17:23-03","ESALQ","ESA","82288","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina",NA,NA,"flores roseas","Vieira, T.L.","2014","02","11","Brasil","Minas Gerais","Diamantina","BLOQUEADO","-43.6002998352051","-18.2493991851807","101169","auto","Araújo, A.O.; Duarte, A.R.; Mazine, F.F.; Tsuji, R.","141.0","2002","11","09",NA,"1119","1119",NA,"ESA082288","ESA082288",NA,NA,NA,NA,NA
"9","2021-03-31 13:40:42-03","MN","R","196508","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina","(Lodd.) Rchb. f.",NA,NA,"Koehler, S.","2002","05",NA,"Brasil","Minas Gerais",NA,"Camarinhas",NA,NA,NA,NA,"Pfeiffer, W.C.","173","1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:40:42-03","MN","R","3024","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Bifrenaria","tyrianthina","Bifrenaria tyrianthina","(Lodd.) Rchb. f.",NA,"Commissão Rondon","Hoehne, F.C.",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Hoehne, F.C.","6427","1915","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
