"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","country","stateProvince","county","individualCount","occurrenceRemarks","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","infraspecificEpithet","typeStatus"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1312","S","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cf. attastoma","Euphorbia cf. attastoma","Rizzini","2008","09","08","Brasil","Bahia","Caitité","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1311","S","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cf. attastoma","Euphorbia cf. attastoma","Rizzini","2008","09","08","Brasil","Bahia","Caitité","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1310","S","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cf. attastoma","Euphorbia cf. attastoma","Rizzini","2008","09","08","Brasil","Bahia","Caitité","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1313","S","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cf. attastoma","Euphorbia cf. attastoma","Rizzini","2008","09","08","Brasil","Bahia","Caitité","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1028032","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","attastoma","Euphorbia attastoma","Rizzini",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144432' target='other'> <mi>dwc_moreinfo</mi></a>","V. W. Steinmann","R. P. Belém","1623","1965","08","14","South America","Margem da Rodovia Nanuque - Teófilo Otoni.","sheet","NY01028032","NY01028032_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","823002","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","attastoma","Euphorbia attastoma","Rizzini",NA,NA,NA,"Brazil","Bahia","Ituaçu",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934135' target='other'> <mi>dwc_moreinfo</mi></a>","V. W. Steinmann","L. P. de Queiroz","1636","1987","06","22","South America","2 km SE da cidade de Ituaçú.","sheet","NY00823002","NY00823002_01","-41.2781","-13.8139","600","600",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1028034","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","attastoma","Euphorbia attastoma","Rizzini",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144439' target='other'> <mi>dwc_moreinfo</mi></a>","V. W. Steinmann","H. S. Irwin","23359","1969","02","16","South America","Serra do Espinhaço, ca. 8 km west of Grão Mogol","sheet","NY01028034","NY01028034_01","-42.8944","-16.56475","950","950",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1028038","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","attastoma","Euphorbia attastoma","Rizzini",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144443' target='other'> <mi>dwc_moreinfo</mi></a>","V. W. Steinmann","B. Maguire","49287","1960","08","18","South America","Slopes below (north) Grao Mogol","sheet","NY01028038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1028033","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","attastoma","Euphorbia attastoma","Rizzini",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144436' target='other'> <mi>dwc_moreinfo</mi></a>","V. W. Steinmann","H. S. Irwin","27091","1970","03","07","South America","Serra do Cabral. Ca. 8 km W of Joaquim Felício.","sheet","NY01028033","NY01028033_01",NA,NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1028037","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","attastoma","Euphorbia attastoma","Rizzini",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144442' target='other'> <mi>dwc_moreinfo</mi></a>","V. W. Steinmann","G. M. Magalhaes","18361","1960","08",NA,"South America","Serra de Grão Mogol","sheet","NY01028037","NY01028037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
