"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","imagecode","identifiedBy","day","county","decimalLongitude","decimalLatitude","yearIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","sex"
"1","2020-09-23 10:40:11-03","E","E","259406","PreservedSpecimen","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana","isotype","Spruce, Richard","2414","E. Tropical South America","BR","Amazonas","Near San Gabriel da Cachoeira, near Rio Negro, northern Brasil","herbarium specimen of unspecif","BGBASE:270336","<a href=http://data.rbge.org.uk/herb/E00259406 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","354798","PreservedSpecimen","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana","type","R. Spruce","2414","South America","Brazil","Amazonas","Prope San [São] Gabriel da Cachoeira, ad Rio Negro, Brasiliae borealis.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354798","Magnoliophyta","Laurales","Mez","1852","01","NY00354798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","756520","PreservedSpecimen","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana",NA,"R. Saraiva","1315","South America","Brazil","Acre","EMBRAPA-UEPAE","sheet",NA,"FUNTAC herb. no. 865 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756520","Magnoliophyta","Laurales","Mez","1991","07",NA,"H. H. van der Werff","24","Rio Branco","-67.8097","-9.9747",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","756519","PreservedSpecimen","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana",NA,"R. Saraiva","312","South America","Brazil","Acre","Rodovia AC 10, Projeto de Assentamento Dirigido Humaitá, Ramal da linha 5","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756519","Magnoliophyta","Laurales","Mez","1990","04",NA,"H. H. van der Werff","26","Rio Branco","-67.63","-9.75",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:39:05-03","EAO","IAN","91273","PreservedSpecimen","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana",NA,"Cowan, RS","38596","Southern America","Brasil","Amapá","Infrequent in riverine forest along right bank of Rio Amapari above camp about 2-3 miles.",NA,NA,NA,"IAN091273","Dicotiledônea",NA,"Mez","1954","11",NA,"Kopp, L","24",NA,"-52.916667","-0.916667","1955","-52.916667","-0.916667",NA,NA,NA,NA,NA,NA
"6","2015-09-05 08:11:30-03","MNHN","RECOLNAT_MNHN_P","P00128362","PreservedSpecimen",NA,"Lauraceae","Aiouea","benthamiana","Aiouea benthamiana","syntype","Spruce, R.",NA,NA,"Brésil",NA,"San Gabriel","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128362' target='other'> <mi>dwc_moreinfo</mi></a>","P00128362",NA,NA,"Mez","1851","8","P00128362_01","Kostermans",NA,NA,NA,NA,NA,NA,NA,"2415",NA,NA,NA,NA,NA
"7","2015-09-05 08:11:31-03","MNHN","RECOLNAT_MNHN_P","P00128363","PreservedSpecimen",NA,"Lauraceae","Aiouea","benthamiana","Aiouea benthamiana","isotype","Spruce, R.",NA,NA,"Brésil",NA,"Prope San Gabriel da Cachoeira, ad Rio Negro, Brasiliae borealis","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128363' target='other'> <mi>dwc_moreinfo</mi></a>","P00128363",NA,NA,"Mez",NA,NA,"P00128363_01","Kostermans",NA,NA,NA,NA,NA,NA,NA,"2414",NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2168648","PreservedSpecimen","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana",NA,"R. S. Cowan","38596","South America - Neotropics","Brazil","Serra do Navio","Serra do Navio, Terr. do Amapá, Rio Amapari",NA,NA,NA,"US01322208",NA,"Laurales","Mez","1954","11","US01322208_01",NA,"24",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","70","300","1",NA
"9","2019-09-04 19:31:37-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana","Type [status unknown]","R. Spruce","2414","South America","Brazil",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,"1852",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"10","2019-01-23 12:20:09-02","F","FMNH-SEEDPLANTS","V0061318F","PreservedSpecimen","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana","Isotype","R. Spruce","2414","South America","Brazil",NA,NA,NA,NA,NA,"V0061318F","Spermatophyta",NA,NA,"1852",NA,"V0061318F_01",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"11","2016-08-23 10:59:37-03","NHMLondon","NHM-LONDON-BOT","BM000993914","S","Plantae","Lauraceae","Aiouea","benthamiana","Aiouea benthamiana","Type","Richard Spruce; b.1817; d.1893; Spruce","2414",NA,"Brasil",NA,NA,NA,"NHMUK:ecatalogue:565947","<a href=http://www.nhm.ac.uk/services/media-store/asset/9fd681ee247fe1a01ec95961ea0ad0fae93fb5cf/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Mez","1852","01",NA,"Susanne Sabine Renner; b.1954; S.S.Renner",NA,NA,"-53.08982","-10.773109","1980","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA
"12","2020-09-18 09:34:06-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae","Lentibulariaceae","Aiouea","benthamiana","Aiouea benthamiana",NA,"Rosas, A","1540",NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,"Scrophulariales","Ehringhaus, C; Daly, DC; GOMES, D; SILVA, P; Oliveira, ARS;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
