"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00893779","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.","W. R. Anderson","G. G. Hatschbach","33157","1973","11","13","South America","Brazil","Mato Grosso do Sul","Rio Verde de Mato Grosso","Rod. Br 163.","-54.8442","-18.9183","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893779","NY00893779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00893778","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.","W. R. Anderson","G. G. Hatschbach","33016","1973","11","10","South America","Brazil","Mato Grosso do Sul","Sidrolândia","Rod. Br 163.","-54.9614","-20.9319","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893778","NY00893778_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00893777","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.","W. R. Anderson","G. G. Hatschbach","25184","1970","10","24","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Rio Vacaria.","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893777","NY00893777_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:42:20-03","EAO","IAN","18437","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.",NA,"Sellow, F","5071",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN018437","IAN018437_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:43:30-03","EAO","IAN","14692","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.","Barreto, M","Magalhães, MG","2215","1942","09","27","Southern America","Brasil","Minas Gerais","Betim","Cerrado, ferrugem, muito frequente.","-44.198299407959","-19.9678001403809",NA,"Arbusto de 1m de altura, flores amarelas.","IAN014692","IAN014692 IAN014692_e","15199","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:43:30-03","EAO","IAN","14688","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.","Barreto, M","Magalhães, MG","1886","1942","04","24","Southern America","Brasil","Minas Gerais","Pirapora","Cerrado pedregoso Independência, muito frequente.","-44.9418983459473","-17.3449993133545",NA,"Arbusto de 2m de altura, flores amarelas.","IAN014688","IAN014688 IAN014688_e","25004","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:55:04-03","NBC","NL-BOTANY","WAG.1072601","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.",NA,"Pedersen TM",NA,"1986","10","19","Southern America","Brazil",NA,NA,"Pedro Juan Caballero, Dep Amambay.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1072601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1072601","NL-WAG1072601",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:55:04-03","NBC","NL-BOTANY","L.3925411","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.",NA,"Pedersen TM",NA,"1975","02","13","Southern America","Brazil",NA,NA,"Estancia 'La Manina', Distr. San Estanislao, Dep. San Prdeo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3925411 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3925411","NL-L3925411",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:55:04-03","NBC","NL-BOTANY","L.3925412","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.",NA,"Pedersen TM",NA,"1975","02","13","Southern America","Brazil",NA,NA,"Estancia 'La Manina', Distr. San Estanislao, Dep. San Prdeo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3925412 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3925412","NL-L3925412",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:55:04-03","NBC","NL-BOTANY","L.3925428","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Byrsonima","psilandra","Byrsonima psilandra","Griseb.",NA,"Pedersen TM",NA,"1986","10","19","Southern America","Brazil",NA,NA,"Pedro Juan Caballero, Dep Amambay.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3925428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3925428","NL-L3925428",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
