"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","class"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","200","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult. & Schult.f.","Elton. C. M. Leme","2009","05","Elton M. C. Leme; Pedro Nahoum","1992","02","21","Brasil","Minas Gerais","Catas Altas","Entre Mariana e Catas-Altas","-43.4075012207031","-20.0746994018555","11966","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","873257","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult.f.","R. C. Forzza",NA,NA,"H. S. Irwin","1970","03","28","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada, road to Inhaí","-43.7833","-18.0833",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954613' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"28452","South America","1200","1200","sheet","NY00873257","NY00873257_01",NA,NA,NA,NA,NA
"3","2019-03-20 11:47:06-03","MCN-PUC-MINAS","HPUC-MG","ANG3469","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","rariflora","Dyckia rariflora",NA,"Machado, T.M.",NA,NA,"Santos, A.","2011","09","16","Brasil","Minas Gerais","Mariana","Mina de Fábrica Nova","-43.433333","-20.198611",NA,NA,"Doação Bioma.",NA,NA,NA,NA,NA,NA,NA,NA,"43°26'00''W","20°11'55''S",NA,NA,NA
"4","2021-04-08 17:44:51-03","EAO","IAN","40962","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Dyckia","elata","Dyckia elata","Mez",NA,NA,NA,"Schwacke, J",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8739","Southern America",NA,NA,NA,"IAN040962",NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:44:51-03","EAO","IAN","27645","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult.f.",NA,NA,NA,"Martins-da-Silva, RCV",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","Southern America",NA,NA,NA,"IAN027645","IAN027645_f",NA,NA,NA,NA,NA
"6","2021-01-14 15:25:52-03","MN","R","111028","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult. & Schult. f.","Forzza, R.C.","1997","03","Smith, L.B. 7065; Segadas-Vianna, F.; Magnanini, A.; Egler, W.A.; Oliveira e Silva, S.L.; Dau, L.; Lopes da Silva, Z.; Ormond, W.T. & Machline, G.C.","1952","04","29","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.95","-19.666667",NA,NA,NA,NA,NA,NA,"1000","1000",NA,"R010005732","R010005732","43°57'W","19°40'S","11",NA,NA
"7","2021-01-14 15:25:52-03","MN","R","195917","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult. & Schult. f.","Forzza, R.C.","1997","02","Hoehne, F.C.","1911","03",NA,"Brasil","Mato Grosso","Itambé do Mato Dentro","Cabeça de Boi",NA,NA,NA,NA,"Comissão Rondon",NA,"3546",NA,NA,NA,NA,"R010005731","R010005731",NA,NA,"17",NA,NA
"8","2021-01-14 15:25:52-03","MN","R","195919","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult. & Schult. f.","Forzza, R.C.","1997","02","Hoehne, F.C.","1911","03",NA,"Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,"Comissão Rondon",NA,"4550",NA,"580","580",NA,"R010005730","R010005730",NA,NA,"17",NA,NA
"9","2021-01-14 15:25:52-03","MN","R","4818","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult. & Schult. f.","Forzza, R.C.","1997","02","Hoehne, F.C.","1911","03",NA,"Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,"Comissão Rondon",NA,"4545",NA,NA,NA,NA,"R010005729","R010005729",NA,NA,"17",NA,NA
"10","2021-01-14 15:25:52-03","MN","R","4819","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult. & Schult. f.","Forzza, R.C.","1997","02","Hoehne, F.C.","1911","03",NA,"Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,"Comissão Rondon",NA,"3545",NA,NA,NA,NA,"R010005728","R010005728",NA,NA,"17",NA,NA
"11","2021-01-14 15:25:52-03","MN","R","193230","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","rariflora","Dyckia rariflora","Schult. & Schult. f.","Guarçoni, E.","2014","05","Silveira, A.A.","1896","10",NA,"Brasil","Minas Gerais","Ouro Preto","Gambá.","-43.5080986022949","-20.2875003814697","44599",NA,"Ex. Herbário da Commissão Geographica e Geologica de Minas, nº 2275","auto",NA,NA,NA,NA,NA,"R010005733","R010005733",NA,NA,"21",NA,NA
