"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-24 10:58:18-03","UEPA","MFS-FLORES","MFSFL000008","S","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.","Silva, CAS da","Leao, DC da S","16","2011","08","22","Brasil","Pará","Belém","Conjunto Bela Vista, entre a Tv. Belo Horizonte e Boa Vista.","-48.490178","-1.455731","-48.490178","-1.455731","MFS000586","Árvore de cerca de 3m de altura. Flor amarelo claro. Fruto muricado, verde imaturo marrom. Polpa macia de cor creme, Semente amalera, cheiro de cacau.","MFSFL000008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:02-03","E","E","201548","PreservedSpecimen","Plantae","Annonaceae","Annona","muricata","Annona muricata",NA,NA,"Pennington, T.D.; Daza, A.","17514","2003","02","10","PE",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00201548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201548","W. Tropical South America","herbarium specimen of unspecif","BGBASE:209812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378879","PreservedSpecimen","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.","D. R. Simpson","D. R. Simpson","532","1968","01","02","Peru","Tumbes","Zarumilla","Dtto. Matapalo. Bosque Nacional de Tumbes. Quebrada Faical about 500 m east of El Caucho",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378879","South America","sheet",NA,"Magnoliophyta","Magnoliales","600","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378881","PreservedSpecimen","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.","A. L. Peixoto; V. Perazzo","B. D. Sucre","3233","1968","07","14","Brazil","Rio de Janeiro","Rio de Janeiro","Reduto de formaçao secundária do morro Macedo Sobrinho","-43.2075","-22.9031",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378881","South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,"NY00378881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00836172","PreservedSpecimen","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.","L. Aristeguieta","G. T. Prance","59299","1964","10","08","Brazil","Mato Grosso","Água Boa","50 km north of Chavantina, Rio Vau. Serra do Roncador","-52.1583","-14.0503",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836172","South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,"NY00836172_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00836173","PreservedSpecimen","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.","L. Aristeguieta","G. T. Prance","59299","1964","10","08","Brazil","Mato Grosso","Água Boa","50 km north of Chavantina, Rio Vau. Serra do Roncador","-52.1583","-14.0503",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836173","South America","separate fruit",NA,"Magnoliophyta","Magnoliales",NA,NA,"NY00836173_01 NY00836173_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00836174","PreservedSpecimen","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.","L. Aristeguieta","G. T. Prance","59468","1964","10","18","Brazil","Goiás","Caiapônia","Rio Claro, ca. 40 km. S. of Caiapônia on road to Jataí. Serra do Caiapó.","-51.78","-17.27",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836174","South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,"NY00836174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00836175","PreservedSpecimen","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.","L. Aristeguieta","G. T. Prance","59515","1964","10","21","Brazil","Goiás","Jataí","Serra do Caiapó. 13 km N of Jataí, road Jataí to Caiaponia.","-51.7142","-17.8817",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836175","South America","separate fruit",NA,"Magnoliophyta","Magnoliales",NA,NA,"NY00836175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02431601","PreservedSpecimen","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.",NA,"G. T. Prance","21014","1974","05","03","Brazil","Amazonas","Manaus","INPA, Estrada do Aleixo, km 3.","-60.0250015258789","-3.10193991661072",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979922' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431601","South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,"NY02431601_01","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","194441","PreservedSpecimen","Plantae","Annonaceae","Annona","montana","Annona montana","Macfad.","W. L. Balée","W. L. Balée","1884","1985","11","04","Brazil","Pará","Altamira","Igarapé Ipixuna, affluent of Rio Xingu; 5km S of settlement, Araweté Indian Reserve.","-52.2064018249512","-3.20333003997803",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00194441","South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,"NY00194441_01","748499","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
