"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","493371","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","L. B. Smith","I. Mimura","43","1961","10","17","South America","Brazil","São Paulo","Sao José dos Campos","Parte superior da encosta leste do vale do Córrego da Ressaca, 6-6 1/2 km ao SW (ao longo da Rodovia Pres. Dutra) da saída para SAO JOSÉ DOS CAMPOS, 100-500 m ao lado SE da rodovia","-45.88","-23.1703","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493371","NY00493371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00493365","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","G. O. A. Malme","G. O. A. Malme","1172","1893","11","28","South America","Brazil","Mato Grosso","Cuiabá","Cuyabá","-56.043867","-15.612755",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493365","NY00493365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493369","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","T. M. Pedersen","G. G. Hatschbach","23046","1969","12","03","South America","Brazil","Paraná","Ponta Grossa","Rio Guaviroba","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493369","NY00493369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493368","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","T. M. Pedersen","G. G. Hatschbach","20615","1968","12","10","South America","Brazil","Paraná","Laranjeiras do Sul","Km. 127","-52.4158","-25.4081",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493368","NY00493368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","493375","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.",NA,"P. K. H. Dusén","10918","1910","12","02","South America","Brazil","Paraná",NA,"Lago",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493375","NY00493375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01096327","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","J. C. de Siqueira","I. Mimura","613","1967","11","22","South America","Brazil","São Paulo","Sao José dos Campos","Parte superior da encosta leste do vale do Córrego da Ressaca, 6-6 1/2 km ao SW (ao longo da Rodovia Pres. Dutra) da saida para Sao José dos Campos, 100-500 m ao lado SE da rodovia","-45.88","-23.1703","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236348' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096327","NY01096327_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","493378","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","L. B. Smith","S. M. de Campos","134","1959","11","25","South America","Brazil","São Paulo","Itapetininga","Faz. Bom Retiro; SW da cod. de ITAPETININGA, próximo ao rio Paranapanema","-48.0497","-23.5903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493378","NY00493378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","493374","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","O. A. Guimarães","A. C. Cervi","3031","1992","12","28","South America","Brazil","Paraná","Jaguariaíva","Mun. Jaguariaíva(arredores)","-49.68","-24.23",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493374","NY00493374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","493372","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","S. F. Smith","R. Reitz","17892","1965","12","17","South America","Brazil","Paraná","Castro","Carambeí, Rio S. Joao","-50.152803","-24.908517","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493372","NY00493372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","493366","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","graminea","Gomphrena graminea","Moq.","J. A. Mears","A. G. Schulz","6952","1948","02","02","South America","Argentina","Misiones","Concepción",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
