X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,preparationType,occurrenceRemarks,barcode,imagecode,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,verbatimLongitude,verbatimLatitude,class,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,individualCount,typeStatus,fieldNumber,NM_MUNICIP,CD_GEOCMU
-47.2900009155273,-23.2600002288818,"15",2021-03-01 16:38:42-03,UNICAMP,UEC,"174419",S,Plantae,Magnoliopsida,NA,Rhamnaceae,Gouania,inornata,Gouania inornata,Reissek,NA,"Souza, WS; Britez, RM","25196","1987","07","14",NA,Brazil,São Paulo,Itu,Área de proteção ambiental,NA,"Trepadeira com frutos verdes, sobre Roupala; em floresta ciliar, próximo a represa.",UEC171772,UEC171772,-47.2900009155273,-23.2600002288818,NA,NA,NA,NA,NA,"22309",auto,NA,NA,NA,NA,NA,NA,ITU,"3523909"
-46.6300010681152,-23.5400009155273,"29",2019-11-13 11:29:38-03,USP,SPF,"171189",PreservedSpecimen,Plantae,NA,NA,Rhamnaceae,Gouania,acalyphoides,Gouania acalyphoides,Reissek,Anônimo,"Hoehne, W",s.n.,"1933","02","28",NA,Brasil,São Paulo,São Paulo,NA,NA,NA,SPF00171189,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
