X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,class,typeStatus,relatedCatalogItem,fieldNumber,minimumElevationInMeters,maximumElevationInMeters,individualCount,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,dayIdentified,verbatimLongitude,verbatimLatitude,NM_MUNICIP,CD_GEOCMU
-46.4097,-23.71,"1",2021-03-15 16:37:00-03,NY,NYBG,"469369",PreservedSpecimen,Plantae,Magnoliophyta,Laurales,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo,J. B. Baitello,F. C. Hoehne,"1215","1918","01","07",South America,Brazil,São Paulo,Ribeirao Pires,Alto da Serra. Matta da Estaçao Biologica,-46.4097,-23.71,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356456' target='other'> <mi>dwc_moreinfo</mi></a>,NY00469369,NY00469369_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RIBEIRÃO PIRES,"3543303"
-46.5297,-23.66,"2",2021-03-15 16:37:00-03,NY,NYBG,"469370",PreservedSpecimen,Plantae,Magnoliophyta,Laurales,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo,B. Coe-Teixeira,A. Gehrt,s.n.,"1934","10","29",South America,Brazil,São Paulo,Santo André,Alto da Serra. Estaçao Biologica,-46.5297,-23.66,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356455' target='other'> <mi>dwc_moreinfo</mi></a>,NY00469370,NY00469370_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-45.5,-23.46666,"7",2008-05-27 22:02:00-03,MO,MOBOT,"55272",PreservedSpecimen,Plantae,NA,NA,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo-Gil,Henk van der Werff,Alwyn H. Gentry|Elsa M. Zardini,Gentry 49372,"1985","1","9",South America,Brazil,São Paulo,NA,"Parque Estadual de Caraguatatuba, road NE from SP. Hwy. 99 at Km. 66, 0-2.4 km from main hwy., wet premontante forest.",-45.5,-23.46666,NA,NA,NA,NA,NA,NA,NA,85-22,"700.00000000","750.00000000","7",NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.5299987792969,-23.6599998474121,"10",2019-11-21 10:07:28-03,IBt,SP,"1215",S,Plantae,NA,NA,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo-Gil,"Baitello, JB","Hoehne, FC",s.n.,"1918","01","07",NA,Brasil,São Paulo,Santo André,Alto da Serra,-46.5299987792969,-23.6599998474121,NA,NA,SP054640,SP054640,NA,NA,NA,NA,NA,NA,NA,"1999","07","27258",auto,"30",NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"11",2021-02-11 09:24:57-03,IBt,SP,"54807",S,Plantae,NA,NA,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo-Gil,NA,"Handro, O","409","1954","10","16",NA,Brasil,São Paulo,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"12",2021-02-11 09:24:57-03,IBt,SP,"31863",S,Plantae,NA,NA,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo-Gil,NA,"Gehrt, A",s.n.,NA,NA,NA,NA,Brasil,São Paulo,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"13",2019-11-21 10:07:28-03,IBt,SP,"249767",S,Plantae,NA,NA,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo-Gil,"Kirizawa, M","Kirizawa, M; et al.","2538","1991","11","05",NA,Brasil,São Paulo,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,"Mata de encosta, picada cinco, em área relativamente preservada, árvore +-4,0m alt.",SP054637,SP054637,NA,NA,NA,NA,NA,NA,NA,"1991","11","27258",auto,"21",NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"14",2019-11-21 10:07:28-03,IBt,SP,"232715",S,Plantae,NA,NA,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo-Gil,"Sugiyama, M","Lopes, EA; et al.","81","1980","11","26",NA,Brasil,São Paulo,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,"Árvore 5,0m, flores creme, picada quinze",SP054638,SP054638,NA,NA,NA,NA,NA,NA,NA,"1989","06","27258",auto,"07",NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"15",2021-02-11 09:24:57-03,IBt,SP,"195217",S,Plantae,NA,NA,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo-Gil,NA,"Kirizawa, M","1113",NA,NA,NA,NA,Brasil,São Paulo,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"16",2021-02-11 09:24:57-03,IBt,SP,"192918",S,Plantae,NA,NA,Lauraceae,Ocotea,basicordatifolia,Ocotea basicordatifolia,Vattimo-Gil,NA,"Handro, O","1194",NA,NA,NA,NA,Brasil,São Paulo,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,SANTO ANDRÉ,"3547809"
