X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,county,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,class,dayIdentified,typeStatus,fieldNumber,individualCount,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-45.889778,-23.653806,"134",2019-11-06 16:08:37-03,IAC,IAC,"6121",S,Plantae,Melastomataceae-2.Melastomoideae,Leandra,salicina,Leandra salicina,A.S. Lima,s/nº,"1941","01","16",NA,Brasil,NA,NA,NA,NA,NA,NA,Cogn.,A.C. Brade,São Paulo,"Estação Experimental de Boracéia/Estação Experimental de Quina (atual Estação Biológica de Boracéia, Museu de Zoologia/USP)",-45.889778,-23.653806,NA,NA,NA,Salesópolis,NA,NA,"1941","04","-45.889778","-23.653806",NA,"17",NA,NA,NA,NA,SALESÓPOLIS,"3545001"
-45.866667,-23.633333,"165",2019-11-21 10:09:54-03,IBt,SP,"195495",S,Plantae,Melastomataceae,Leandra,salicina,Leandra salicina,"Custodio Filho, A","2118","1983","12","28",NA,Brasil,NA,NA,NA,NA,NA,NA,Cogn.,"Souza, MLD; Baumgratz, JF",São Paulo,Estação Biológica de Boracéia,-45.866667,-23.633333,"890","950",NA,Biritiba-Mirim,NA,NA,"2004",NA,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,SALESÓPOLIS,"3545001"
