X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,recordNumber,phylum,coordinatePrecision,geoFlag,individualCount,continentOcean,preparationType,previousCatalogNumber,order,infraspecificEpithet,class,relatedCatalogItem,relationshipType,fieldNumber,typeStatus,sex,NM_MUNICIP,CD_GEOCMU
-46.8286,-24.1664,"110",2021-03-15 16:37:00-03,NY,NYBG,"2554091",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis,(L.) Sw.,NA,NA,NA,NA,A. Salino,"2001","04","17",Brazil,São Paulo,Itanhaém,"Parque Estadual da Serra do Mar, Núcleo de Curucutu.",-46.8286,-24.1664,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808736' target='other'> <mi>dwc_moreinfo</mi></a>,NY02554091,NY02554091_01,"100","120","6597",Pteridophyta,NA,NA,NA,South America,sheet,NA,Schizaeales,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.63,-23.6,"129",2016-09-29 18:50:00-03,NY,NYBG,"807468",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis,NA,NA,NA,NA,NA,C. B. Fonseca,"1961","03","13",Brazil,São Paulo,Sao Paulo,"Parque do Estado (on old maps Parque de Agua Funda), grounds of the Instituto de Botânica. Ca. 10km S and ca. 1km E of center of Sao Paulo (Praça da Sé).",-46.63,-23.6,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799341' target='other'> <mi>dwc_moreinfo</mi></a>,NY00807468,NY00807468_01,"800","800","38",Pteridophyta,NA,NA,NA,South America,sheet,NA,Schizaeales,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"148",2021-03-15 16:37:00-03,NY,NYBG,"807465",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis,(L.) Sw.,NA,NA,NA,NA,S. Tsugaru,"1987","07","04",Brazil,São Paulo,Sao Paulo,"Parque de Anhanguera, Vairo de Pelusu.",-46.63,-23.5403,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799337' target='other'> <mi>dwc_moreinfo</mi></a>,NY00807465,NY00807465_01,"750","750",B-16,Pteridophyta,NA,NA,NA,South America,sheet,NA,Schizaeales,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.621883,-23.654505,"176",2016-09-29 18:50:00-03,NY,NYBG,"807471",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis,NA,NA,NA,NA,NA,W. Hoehne,"1948","08","10",Brazil,São Paulo,Sao Paulo,Parque Estadual S. Paulo. Capital.,-46.621883,-23.654505,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799391' target='other'> <mi>dwc_moreinfo</mi></a>,NY00807471,NY00807471_01,NA,NA,"2648",Pteridophyta,NA,NA,NA,South America,sheet,NA,Schizaeales,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.8497,-23.64,"241",2016-09-30 18:31:00-03,NY,NYBG,"720362",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis,NA,NA,NA,NA,NA,J. Prado,"2007","08","30",Brazil,São Paulo,Embu,"Rodoanel Mário Covas, trecho Sul, lote 5.",-46.8497,-23.64,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500306' target='other'> <mi>dwc_moreinfo</mi></a>,NY00720362,NY00720362_01,NA,NA,"1714",Pteridophyta,NA,NA,NA,South America,sheet,NA,Schizaeales,NA,NA,NA,NA,NA,NA,NA,EMBU DAS ARTES,"3515004"
-46.343102,-23.950077,"341",2021-03-15 16:37:00-03,NY,NYBG,"02554067",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis fraxinifolia,Hassl.,NA,NA,NA,NA,J. N. Rose,"1915","09","20",Brazil,São Paulo,NA,Near Santos.,-46.343102,-23.950077,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808697' target='other'> <mi>dwc_moreinfo</mi></a>,NY02554067,NY02554067_01,NA,NA,"21131",Pteridophyta,NA,NA,NA,South America,sheet,NA,Schizaeales,fraxinifolia,NA,NA,NA,NA,NA,NA,SANTOS,"3548500"
-46.63,-23.6,"381",2021-03-15 16:37:00-03,NY,NYBG,"02554092",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis tweedieana,Hassl.,NA,NA,NA,NA,C. B. Fonseca,"1961","03","13",Brazil,São Paulo,Sao Paulo,"Parque do Estado (on old maps Parque de Agua Funda), grounds of the Instituto de Botânica. Ca. 10km S and ca. 1km E of center of Sao Paulo (Praça da Sé).",-46.63,-23.6,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808739' target='other'> <mi>dwc_moreinfo</mi></a>,NY02554092,NY02554092_01,"800","800","38",Pteridophyta,NA,NA,NA,South America,sheet,NA,Schizaeales,tweedieana,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.033333,-24.366667,"401",2021-02-08 11:07:01-03,UNESP-IBB,BOTU,"7411",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis,(L.) Sw.,"Salino, A.","1988","02","26","Lusso, M.F.G.","1979","11","02",Brasil,São Paulo,Peruíbe,Guarau,-47.033333,-24.366667,47°02'w,24°22's,Samambaias e licófitas,BOTU007411,NA,NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.810001373291,-23.8299999237061,"448",2019-11-19 15:45:40-03,UNEB,HUNEB,"3289",PreservedSpecimen,Plantae,Schizaeaceae,Anemia,phyllitidis,Anemia phyllitidis,(L.) Sw.,NA,NA,NA,NA,"Simão-Bianchini, R.","1996","09","03",Brasil,São Paulo,Embu-Guaçu,NA,-46.810001373291,-23.8299999237061,NA,NA,NA,HUNEB0003289,NA,NA,NA,"1025",Pteridophyta,"15311",auto,NA,NA,NA,NA,Florideophycidae,NA,Filicopsida,NA,NA,NA,NA,NA,EMBU-GUAÇU,"3515103"
-46.5299987792969,-23.4599990844727,"477",2020-01-20 14:40:08-03,UPM,MACK,"710",PreservedSpecimen,Plantae,Anemiaceae,Anemia,phylitidis,Anemia phylitidis,(L.) Sw.,NA,NA,NA,NA,D. S. Lúcio,"2007","08","22",Brasil,SP,Guarulhos,Acampamento Cabucu Mackenzie,-46.5299987792969,-23.4599990844727,NA,NA,NA,NA,NA,NA,NA,"1",NA,"26398",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GUARULHOS,"3518800"
