X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,locality,coordinatePrecision,geoFlag,phylum,order,individualCount,infraspecificEpithet,recordNumber,continentOcean,preparationType,class,minimumElevationInMeters,maximumElevationInMeters,fieldNumber,NM_MUNICIP,CD_GEOCMU
-46.99,-24.32,"14",2021-03-15 16:37:00-03,NY,NYBG,"414820",PreservedSpecimen,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia macrochila,Barb.Rodr.,F. C. Hoehne,NA,NA,NA,A. Gehrt,"1922","05","15",Brazil,São Paulo,Peruíbe,-46.99,-24.32,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240732' target='other'> <mi>dwc_moreinfo</mi></a>,NY00414820,NY00414820_01,Ilha Q. Grande [Ilha Queimada Grande],NA,NA,Magnoliophyta,Asparagales,NA,macrochila,"8146",South America,sheet,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.99,-24.32,"17",2021-03-15 16:37:00-03,NY,NYBG,"414820",PreservedSpecimen,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia macrochila,Barb.Rodr.,F. C. Hoehne,NA,NA,NA,A. Gehrt,"1922","05","15",Brazil,São Paulo,Peruíbe,-46.99,-24.32,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240732' target='other'> <mi>dwc_moreinfo</mi></a>,NY00414820,NY00414820_01,Ilha Q. Grande [Ilha Queimada Grande],NA,NA,Magnoliophyta,Asparagales,NA,macrochila,"8146",South America,sheet,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.9900016784668,-24.3199996948242,"19",2020-11-04 12:17:29-03,ESALQ,ESA,"11484",PreservedSpecimen,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia,Grah.,"van den Berg, C.",NA,NA,NA,"Souza, V.C. ; Abbud, V.","1988","10","10",Brasil,São Paulo,Peruíbe,-46.9900016784668,-24.3199996948242,NA,NA,NA,ESA011484,NA,NA,"21922",auto,Magnoliophyta,NA,NA,NA,"220.0",NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.9900016784668,-24.3199996948242,"20",2020-11-04 12:17:29-03,ESALQ,ESA,"11486",PreservedSpecimen,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia,Grah.,"van den Berg, C.",NA,NA,NA,"Souza, V.C. ; Abbud, V.","1988","10","10",Brasil,São Paulo,Peruíbe,-46.9900016784668,-24.3199996948242,NA,NA,NA,ESA011486,NA,NA,"21922",auto,Magnoliophyta,NA,NA,NA,"261.0",NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.883333,-23.183333,"67",2016-09-01 11:57:59-03,FFCLRP,LBMBP,"75",S,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia,Graham ex Hook,E.R. Pansarin,NA,NA,NA,E.R. Pansarin,NA,NA,NA,Brasil,São Paulo,Jundiaí,-46.883333,-23.183333,46°53'W,23°11'S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.3300018310547,-23.9599990844727,"113",2019-11-13 16:04:56-03,UNISANTA,HUSC,"3634",PreservedSpecimen,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia,Grah.,"Kayasima, M.","2006","12",NA,"Boldin, A.H.L.; et al.","2008","03",NA,Brasil,São Paulo,Santos,-46.3300018310547,-23.9599990844727,NA,NA,"Planta epífita crescendo sobre árvore.; Floresta baixa de restinga",NA,NA,Sítio Sandi,"26836",auto,Magnoliophyta,NA,NA,NA,"337",NA,NA,NA,NA,NA,NA,SANTOS,"3548500"
-46.416667,-23.883333,"160",2017-09-11 17:11:32-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia,Graham,NA,NA,NA,NA,"Burchell, WJ","1826","09","24",Brazil,São Paulo,Cubatão,-46.416667,-23.883333,"-46.416667","-23.883333",NA,NA,P03P5N0051,"IBB/Cubatão, SP, swampy level ground westward of Santos towards Cubatão",NA,NA,NA,NA,NA,NA,"3126",Southern America,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.33,-23.96,"161",2017-09-11 17:11:32-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia,Graham,NA,NA,NA,NA,"Burchell, WJ",NA,NA,NA,Brazil,São Paulo,Santos,-46.33,-23.96,NA,NA,NA,NA,P03P5N0051,in arboribus prope Santos,"26836",auto,NA,NA,NA,NA,"3126",Southern America,NA,NA,NA,NA,NA,SANTOS,"3548500"
-46.4199981689453,-23.8899993896484,"209",2019-11-21 10:12:59-03,IBt,SP,"3448",S,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia,Graham,"Hoehne, FC",NA,NA,NA,"Hoehne, FC","1919","09","26",Brasil,São Paulo,Cubatão,-46.4199981689453,-23.8899993896484,NA,NA,NA,NA,NA,Raiz da Serra,"15123",auto,NA,NA,NA,NA,s.n.,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.3300018310547,-23.9599990844727,"211",2019-11-21 10:12:59-03,IBt,SP,"8032",S,Plantae,Orchidaceae,Cattleya,intermedia,Cattleya intermedia,Graham,"Hoehne, FC",NA,NA,NA,"Hoehne, FC","1922","10","05",Brasil,São Paulo,Santos,-46.3300018310547,-23.9599990844727,NA,NA,NA,NA,NA,NA,"26836",auto,NA,NA,NA,NA,s.n.,NA,NA,NA,NA,NA,NA,SANTOS,"3548500"
