X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,continentOcean,country,stateProvince,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,month,day,county,locality,coordinatePrecision,geoFlag,class,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,minimumElevationInMeters,maximumElevationInMeters,dayIdentified,fieldNumber,individualCount,previousCatalogNumber,NM_MUNICIP,CD_GEOCMU
-45.9375,-23.075,"12",2020-12-20 21:18:22-03,UFV,VIC,"11033",PreservedSpecimen,Plantae,NA,NA,Melastomataceae,Miconia,tentaculifera,Miconia tentaculifera,Nand,NA,"Silva, A. .F.","1390","1986",NA,Brasil,São Paulo,-45.9375,-23.075,NA,NA,VIC011033,VIC011033,NA,"03","06",São José dos Campos,Flora da Reserva Florestal da Boa Vista,NA,NA,NA,"-45.9375","-23.075",NA,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.8800010681152,-23.1700000762939,"24",2020-12-21 16:34:51-03,MBM,MBM,"144743",PreservedSpecimen,Plantae,NA,NA,Melastomataceae,Miconia,tentaculifera,Miconia tentaculifera,Naudin,NA,"Silva, A.F.; et al.; et al.","1389",NA,Southern America,Brazil,São Paulo,-45.8800010681152,-23.1700000762939,NA,NA,MBM144743,MBM144743,NA,NA,NA,São José dos Campos,São José dos Campos,"39297",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
