X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,stateProvince,locality,imagecode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,yearIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,maximumElevationInMeters,monthIdentified,class,dayIdentified,typeStatus,fieldNumber,individualCount,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"17",2020-11-04 11:15:10-03,ESALQ,ESA,"86962",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Mendonça, F.B.","177.0","2002","10","11",NA,Brasil,NA,NA,NA,ESA086962,Magnoliophyta,NA,O.Berg,"Tuler, A.C.",São Paulo,NA,ESA086962,São Paulo,-46.6300010681152,-23.5400009155273,NA,"2018","53584",auto,NA,NA,NA,"08",NA,"06",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"21",2020-11-04 11:15:10-03,ESALQ,ESA,"86963",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Mendonça, F.B.","248.0","2003","03","19",NA,Brasil,NA,NA,NA,ESA086963,Magnoliophyta,NA,O.Berg,"Tuler, A.C.",São Paulo,NA,ESA086963,São Paulo,-46.6300010681152,-23.5400009155273,NA,"2018","53584",auto,NA,NA,NA,"08",NA,"06",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5499992370605,-23.1100006103516,"36",2020-12-20 21:18:41-03,UFV,VIC,"11955",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Meira, Neto J A; et al.",s.n.,"1987","11","16",NA,Brasil,NA,NA,"Árvore de 4 m, botões e flores brancas, na beira da mata",VIC011955,NA,NA,O.Berg,NA,São Paulo,Fazenda Grota Funda,VIC011955,Atibaia,-46.5499992370605,-23.1100006103516,NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.6167,-23.5333,"42",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009491,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Cordeiro,"1695","1997","11","29",NA,Brazil,NA,NA,"Arvoreta da beira da mata, casca semelhante a da j",NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,"Bairro de Interlagos, SESC Interlagos, fragmento de mata ombrofila.",NA,Sao Paulo,-46.6167,-23.5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.85,-23.5333,"43",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009493,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Kuhlmann,"4337","1958","3","15",NA,Brazil,NA,NA,NA,NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,"Boracea, margem do Rio Claro.",NA,Salesopolis,-45.85,-23.5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SALESÓPOLIS,"3545001"
-45.85,-23.5333,"46",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009494,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Mattos,"13861","1966","8","26",NA,Brazil,NA,NA,Arbusto de 2m de altura. Casca cinzenta. Ramos e f,NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,"Estacao Biologica de Boraceia, perto do Rio Claro.",NA,Salesopolis,-45.85,-23.5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SALESÓPOLIS,"3545001"
-46.6167,-23.5333,"48",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009492,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Cordeiro,"1624","1996","1","10",NA,Brazil,NA,NA,"Arvore ca. 8m alto; flores alvas, odoriferas.",NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,"Bairro de Interlagos, SESC Interlagos, fragmento de mata ombrofila.",NA,Sao Paulo,-46.6167,-23.5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.624975,-23.643586,"56",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009495,PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Pereira,s/n,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,Magnoliophyta,Myrtales,O.Berg,NA,Sao Paulo,Cultivada no Jardim Botanico de Sao Paulo.,NA,NA,-46.624975,-23.643586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46,-23.58333,"155",2008-05-27 22:02:00-03,MO,MOBOT,"309046",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4640,"1987","2","4",South America,Brazil,NA,NA,NA,NA,NA,NA,O. Berg,"C. Proenga (UB), May/",São Paulo,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 7",NA,NA,-46,-23.58333,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87-8,"1",NA,BIRITIBA MIRIM,"3506607"
-46,-23.58333,"156",2008-05-27 22:02:00-03,MO,MOBOT,"309220",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4516,"1987","2","3",South America,Brazil,NA,NA,NA,NA,NA,NA,O. Berg,"C. Proenga (UB), May/",São Paulo,"Boraceia, between Moji das Cruzes and Biritiba-Mirim crest of Serra do Mar. Transect 1",NA,NA,-46,-23.58333,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87-1,"1",NA,BIRITIBA MIRIM,"3506607"
