X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,typeStatus,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,class,fieldNumber,individualCount,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-45.183333,-23.4,"11",2021-03-01 16:36:32-03,UNICAMP,UEC,"200694",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrcia,bicolor,Myrcia bicolor,Kiaersk.,"Meireles, LD","Pereira, LS; Belinello, R; Gomes, JAMA",N1110,"2007","12",NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,"990","1045",NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 6.5 metros de altura. Frequência da espécie na parcela: n=12; Mata Atlântica",UEC158086,NA,NA,"2017","-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.183333,-23.4,"13",2021-03-01 16:36:32-03,UNICAMP,UEC,"200196",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrcia,bicolor,Myrcia bicolor,Kiaersk.,"Meireles, LD","Padgurschi, MCG; Belinello, R",M1261,"2009",NA,NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,"990","1045",NA,Parcela M - Projeto Biota-FAPESP. Árvore com 7.5 metros de altura. Frequência da espécie na parcela: n=6,UEC177741,NA,NA,"2016","-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.716944,-23.818611,"14",2021-03-01 16:36:32-03,UNICAMP,UEC,"84599",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrcia,bicolor,Myrcia bicolor,Kiaersk.,NA,"Ávila, NS; Neves, LF; Bellenzani, MLR","388","1994","09","14",NA,Brazil,São Paulo,São Paulo,Centro Paulus Região sul do Municipio de São Paulo.,-46.716944,-23.818611,NA,NA,NA,"Árvore 5m de alt, botões verdes.; Mata.",UEC065114,UEC065114,NA,NA,"-46.716944","-23.818611",NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.716944,-23.818611,"67",2019-11-13 11:26:57-03,USP,SPF,"97229",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,bicolor,Myrcia bicolor,Kiaersk.,"Santos, MF","Ávila, NS","388","1994","09","14",NA,Brasil,São Paulo,São Paulo,NA,-46.716944,-23.818611,NA,NA,NA,NA,SPF00097229,NA,NA,"2014","-46.716944","-23.818611",NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.741111,-23.89,"134",2019-10-03 10:04:17-03,UFSCar,SORO,"6798",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,bicolor,Myrcia bicolor,Kiaersk.,M.F. Santos,"Santos, M.F.; Ferreira, T.C.O.","867","2016","10","01",NA,Brasil,São Paulo,São Paulo,"Marsilac, estrada do Vilhena, próximo à Avenida Marsilac. Sítio do Ismael. Dossel de fragmento de mata secundária.",-46.741111,-23.89,"826","826",NA,"Árvore, 15m alt. Folha jovem verde-avermelhada. Ráquis da inflorescência e botões florais verdes. Material fixado em FAA.",NA,NA,NA,"2018",46°44'28W,23°53'24S,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.716944,-23.818611,"139",2019-11-21 10:12:00-03,IBt,SP,"333987",S,Plantae,NA,NA,Myrtaceae,Myrcia,bicolor,Myrcia bicolor,Kiaersk.,"Kawasaki, ML","Ávila, NS; et al.","388","1994","09","14",NA,Brasil,São Paulo,São Paulo,"Centro Paulus, mata, região sul do município de São Paulo",-46.716944,-23.818611,NA,NA,NA,"Árvore 5m alt., botões verdes",NA,NA,NA,"1997","-46.716944","-23.818611",NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
