X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,stateProvince,phylum,order,continentOcean,preparationType,typeStatus,coordinatePrecision,geoFlag,class,relatedCatalogItem,individualCount,fieldNumber,previousCatalogNumber,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"4",2021-03-15 16:37:00-03,NY,NYBG,"469402",PreservedSpecimen,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,(Nees & Mart.) Barroso,NA,NA,NA,NA,K. Kubitzki,"79274","1979","10","02",Brazil,Sao Paulo,"Pinheirinho, Serra da Cantareira ao Norte da Cidade",-46.63,-23.5403,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41915' target='other'> <mi>dwc_moreinfo</mi></a>,NY00469402,NY00469402_01,São Paulo,Magnoliophyta,Laurales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"37",2021-03-15 16:37:00-03,NY,NYBG,"538099",PreservedSpecimen,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,(Nees & Mart.) Barroso,J. B. Baitello,NA,NA,NA,M. das G. L. Wanderley,"95","1976","10","22",Brazil,Sao Paulo,"Sao Paulo, Parque Estadual das Fontes do Ipiranga, Instituto de Botânica, Jardim Botanico",-46.618358,-23.646109,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742088' target='other'> <mi>dwc_moreinfo</mi></a>,NY00538099,NY00538099_01,São Paulo,Magnoliophyta,Laurales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"120",2020-11-04 11:12:04-03,ESALQ,ESA,"39909",PreservedSpecimen,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,(Nees) Barroso,"Baitello, J.B.",NA,NA,NA,"Hoehne, W.","1447.0","1944","08","22",Brasil,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,ESA039909,NA,São Paulo,Magnoliophyta,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"132",2019-02-15 11:40:57-02,IPA,IPA,"32193",S,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,(Nees & Mart.) Barroso,"Hoehne, W.",NA,NA,NA,"Hoehne, W.","1447","1944","08","22",Brasil,São Paulo,Parque do Estado,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,Árvore cultivada do Paraná.,IPA0032193,NA,São Paulo,Plantae,NA,Southern America,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"135",2019-02-15 11:40:57-02,IPA,IPA,"62911",S,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,(Nees & Mart.) Barroso,NA,NA,NA,NA,"Hoehne, W.","1447","1944","08","22",Brasil,São Paulo,Parque do Estado,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,Madeira de lei.,IPA0062911,NA,São Paulo,Plantae,NA,Southern America,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"467",2020-12-21 16:31:25-03,MBM,MBM,"30740",PreservedSpecimen,Plantae,Lauraceae,Phoebe,porosa,Phoebe porosa,(Nees) Mez,NA,NA,NA,NA,"Mattos, J.","11787",NA,NA,NA,Brazil,São Paulo,Jardim Botânico de São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,Cult.,MBM030740,NA,São Paulo,NA,NA,Southern America,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"843",2019-11-13 11:21:15-03,USP,SPF,"11315",PreservedSpecimen,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,(Nees & Mart.) Barroso,"Assis, LCS","2009","10",NA,"Hoehne, W","1447","1944","08","22",Brasil,São Paulo,Parque do Estado,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,SPF00011315,NA,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.045723,-23.76789,"892",2019-06-28 16:52:39-03,IAC,IAC,"43193",S,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,(Nees) Barroso,L.C. Bernacci et al.,"2001","08","10","L.C. Bernacci; G.A.D.C. Franco; E.Q. Santos & E. Furlan","3486","2001","08","10",Brasil,Ibiúna,"próximo ao distrito de Caucaia do Alto (Cotia - SP), fragmento Dito, indivíduo X 16.4",-47.045723,-23.76789,"-47.045723","-23.76789",NA,NA,NA,NA,NA,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IBIÚNA,"3519709"
-46.6300010681152,-23.5400009155273,"997",2021-03-04 15:44:16-03,IF,SPSF,"04323",PreservedSpecimen,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,NA,J.B.Baitello,"2016","08","29",D.Bento Pickel,NA,"1952","02","14",Brasil,São Paulo,Arboreto de Vila Amalia,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,SP,Magnoliophyta,Laurales,América do Sul,NA,NA,"53584",auto,Magnoliopsida,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"998",2021-03-04 15:44:16-03,IF,SPSF,"07504",PreservedSpecimen,Plantae,Lauraceae,Ocotea,porosa,Ocotea porosa,NA,NA,NA,NA,NA,L.Gonzaga,NA,"1940","02","01",Brasil,São Paulo,Arboreto de Vila Amalia,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,SP,Magnoliophyta,Laurales,América do Sul,NA,NA,"53584",auto,Magnoliopsida,NA,NA,NA,NA,SÃO PAULO,"3550308"
