X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,phylum,class,order,individualCount,coordinatePrecision,geoFlag,recordNumber,continentOcean,minimumElevationInMeters,maximumElevationInMeters,preparationType,relatedCatalogItem,fieldNumber,typeStatus,previousCatalogNumber,infraspecificEpithet,sex,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"56",2021-03-01 16:20:02-03,UNICAMP,UEC,"203072",S,Plantae,Orchidaceae,Brasiliorchis,marginata,Brasiliorchis marginata,"(Lindl.) R. Singer, S. Koehler & Carnevali",NA,NA,NA,NA,"Polizelli Ricci, NA","2018","07","31",Brazil,São Paulo,São Paulo,"Jardim Botânico (Parque do Estado), árvores da entrada do Orquidário do Estado",-46.6300010681152,-23.5400009155273,NA,NA,"Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira",UEC183064,UEC183064,Liliopsida,NA,NA,NA,"53584",auto,NAPR117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5499992370605,-23.1100006103516,"60",2019-08-20 10:00:54-03,UNICAMP,UEC,"140145",S,Plantae,Orchidaceae,Maxillaria,marginata,Maxillaria marginata,Fenzl,NA,NA,NA,NA,"Faria, AD",NA,NA,NA,Brazil,São Paulo,Atibaia,Grota Funda,-46.5499992370605,-23.1100006103516,NA,NA,Data de floração: 11/08/2003. Cultivada na Unicamp.,UEC034136,UEC034136,Liliopsida,NA,NA,NA,"21675",auto,s.n.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.6300010681152,-23.5400009155273,"61",2019-08-20 10:00:54-03,UNICAMP,UEC,"140111",S,Plantae,Orchidaceae,Maxillaria,marginata,Maxillaria marginata,Fenzl,NA,NA,NA,NA,s/ coletor,NA,NA,NA,Brazil,São Paulo,São Paulo,Cultivada no Orquidário do IBOT (SP) - 9307.,-46.6300010681152,-23.5400009155273,NA,NA,Data de floração: 11/08/2003. Cultivada no Orquidário do IBOT (SP) - 9307.,UEC034133,UEC034133,Liliopsida,NA,NA,NA,"53584",auto,s.n.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.8800010681152,-23.1800003051758,"62",2019-08-20 10:00:54-03,UNICAMP,UEC,"128464",S,Plantae,Orchidaceae,Maxillaria,murilliana,Maxillaria murilliana,Hoehne,"Pansarin, ER",NA,NA,NA,"Pansarin, ER; Mickeliunas, L","2002","12","21",Brazil,São Paulo,Jundiaí,"Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE.",-46.8800010681152,-23.1800003051758,NA,NA,"Flores predominantemente amareladas. Ápice do labelo, sépalas e pétalas vinho.",UEC034131,UEC034131,Liliopsida,NA,NA,NA,"17840",auto,"930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.8800010681152,-23.1800003051758,"63",2019-08-20 10:00:54-03,UNICAMP,UEC,"129088",S,Plantae,Orchidaceae,Maxillaria,murilliana,Maxillaria murilliana,Hoehne,"Pansarin, ER",NA,NA,NA,"Pansarin, ER","2003","01","15",Brazil,São Paulo,Jundiaí,"Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE.",-46.8800010681152,-23.1800003051758,NA,NA,NA,UEC034132,UEC034132,Liliopsida,NA,NA,NA,"17840",auto,"969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.8800010681152,-23.1800003051758,"64",2019-08-20 10:00:54-03,UNICAMP,UEC,"132309",S,Plantae,Orchidaceae,Maxillaria,murilliana,Maxillaria murilliana,Hoehne,"Pansarin, ER","2003","10",NA,"Pansarin, ER","2003","10","09",Brazil,São Paulo,Jundiaí,"Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE.",-46.8800010681152,-23.1800003051758,NA,NA,NA,UEC034129,UEC034129,Liliopsida,NA,NA,NA,"17840",auto,"1096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.8800010681152,-23.1800003051758,"65",2019-08-20 10:00:54-03,UNICAMP,UEC,"133872",S,Plantae,Orchidaceae,Maxillaria,murilliana,Maxillaria murilliana,Hoehne,"Pansarin, ER","2004","02",NA,"Pansarin, ER; Mickeliunas, L","2003","01","15",Brazil,São Paulo,Jundiaí,"Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE.",-46.8800010681152,-23.1800003051758,NA,NA,NA,UEC034130,UEC034130,Liliopsida,NA,NA,NA,"17840",auto,"1110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.3499984741211,-23.0499992370605,"189",2019-11-21 10:12:53-03,IBt,SP,"342453",S,Plantae,Orchidaceae,Brasiliorchis,consanguinea,Brasiliorchis consanguinea,"(Klotzsch) R.B.Singer, S.Koehler & Carnevali","Mamede, MCH","2011","07",NA,"Pires, AS","1953","01",NA,Brasil,São Paulo,Piracaia,NA,-46.3499984741211,-23.0499992370605,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26647",auto,s.n.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIRACAIA,"3538600"
-46.5299987792969,-23.6599998474121,"191",2019-11-21 10:12:53-03,IBt,SP,"388212",S,Plantae,Orchidaceae,Brasiliorchis,consanguinea,Brasiliorchis consanguinea,"(Klotzsch) R.B.Singer, S.Koehler & Carnevali","Koehler, S","2012","09","27","Pinheiro, F","2006","06","14",Brasil,São Paulo,Santo André,"Paranapiacaba, porto de areia do Horto Florestal, Canal Schmidt. Cultivada no Orquidário do Instituto de Botânica sob n° 1303",-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,"324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5499992370605,-23.1100006103516,"198",2019-11-21 10:12:53-03,IBt,SP,"24497",S,Plantae,Orchidaceae,Brasiliorchis,marginata,Brasiliorchis marginata,"(Lindl.) R.B.Singer, S.Koehler & Carnevali","Mamede, MCH","2011","07",NA,"Ostermeyer, R","1929","11","18",Brasil,São Paulo,Atibaia,Pedra Grande,-46.5499992370605,-23.1100006103516,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21675",auto,s.n.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
