X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,county,verbatimLongitude,verbatimLatitude,identifiedBy,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,fieldNumber,individualCount,class,NM_MUNICIP,CD_GEOCMU
-47,-24.2,"1",2021-03-15 16:37:00-03,NY,NYBG,"7442",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Bignoniaceae,Tabebuia,botelhensis,Tabebuia botelhensis,A.H.Gentry,isotype,A. H. Gentry,"58849","1987","09","02",South America,Brazil,São Paulo,"Carlos Botelho State Park, ca. 12 km S of Park Headquarters.",-47,-24.2,"760","760",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=389335' target='other'> <mi>dwc_moreinfo</mi></a>,NY00007442,NY00007442_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47,-24.2,"10",2017-05-25 14:11:00-03,MO,MOBOT,"487806",PreservedSpecimen,Plantae,NA,NA,Bignoniaceae,Handroanthus,botelhensis,Handroanthus botelhensis,(A.H. Gentry) S.O. Grose,Isotype,"Alwyn H. Gentry|Dias, A. Cecilio|G.A. Franco",Gentry 58849,"1987","9","2",South America,Brazil,São Paulo,"Carlos Botelho State Park, ca. 12 km S of Park Headquarters. Edges of open swampy area.",-47,-24.2,"760.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87-197,"6",NA,PERUÍBE,"3537602"
-47,-24.2,"11",2017-05-25 14:04:00-03,MO,MOBOT,"487813",PreservedSpecimen,Plantae,NA,NA,Bignoniaceae,Handroanthus,botelhensis,Handroanthus botelhensis,(A.H. Gentry) S.O. Grose,NA,"Alwyn H. Gentry|Dias, A. Cecilio|G.A. Franco",Gentry 58850,"1987","9","2",South America,Brazil,São Paulo,"Carlos Botelho State Park, ca. 12 km S of Park Headquarters. Edges of open swampy area.",-47,-24.2,"760.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87-197,"5",NA,PERUÍBE,"3537602"
-47.9199981689453,-24.3799991607666,"13",2021-03-04 15:43:38-03,IF,SPSF,"12673",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Bignoniaceae,Handroanthus,botelhensis,Handroanthus botelhensis,NA,Holótipo,A.Gentry,"58849","1987","09","02",América do Sul,Brasil,SP,Parque Estadual Carlos Botelho,-47.9199981689453,-24.3799991607666,"760","760",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore 50 cm DBH, 20 m de altura, sem folhas, flores amarelas com listas avermelhadas&nf;no interior do tubo.&nf;Holótipo de Tabebuia botelhensis A. Gentry; GEOGRAFIA: Edges of open swampy area. Ca. 12 km of Park Headquarters&nf;47°W 2",NA,NA,Sete Barras,NA,NA,NA,NA,NA,NA,"34059",auto,NA,NA,Magnoliopsida,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"15",2021-03-04 15:43:38-03,IF,SPSF,"12674",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Bignoniaceae,Handroanthus,botelhensis,Handroanthus botelhensis,NA,Isótipo,A.Gentry,"58850","1987","09","02",América do Sul,Brasil,SP,Parque Estadual Carlos Botelho,-47.9199981689453,-24.3799991607666,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,Sete Barras,NA,NA,NA,NA,NA,NA,"34059",auto,NA,NA,Magnoliopsida,SETE BARRAS,"3551801"
