X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,class,typeStatus,verbatimLongitude,verbatimLatitude,relatedCatalogItem,yearIdentified,monthIdentified,dayIdentified,relationshipType,coordinatePrecision,geoFlag,fieldNumber,infraspecificEpithet,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-45.183333,-23.4,"15",2021-03-01 16:36:06-03,UNICAMP,UEC,"200681",S,Plantae,Magnoliopsida,NA,Myrtaceae,Calyptranthes,pileata,Calyptranthes pileata,D.Legrand,NA,"Pereira, LS; Belinello, R; Padgurschi, MCG",N874,"2007","12",NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,"990","1045",NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 6.5 metros de altura. Frequência da espécie na parcela: n=2; Mata Atlântica",UEC158069,UEC158069,NA,NA,"-45.183333","-23.4",NA,"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.74,-23.838889,"57",2019-12-05 14:48:38-03,UFSCar,SORO,"7864",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Calyptranthes,pileata,Calyptranthes pileata,D.Legrand,E.H.P. Barretto & M.F.Santos,"Barretto, E.H.P.; Garcia, R.J.F.; Pascalicchio, F.F.; Carvalho, A.G.","1147","2016","12","20",NA,Brasil,São Paulo,São Paulo,"Parelheiros, Estr. de marsilac. Mata.",-46.74,-23.838889,"899","899",NA,"Árvore, 14m alt., casca fendilhada; botões com base vinácea; frutos verdes.",NA,NA,NA,NA,46°44'24''W,23°50'20''S,NA,"2017","01",NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
