X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,individualCount,typeStatus,fieldNumber,NM_MUNICIP,CD_GEOCMU
-46.621883,-23.654505,"2",2021-03-15 16:37:00-03,NY,NYBG,"651122",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,R. Vinícius-Silva,T. Sendulsky,"1341","1974","02","07",South America,Brazil,São Paulo,"Sao Paulo, Sao Paulo, Reserva Biológica, Parque Estadual das Fontes do Ipiranga",NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608398' target='other'> <mi>dwc_moreinfo</mi></a>,NY00651122,NY00651122_01,Sao Paulo,-46.621883,-23.654505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"5",2021-03-15 16:37:00-03,NY,NYBG,"651126",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,R. Vinícius-Silva,T. Sendulsky,"1318","1973","12","06",South America,Brazil,São Paulo,"10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânica, Parque do Estado",NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608402' target='other'> <mi>dwc_moreinfo</mi></a>,NY00651126,NY00651126_01,Sao Paulo,-46.618358,-23.646109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"6",2021-03-15 16:37:00-03,NY,NYBG,"651125",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,R. Vinícius-Silva,T. Sendulsky,"1324","1973","12","23",South America,Brazil,São Paulo,"10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânico, Parque do Estado",NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608401' target='other'> <mi>dwc_moreinfo</mi></a>,NY00651125,NY00651125_01,Sao Paulo,-46.618358,-23.646109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"11",2021-03-15 16:37:00-03,NY,NYBG,"651124",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,R. Vinícius-Silva,T. Sendulsky,"1322","1973","12","17",South America,Brazil,São Paulo,"10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânica, Parque do Estado",NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608400' target='other'> <mi>dwc_moreinfo</mi></a>,NY00651124,NY00651124_01,Sao Paulo,-46.618358,-23.646109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"16",2021-03-15 16:37:00-03,NY,NYBG,"651127",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,R. Vinícius-Silva,T. Sendulsky,"1315","1973","10","20",South America,Brazil,São Paulo,"10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânica, Parque do Estado",NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608403' target='other'> <mi>dwc_moreinfo</mi></a>,NY00651127,NY00651127_01,Sao Paulo,-46.618358,-23.646109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"17",2021-03-15 16:37:00-03,NY,NYBG,"651123",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,R. Vinícius-Silva,T. Sendulsky,"1314","1973","10","10",South America,Brazil,São Paulo,"10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânica, Parque do Estado",NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608399' target='other'> <mi>dwc_moreinfo</mi></a>,NY00651123,NY00651123_01,Sao Paulo,-46.618358,-23.646109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.9099998474121,-23.6000003814697,"18",2020-11-04 12:18:44-03,ESALQ,ESA,"112605",PreservedSpecimen,Plantae,Magnoliophyta,NA,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,NA,"Filgueiras, T.","Sarmento, M.M.",NA,"2010","07","22",NA,Brasil,São Paulo,NA,NA,NA,NA,NA,ESA112605,ESA112605_1 ESA112605_2,Cotia,-46.9099998474121,-23.6000003814697,"23869",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,COTIA,"3513009"
-46,-23,"21",2020-12-20 21:19:00-03,UFV,VIC,"48756",PreservedSpecimen,Plantae,NA,NA,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,"Vinícius-Silva, R.","Vinícius-Silva, R.; Neves, G.S.","128","2017","06","26",NA,Brasil,São Paulo,"Instituto de Botânica, Parque Estadual Fontes do I, Mata próxima à Avenida das Palmeiras","815","815",NA,"Indivíduo com, aproximadamente, 3-5 m de altura. Colmos inicialmente eretos e posteriormente escandentes. Entrenós com 30-36 cm de comprimento; verde com máculas amarelas, escabros. Planta encontrada em borda de mata.",VIC048756,VIC048756,São Paulo,-46,-23,NA,NA,"2017","06","26","-46","-23",NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-46.6300010681152,-23.5400009155273,"57",2020-12-21 16:40:34-03,MBM,MBM,"299311",PreservedSpecimen,Plantae,NA,NA,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,"Senduls, T.","Sendulsky, T.","1341","1974","02","07",Southern America,Brazil,São Paulo,"Parque Estadual das Fontes do Ipiranga, Reserva Biológica",NA,NA,NA,NA,MBM299311,MBM299311,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,"1974",NA,NA,NA,NA,NA,NA,PARATYPE,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"75",2014-09-29 10:28:00-03,MO,MOBOT,"2954726",PreservedSpecimen,Plantae,NA,NA,Poaceae,Merostachys,skvortzovii,Merostachys skvortzovii,Send.,A.P. Santos Gonçalves & R. Silva (VIC),Tatiana Sendulsky,Sendulsky 1322,"1973","12","17",South America,Brazil,São Paulo,"10 km south of center of city off São Paulo, in grounds of the Instituto de Botânico, Parque do Estado.",NA,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,"1",Paratype,NA,SÃO PAULO,"3550308"
