X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,locality,minimumElevationInMeters,maximumElevationInMeters,imagecode,recordNumber,infraspecificEpithet,coordinatePrecision,geoFlag,phylum,order,continentOcean,preparationType,class,previousCatalogNumber,typeStatus,relatedCatalogItem,relationshipType,individualCount,fieldNumber,NM_MUNICIP,CD_GEOCMU
-47.22,-23.65,"26",2021-03-15 16:37:00-03,NY,NYBG,"669687",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A.St.-Hil.,L. A. Mentz,NA,NA,NA,T. Yano,"1996","10","20",Brazil,São Paulo,Ibiúna,-47.22,-23.65,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239521' target='other'> <mi>dwc_moreinfo</mi></a>,NY00669687,"Bairro Morro Grande, sítio SKY, km 63 da SP 250, ca. 8km a esquerda.",NA,NA,NY00669687_01,s.n.,NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,IBIÚNA,"3519709"
-46.29971,-23.777841,"73",2021-03-15 16:37:00-03,NY,NYBG,"669691",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A.St.-Hil.,J. R. Stehmann,NA,NA,NA,S. A. C. Chiea,"1991","04","04",Brazil,São Paulo,Cubatao,-46.29971,-23.777841,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239525' target='other'> <mi>dwc_moreinfo</mi></a>,NY00669691,Paranapiacaba.,NA,NA,NY00669691_01,"613",NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.88,-23.1803,"89",2021-03-15 16:37:00-03,NY,NYBG,"669697",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A.St.-Hil.,M. H. Nee,NA,NA,NA,K. Claro,"1993","09","09",Brazil,São Paulo,Jundiaí,-46.88,-23.1803,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239513' target='other'> <mi>dwc_moreinfo</mi></a>,NY00669697,"Sítio do Mandao, Serra do Japi.",NA,NA,NY00669697_01,"1",NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.303867,-23.772044,"96",2021-03-15 16:37:00-03,NY,NYBG,"879082",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A.St.-Hil.,NA,NA,NA,NA,A. C. Santos-Neta,"2008","01","22",Brazil,São Paulo,Santo André,-46.303867,-23.772044,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536046' target='other'> <mi>dwc_moreinfo</mi></a>,NY00879082,"Paranapiacaba, Trilha do Jipeiros",NA,NA,NY00879082_01,"12",NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.63,-23.5403,"111",2021-03-15 16:37:00-03,NY,NYBG,"669690",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A.St.-Hil.,L. A. Mentz,NA,NA,NA,I. Cordeiro,"1994","09",NA,Brazil,São Paulo,Sao Paulo,-46.63,-23.5403,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239586' target='other'> <mi>dwc_moreinfo</mi></a>,NY00669690,"Interlagos, SESC Interlagos.",NA,NA,NY00669690_01,"1638",NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.989753,-24.144027,"120",2021-03-15 16:37:00-03,NY,NYBG,"00853820",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A.St.-Hil.,M. H. Nee,NA,NA,NA,A. C. Dias,"1984","11","13",Brazil,São Paulo,Sao Miguel Arcanjo,-47.989753,-24.144027,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093279' target='other'> <mi>dwc_moreinfo</mi></a>,NY00853820,"Parque Estadual Carlos Botelho, Instituto Florestal.",NA,NA,NY00853820_01,"18",NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.317,-23.783,"136",2021-03-15 16:37:00-03,NY,NYBG,"669693",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A.St.-Hil.,S. D. Knapp,NA,NA,NA,A. C. Filho,"1980","07","30",Brazil,São Paulo,Santo André,-46.317,-23.783,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239539' target='other'> <mi>dwc_moreinfo</mi></a>,NY00669693,"Paranapiacaba, Estaçao Biológica.","800","800",NY00669693_01,"305",NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-47.1300010681152,-23.2999992370605,"319",2020-11-04 11:20:02-03,ESALQ,ESA,"19562",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,NA,NA,NA,NA,NA,"Barreto, K.D. et al.","1994","03","17",Brasil,São Paulo,Cabreúva,-47.1300010681152,-23.2999992370605,NA,NA,NA,ESA019562,NA,NA,NA,ESA019562,"2183.0",NA,"16877",auto,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CABREÚVA,"3508405"
-46.8800010681152,-23.1800003051758,"425",2020-12-20 21:19:31-03,UFV,VIC,"011496",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A. St.-Hil.,NA,NA,NA,NA,"Morellato, L.P.C.; et al.","1984","10","01",Brasil,São Paulo,Jundiaí,-46.8800010681152,-23.1800003051758,NA,NA,"Árvore de 5 m, flores creme.",VIC011496,Serra do Japi - Mirante,NA,NA,VIC011496,s.n.,NA,"17840",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.5499992370605,-23.1100006103516,"433",2020-12-20 21:19:31-03,UFV,VIC,"012006",PreservedSpecimen,Plantae,Solanaceae,Solanum,pseudoquina,Solanum pseudoquina,A. St.-Hil.,NA,NA,NA,NA,"Tamashino, J. .Y.; et al.","1987","09","14",Brasil,São Paulo,Atibaia,-46.5499992370605,-23.1100006103516,NA,NA,"Árvore de 20 m, flores de pétalas brancas e anateras amarelas.",VIC012006,Fazenda Grota Funda,NA,NA,VIC012006,s.n.,NA,"21675",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
