X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,locality,minimumElevationInMeters,maximumElevationInMeters,phylum,order,continentOcean,preparationType,occurrenceRemarks,coordinatePrecision,geoFlag,typeStatus,class,fieldNumber,individualCount,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-46.387953,-23.873871,"20",2016-11-01 14:18:00-02,NY,NYBG,"397360",PreservedSpecimen,Plantae,Rubiaceae,Faramea,stipulacea,Faramea stipulacea,NA,P. C. Standley,F. C. Hoehne,"11748","1923","11","22",Brazil,São Paulo,Cubatao,-46.387953,-23.873871,NA,NA,NY00397360,NY00397360_01,NA,NA,NA,Piassaguéra,NA,NA,Magnoliophyta,Gentianales,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224608' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.4199981689453,-23.8899993896484,"31",2020-11-04 11:18:25-03,ESALQ,ESA,"87445",PreservedSpecimen,Plantae,Rubiaceae,Faramea,stipulacea,Faramea stipulacea,(Cham. & Schltdl.) DC.,"Assunção, E.A.","Martins, S.E.","72.0","1993","09","01",Brasil,São Paulo,Cubatão,-46.4199981689453,-23.8899993896484,NA,NA,ESA087445,ESA087445,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,"15123",auto,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.4199981689453,-23.8899993896484,"65",2020-12-21 16:43:17-03,MBM,MBM,"228095",PreservedSpecimen,Plantae,Rubiaceae,Faramea,stipulacea,Faramea stipulacea,(Cham. & Schltdl.) DC.,"Assunção, E.A.","Martins, S.E.; et al.; et al.","72",NA,NA,NA,Brazil,São Paulo,Cubatão,-46.4199981689453,-23.8899993896484,NA,NA,MBM228095,MBM228095,NA,NA,NA,Rio Mogi,NA,NA,NA,NA,Southern America,NA,NA,"15123",auto,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.4253,-23.895,"184",2019-06-24 08:11:31-03,IAC,IAC,"28507",S,Plantae,Rubiaceae-205.Rubioideae-Coussareeae,Faramea,morsoniana,Faramea morsoniana,Müll.Arg.,M. Gomes,F.C. Hoehne,s/nº,"1923","11","22",Brasil,São Paulo,Cubatão,-46.4253,-23.895,"-46.4253","-23.8950",NA,NA,"1998","12","16",Piassaguera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.4199981689453,-23.8899993896484,"235",2021-03-04 15:46:04-03,IF,SPSF,"19593",PreservedSpecimen,Plantae,Rubiaceae,Faramea,percyanea,Faramea percyanea,NA,NA,S.E.Martins,"122","1993","11","11",Brasil,SP,Cubatão,-46.4199981689453,-23.8899993896484,NA,NA,NA,NA,NA,NA,NA,Vale do Rio Mogi,NA,NA,Magnoliophyta,Rubiales,América do Sul,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: area poluida&nf;;","15123",auto,NA,Magnoliopsida,NA,NA,NA,CUBATÃO,"3513504"
-46.4199981689453,-23.8899993896484,"273",2019-11-21 10:17:54-03,IBt,SP,"289301",S,Plantae,Rubiaceae,Faramea,stipulacea,Faramea stipulacea,(Cham. & Schltdl.) DC.,"Gomes, M","Sugiyama, M","1361","1995","11","22",Brasil,São Paulo,Cubatão,-46.4199981689453,-23.8899993896484,NA,NA,NA,NA,"2007",NA,NA,Área da Ultrafértil,NA,NA,NA,NA,NA,NA,NA,"15123",auto,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.4199981689453,-23.8899993896484,"274",2019-11-21 10:17:54-03,IBt,SP,"328657",S,Plantae,Rubiaceae,Faramea,stipulacea,Faramea stipulacea,(Cham. & Schltdl.) DC.,"Gomes, M","Martins, SE; et al.","72","1993","09","01",Brasil,São Paulo,Cubatão,-46.4199981689453,-23.8899993896484,NA,NA,NA,NA,"2007",NA,NA,"Vale do Rio Mogi, clareira em área afetada pela poluição atmosférica",NA,NA,NA,NA,NA,NA,NA,"15123",auto,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.3300018310547,-23.9599990844727,"275",2019-11-21 10:17:54-03,IBt,SP,"11748",S,Plantae,Rubiaceae,Faramea,stipulacea,Faramea stipulacea,(Cham. & Schltdl.) DC.,"Gomes, M","Hoehne, FC",s.n.,"1923","11","22",Brasil,São Paulo,Santos,-46.3300018310547,-23.9599990844727,NA,NA,NA,NA,"2007",NA,NA,Piassaguera,NA,NA,NA,NA,NA,NA,NA,"26836",auto,NA,NA,NA,NA,NA,SANTOS,"3548500"
-46.560001373291,-23.6900005340576,"276",2019-11-21 10:17:54-03,IBt,SP,"426932",S,Plantae,Rubiaceae,Faramea,stipulacea,Faramea stipulacea,(Cham. & Schltdl.) DC.,"Capistrano, TR","Shirasuna, RT; Kirizawa, M; Yano, O; Bolta, PM","1121","2008","03","26",Brasil,São Paulo,São Bernardo do Campo,-46.560001373291,-23.6900005340576,NA,NA,NA,NA,"2008","12","23","Lote 2 Rodoanel Mário Covas, Trecho Sul",NA,NA,NA,NA,NA,NA,NA,"31119",auto,NA,NA,NA,NA,NA,SÃO BERNARDO DO CAMPO,"3548708"
-46.560001373291,-23.6900005340576,"277",2019-11-21 10:17:54-03,IBt,SP,"426664",S,Plantae,Rubiaceae,Faramea,stipulacea,Faramea stipulacea,(Cham. & Schltdl.) DC.,"Capistrano, TR","Shirasuna, RT; Batista, EW","1697","2008","09","03",Brasil,São Paulo,São Bernardo do Campo,-46.560001373291,-23.6900005340576,NA,NA,NA,NA,"2008","10",NA,"Lote 2 Rodoanel Mário Covas, Trecho Sul",NA,NA,NA,NA,NA,NA,NA,"31119",auto,NA,NA,NA,NA,NA,SÃO BERNARDO DO CAMPO,"3548708"
