X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,locality,minimumElevationInMeters,maximumElevationInMeters,recordNumber,phylum,coordinatePrecision,geoFlag,class,order,continentOcean,relationshipType,relatedCatalogItem,individualCount,typeStatus,fieldNumber,preparationType,NM_MUNICIP,CD_GEOCMU
-47,-24.283333,"4",2021-02-08 11:09:48-03,UNESP-IBB,BOTU,"7424",PreservedSpecimen,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,NA,NA,NA,NA,"Rossi, J.V.","1979","11","03",Brasil,São Paulo,Peruíbe,-47,-24.283333,47°00'w,24°17's,"vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.",BOTU007424,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47,-24.283333,"6",2021-02-08 11:09:48-03,UNESP-IBB,BOTU,"7421",PreservedSpecimen,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,NA,NA,NA,NA,"Canthack, R.A.D.","1979","11","03",Brasil,São Paulo,Peruíbe,-47,-24.283333,47°00'w,24°17's,"vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.",BOTU007421,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47,-24.283333,"8",2021-02-08 11:09:48-03,UNESP-IBB,BOTU,"7420",PreservedSpecimen,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,NA,NA,NA,NA,"Marques, L.A.","1979","11","03",Brasil,São Paulo,Peruíbe,-47,-24.283333,47°00'w,24°17's,"vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.",BOTU007420,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47,-24.283333,"9",2021-02-08 11:09:48-03,UNESP-IBB,BOTU,"7422",PreservedSpecimen,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,NA,NA,NA,NA,"Oliveira, J.A.","1979","11","03",Brasil,São Paulo,Peruíbe,-47,-24.283333,47°00'w,24°17's,"vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.",BOTU007422,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47,-24.283333,"10",2021-02-08 11:09:48-03,UNESP-IBB,BOTU,"7423",PreservedSpecimen,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,NA,NA,NA,NA,"Ferreira Neto, J.P.","1979","11","03",Brasil,São Paulo,Peruíbe,-47,-24.283333,47°00'w,24°17's,"vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.",BOTU007423,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47,-24.283333,"11",2021-02-08 11:09:48-03,UNESP-IBB,BOTU,"7425",PreservedSpecimen,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,NA,NA,NA,NA,"Castellani, M.R.","1979","11","03",Brasil,São Paulo,Peruíbe,-47,-24.283333,47°00'w,24°17's,"vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.",BOTU007425,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.7799987792969,-24.1800003051758,"18",2020-11-04 12:18:26-03,ESALQ,ESA,"23751",PreservedSpecimen,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,NA,"Souza, J.P.",NA,NA,NA,"Souza, V.C.; Souza, J.P. et al.","1995","10","07",Brasil,São Paulo,Itanhaém,-46.7799987792969,-24.1800003051758,NA,NA,"Erva; frutos passados castanhos.",ESA023751,ESA023751,Praia de Suarão. Dunas.,NA,NA,"9205.0",Magnoliophyta,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.3300018310547,-23.9599990844727,"21",2019-11-29 11:33:12-03,IPA,IPA,"10292",S,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,Gehrt,NA,NA,NA,"Pickel, B.","1937","10","25",Brasil,São Paulo,Santos,-46.3300018310547,-23.9599990844727,NA,NA,NA,IPA0010292,NA,"Praia Grande, na areia da restinga, na casa de banho.",NA,NA,"4387",Plantae,"26836",auto,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,SANTOS,"3548500"
-46.3505556,-23.9708334,"49",2020-10-14 10:04:50-03,FURB,FURB,"58951",PreservedSpecimen,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,"Hassemer, G.","2015",NA,NA,"Hassemer, G.","2015","10","30",Brasil,São Paulo,Santos,-46.3505556,-23.9708334,"-46.3505556","-23.9708334",NA,FURB58951,FURB58951,"aterro na beira da praia no bairro José Menino, próximo aos memoriais à imigração japonesa no Brasil.","1","1","819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTOS,"3548500"
-46.350556,-23.971111,"55",2019-12-06 19:30:08-03,UFES,VIES,"25018",S,Plantae,Plantaginaceae,Plantago,catharinea,Plantago catharinea,Decne.,G. Hassemer,"2015",NA,NA,"Hassemer, G.","2015","10","30",Brasil,São Paulo,Santos,-46.350556,-23.971111,46º21'2''W,23º58'16''S,NA,VIES025018,VIES025018,"Aterro na beira da praia no bairro José Menino, próximo aos memoriais à imigração japonesa no Brasil.","1","1","819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTOS,"3548500"
