X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,county,imagecode,maximumElevationInMeters,typeStatus,class,identifiedBy,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,relatedCatalogItem,dayIdentified,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-46.543068,-23.587347,"7",2021-03-15 16:37:00-03,NY,NYBG,"807658",PreservedSpecimen,Plantae,Pteridaceae,Lytoneuron,crenulans,Lytoneuron crenulans,A. C. Brade,"12894","1933","12",NA,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800538' target='other'> <mi>dwc_moreinfo</mi></a>,NY00807658,Pteridophyta,Polypodiales,(Fée) Yesilyurt,São Paulo,Capital - Vila Ema.,-46.543068,-23.587347,NA,Sao Paulo,NY00807658_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.946389,-23.252972,"101",2021-03-01 16:43:57-03,UNICAMP,UEC,"155881",S,Plantae,Pteridaceae,Doryopteris,crenulans,Doryopteris crenulans,"Prado, J; Hirai, RY; Vasconcellos-Neto, J","2082","2009","12","19",NA,Brazil,NA,NA,Árvore ca. 6m altura e 35 cm DAP. Folhas cartáceas discolores. Frutos imaturos cor verde. Comum.,UEC076726,Pteridophyta,NA,(Fée) H.Christ,São Paulo,"Serra do Japi, Subindo para o mirante (observatório). Terrestre.",-46.946389,-23.252972,"996",Jundiaí,UEC076726,"996",NA,NA,"Prado, J",NA,NA,NA,NA,"-46.946389","-23.252972",NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
