X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,class,yearIdentified,monthIdentified,dayIdentified,fieldNumber,verbatimLongitude,verbatimLatitude,individualCount,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.5299987792969,-23.6599998474121,"60",2019-11-21 10:14:32-03,IBt,SP,"10046",S,Plantae,NA,NA,Poaceae,Agrostis,longiberbis,Agrostis longiberbis,Hack. ex L.B.Sm.,NA,"Luederwaldt, H",s.n.,"1910","11",NA,NA,Brasil,São Paulo,Santo André,Alto da Serra,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,SP039902,SP039902,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.6300010681152,-23.5400009155273,"61",2019-11-21 10:14:32-03,IBt,SP,"10052",S,Plantae,NA,NA,Poaceae,Agrostis,longiberbis,Agrostis longiberbis,Hack. ex L.B.Sm.,"Longhi Wagner, HM","Usteri, A",s.n.,"1906","12","16",NA,Brasil,São Paulo,São Paulo,Pinheiros.,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,SP009936,SP009936,"53584",auto,NA,"1997","10","31",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
