X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,continentOcean,preparationType,previousCatalogNumber,phylum,order,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,typeStatus,fieldNumber,infraspecificEpithet,class,individualCount,relatedCatalogItem,sex,NM_MUNICIP,CD_GEOCMU
-47.1300010681152,-23.5200004577637,"13",2020-11-04 11:14:07-03,ESALQ,ESA,"26936",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,NA,NA,NA,NA,NA,"Cardoso-Leite, E. ; Oliveira, A.","231.0","1993","10","02",Brasil,São Paulo,São Roque,NA,-47.1300010681152,-23.5200004577637,NA,NA,NA,ESA026936,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,"15567",auto,NA,NA,NA,NA,NA,NA,NA,SÃO ROQUE,"3550605"
-46.6300010681152,-23.5400009155273,"24",2019-11-21 14:39:54-03,UFJF,CESJ,"334",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,E.J. Lírio,"2015",NA,NA,L. Krieger,CESJ334,"1942","10","04",Brasil,São Paulo,São Paulo,Santo Amaro,-46.6300010681152,-23.5400009155273,NA,NA,Árvore mediana da mata. Floração dióica.,CESJ000334,NA,América do Sul,NA,NA,Angiosperma,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.183333,-23.4,"29",2021-03-01 16:35:44-03,UNICAMP,UEC,"200204",S,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,(Spreng.) Tul.,NA,NA,NA,NA,"Padgurschi, MCG; Belinello, R",M1335,"2009",NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,"-45.183333","-23.4",Parcela M - Projeto Biota-FAPESP. Árvore com 9 metros de altura. Frequência da espécie na parcela: n=25,UEC177694,UEC177694,NA,NA,NA,Magnoliopsida,NA,"990","1045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.183333,-23.4,"31",2021-03-01 16:35:44-03,UNICAMP,UEC,"200696",S,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,(Spreng.) Tul.,NA,"2008",NA,NA,"Pereira, LS; Belinello, R; Gomes, JAMA; Rosado, BHP; Cavalin, PO",N262,"2008","12","07",Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,"-45.183333","-23.4","Parcela N - Projeto Biota-FAPESP. Árvore com 12 metros de altura. Frequência da espécie na parcela: n=35; Mata Atlântica",UEC158088,UEC158088,NA,NA,NA,Magnoliopsida,NA,"990","1045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.2700004577637,-22.9300003051758,"38",2021-03-01 16:35:44-03,UNICAMP,UEC,"67308",S,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,(Spreng.) Tul.,Peixoto,"2010","06","06","Tamashiro, JY; Santos, FAM; Goldenberg, R; Belinello, R","499","1994","08","16",Brazil,São Paulo,Joanópolis,Cachoeira dos Pretos,-46.2700004577637,-22.9300003051758,NA,NA,"Arvoreta de 6m., botões verdes.",NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"22329",auto,NA,NA,NA,NA,NA,NA,NA,JOANÓPOLIS,"3525508"
-46.2700004577637,-22.9300003051758,"39",2021-03-01 16:35:44-03,UNICAMP,UEC,"11396",S,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,(Spreng.) Tul.,Peixoto,"1983","03",NA,"Leitão Filho, HF; Vanucci, AL; Gianotti, E; Stubblebine, WH; Capitani, JHAD De","10397","1979","09","10",Brazil,São Paulo,Joanópolis,"Cachoeira dos Pretos, nativa em área de mata a 15 km da cidade junto à Cachoeira dos Pretos. feminina",-46.2700004577637,-22.9300003051758,NA,NA,Árvore ate 5m. frutos marrons já deiscentes.,UEC128075,UEC128075,NA,NA,NA,Magnoliopsida,NA,NA,NA,"22329",auto,NA,NA,NA,NA,NA,NA,NA,JOANÓPOLIS,"3525508"
-46.2700004577637,-22.9300003051758,"57",2020-06-29 09:31:12-03,UFRRJ,RBR,"10288",S,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,A.L. Peixoto,"1997","05",NA,"J.Y. Tamashiro; F.A.M. Santos, R. Goldenberg, R. Belinello","499","1994","08","16",Brasil,São Paulo,Joanópolis,Cachoeira dos Pretos.,-46.2700004577637,-22.9300003051758,NA,NA,NA,RBR00010288,NA,NA,NA,NA,NA,NA,NA,NA,"22329",auto,NA,NA,NA,NA,NA,NA,NA,JOANÓPOLIS,"3525508"
-46.6300010681152,-23.5400009155273,"85",2018-05-22 14:19:13-03,MNHN,RECOLNAT_MNHN_P,P02082181,PreservedSpecimen,NA,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,Lirio,NA,NA,NA,"Jung, S.L.",NA,"1981","11","5",Brasil,São Paulo,São Paulo,Reserva Biológica do Parque Estadual das Fontes do Ipiranga,-46.6300010681152,-23.5400009155273,NA,NA,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02082181' target='other'> <mi>dwc_moreinfo</mi></a>,P02082181,P02082181_01,NA,hb,NA,NA,NA,NA,NA,"53584",auto,NA,"409",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.8800010681152,-23.1800003051758,"125",2020-06-15 15:31:04-03,UNESP-RC,HRCB,"48457",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,NA,NA,NA,NA,Lombardi,"6907","2007","09","18",Brasil,São Paulo,Jundiaí,NA,-46.8800010681152,-23.1800003051758,46º56'08.8W,"23º13'49,6S","borda da trilha, base de afloramento rochoso e ao longo de córregos. Árvore ca. 10 m, folhas cartáceas, botões verde-amarelados",NA,NA,NA,NA,NA,NA,NA,"850","850","17840",auto,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.735,-23.835556,"141",2021-03-15 18:28:52-03,USP,SPF,"97277",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,"Peixoto, AL","1999",NA,NA,"Godoy, SAP","249","1994","09","14",Brasil,São Paulo,São Paulo,"Jd. Novo Parelheiros, Sítio do Sr. José Guilguer Reimberg (José Toco), à direita na Estrada Engº Marsilac, após o entroncamento com a Estrada Colônia.",-46.735,-23.835556,"-46.735","-23.835556","Árvore, ca. 10 m alt., DAP 0,18 m, botões florais creme-esverdeado.; Borda da mata.",SPF00097277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.2700004577637,-22.9300003051758,"158",2021-03-15 18:28:52-03,USP,SPF,"99563",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,"Peixoto, AL",NA,NA,NA,"Tamashiro, JY","499","1994","08","16",Brasil,São Paulo,Joanópolis,Cachoeira dos Pretos.,-46.2700004577637,-22.9300003051758,NA,NA,"Arvoreta, 6 m alt., botões verdes.",SPF00099563,NA,NA,NA,NA,NA,NA,NA,NA,"22329",auto,NA,NA,NA,NA,NA,NA,NA,JOANÓPOLIS,"3525508"
-47.054841,-23.749456,"164",2019-01-25 15:35:27-02,IAC,IAC,"43096",S,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,L.C. Bernacci et al.,"2001","08","08","L.C. Bernacci; G.A.D.C. Franco; E.Q. Santos & E. Furlan","3389","2001","08","08",Brasil,São Paulo,Ibiúna,"próximo ao distrito de Caucaia do Alto (Cotia - SP), fragmento Carmo Messias, indivíduo J 1.1",-47.054841,-23.749456,"-47.054841","-23.749456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IBIÚNA,"3519709"
-46.2700004577637,-22.9300003051758,"181",2021-03-04 15:44:24-03,IF,SPSF,"19045",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,NA,NA,NA,NA,NA,J.Y.Tamashiro,"499","1994","08","16",Brasil,SP,Joanópolis,Cachoeira dos Pretos,-46.2700004577637,-22.9300003051758,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,América do Sul,NA,NA,Magnoliophyta,Laurales,NA,NA,"22329",auto,NA,NA,NA,Magnoliopsida,NA,NA,NA,JOANÓPOLIS,"3525508"
-45.8400001525879,-23.5300006866455,"182",2021-03-04 15:44:24-03,IF,SPSF,"10946",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,E.J.Lirio,"2013","05","22",A.Custodio Filho,"2787","1986","10","18",Brasil,SP,Salesópolis,"Casa Grande, E.B.Boraceia",-45.8400001525879,-23.5300006866455,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,América do Sul,NA,NA,Magnoliophyta,Laurales,NA,NA,"18032",auto,NA,NA,NA,Magnoliopsida,NA,NA,NA,SALESÓPOLIS,"3545001"
-46.6300010681152,-23.5400009155273,"193",2021-03-04 15:44:24-03,IF,SPSF,"13511",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,Perkins,G.A.D.C. Franco,NA,NA,NA,O.T.de Aguiar,"376","1990","05","18",Brasil,SP,São Paulo,"P.E.Cantareira, Pinheirinho",-46.6300010681152,-23.5400009155273,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,América do Sul,NA,NA,Magnoliophyta,Laurales,NA,NA,"53584",auto,NA,NA,NA,Magnoliopsida,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"194",2021-03-04 15:44:24-03,IF,SPSF,"11584",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,argyrogyna,Mollinedia argyrogyna,NA,A.L.Peixoto,NA,NA,NA,J.B.Baitello,"229","1987","12","04",Brasil,SP,São Paulo,"serra da Cantareira, Pinheirinho",-46.6300010681152,-23.5400009155273,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,América do Sul,NA,NA,Magnoliophyta,Laurales,NA,NA,"53584",auto,NA,NA,NA,Magnoliopsida,NA,NA,NA,SÃO PAULO,"3550308"
