X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,identifiedBy,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,fieldNumber,class,individualCount,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-45.183333,-23.4,"6",2021-03-01 16:28:51-03,UNICAMP,UEC,"200670",S,Plantae,Magnoliopsida,NA,Dichapetalaceae,Stephanopodium,estrellense,NA,Stephanopodium estrellense,Baill.,NA,"Pereira, LS; Belinello, R; Padgurschi, MCG",N217,"2009","10","27",NA,Brazil,São Paulo,Parque Estadual da Serra do Mar,NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 9 metros de altura. Frequência da espécie na parcela: n=6; Mata Atlântica",UEC158021,UEC158021,São Luiz do Paraitinga,-45.183333,-23.4,NA,NA,"Tamashiro, JY; Pereira, LS","-45.183333","-23.4","990","1045",NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.183333,-23.4,"10",2021-03-01 16:28:51-03,UNICAMP,UEC,"200121",S,Plantae,Magnoliopsida,NA,Dichapetalaceae,Stephanopodium,estrellense,NA,Stephanopodium estrellense,Baill.,NA,"Padgurschi, MCG; Belinello, R",M1880,"2009",NA,NA,NA,Brazil,São Paulo,Parque Estadual da Serra do Mar,NA,Parcela M - Projeto Biota-FAPESP. Árvore com 7 metros de altura. Frequência da espécie na parcela: n=10,UEC177669,UEC177669,São Luiz do Paraitinga,-45.183333,-23.4,NA,NA,NA,"-45.183333","-23.4","990","1045",NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
