X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,coordinatePrecision,geoFlag,phylum,order,typeStatus,continentOcean,preparationType,imagecode,minimumElevationInMeters,maximumElevationInMeters,infraspecificEpithet,class,relatedCatalogItem,relationshipType,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-46.724373,-23.565521,"35",2021-03-15 16:37:00-03,NY,NYBG,"644621",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,(Vell.) Mart.,K. Krause,NA,NA,NA,F. C. Hoehne,"97","1917","05","02",Brazil,São Paulo,Sao Paulo,Butantan,-46.724373,-23.565521,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240368' target='other'> <mi>dwc_moreinfo</mi></a>,NY00644621,NA,NA,Magnoliophyta,Santalales,NA,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.8800010681152,-23.1800003051758,"182",2020-11-04 11:12:19-03,ESALQ,ESA,"6288",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,Mart.,"Sugiyama, M.",NA,NA,NA,"Silva, E.R.",NA,"1990","10","08",Brasil,São Paulo,Jundiaí,NA,-46.8800010681152,-23.1800003051758,NA,NA,NA,ESA006288,"17840",auto,Magnoliophyta,NA,NA,NA,NA,ESA006288,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-47.6800003051758,-23.3500003814697,"187",2020-11-04 11:12:19-03,ESALQ,ESA,"15999",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,Mart.,"Sugiyama, M.",NA,NA,NA,"Rodrigues, R.R. et al.","90.0","1994","08","06",Brasil,São Paulo,Iperó,NA,-47.6800003051758,-23.3500003814697,NA,NA,NA,ESA015999,"17831",auto,Magnoliophyta,NA,NA,NA,NA,ESA015999,NA,NA,NA,NA,NA,NA,NA,NA,NA,IPERÓ,"3521002"
-46.6300010681152,-23.5400009155273,"211",2019-02-15 11:44:34-02,IPA,IPA,"19982",S,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,(Vell.) Mart.,"Handro, O.","1947","06",NA,"Handro, O.",s.n.,"1933","01","30",Brasil,São Paulo,São Paulo,Jardim Botânico,-46.6300010681152,-23.5400009155273,NA,NA,Flores esverdeadas.,IPA0019982,"53584",auto,Plantae,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"212",2019-02-15 11:44:34-02,IPA,IPA,"9730",S,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,(Vell.) Mart.,NA,NA,NA,NA,"Krieger, P.",s.n.,"1942","10","11",Brasil,São Paulo,São Paulo,Santo Amaro,-46.6300010681152,-23.5400009155273,NA,NA,NA,IPA0009730,"53584",auto,Plantae,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5499992370605,-23.1100006103516,"224",2020-12-20 21:18:08-03,UFV,VIC,"12632",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,marginatus,Struthanthus marginatus,Mart.,"Reif, C.","2005","06","10","Bernacci, L.C.; et al.",s.n.,NA,NA,NA,Brasil,São Paulo,Atibaia,Fazenda Grota Funda,-46.5499992370605,-23.1100006103516,NA,NA,"Hemiparasita, flores brancas",VIC012632,"21675",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.5499992370605,-23.1100006103516,"305",2021-03-01 16:33:03-03,UNICAMP,UEC,"54959",S,Plantae,Loranthaceae,Struthanthus,marginatus,Struthanthus marginatus,(Desr.) G.Don,NA,NA,NA,NA,"Meira Neto, JAA; Bernacci, LC; Grombone-Guaratini, MT; Leitão Filho, HF; Tamashiro, JY","21288","1987","11","16",Brazil,São Paulo,Atibaia,Fazenda Grota Funda.,-46.5499992370605,-23.1100006103516,NA,NA,"Hemiparasita com flor branca e frutos imaturos verdes, na beira da estrada sobre dolenacea arbórea.; Fazenda Grota Funda.",UEC014639,"21675",auto,Magnoliopsida,NA,NA,NA,NA,UEC014639,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-47.9199981689453,-24.3799991607666,"309",2021-03-01 16:33:03-03,UNICAMP,UEC,"137269",S,Plantae,Loranthaceae,Struthanthus,marginatus,Struthanthus marginatus,(Desr.) G.Don,"Souza, VC","2003","01",NA,"Breier, TB; Budke, JC","536","2002","08","22",Brazil,São Paulo,Sete Barras,"Parque Estadual Carlos Botelho, Núcleo Sete Barras.&nf;24º 10'' S, 47º 55'' W.",-47.9199981689453,-24.3799991607666,NA,NA,"Parque Estadual Carlos Botelho, Núcleo Sete Barras.",UEC014648,"34059",auto,Magnoliopsida,NA,NA,NA,NA,UEC014648,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"310",2021-03-01 16:33:03-03,UNICAMP,UEC,NA,S,Plantae,Loranthaceae,Struthanthus,marginatus,Struthanthus marginatus,(Desr.) G.Don,"Souza, VC","2003","01",NA,"Breier, TB; Budke, JC","536","2002","08","22",Brazil,São Paulo,Sete Barras,"Parque Estadual Carlos Botelho, Núcleo Sete Barras.&nf;24º 10'' S, 47º 55'' W.",-47.9199981689453,-24.3799991607666,NA,NA,"Parque Estadual Carlos Botelho, Núcleo Sete Barras.",NA,"34059",auto,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.683333,-23.383333,"317",2021-03-01 16:33:04-03,UNICAMP,UEC,"156880",S,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,(Mart.) Mart.,"Sugiyama, M","1997","08",NA,"Rodrigues, RR; Monteiro, R; Tamashiro, JY; Bernacci, LC","90","1994","08","06",Brazil,São Paulo,Iperó,Fazenda Ipanema (IBAMA),-47.683333,-23.383333,"-47.683333","-23.383333","Liana, sobre chnalea frandiflora, botões verdes, frutos maduros verde-oliva.",UEC008842,NA,NA,Magnoliopsida,NA,NA,NA,NA,UEC008842,NA,NA,NA,NA,NA,NA,NA,NA,NA,IPERÓ,"3521002"
