X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,day,county,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.9900016784668,-24.3199996948242,"19",2020-01-20 14:40:39-03,UPM,MACK,"893",PreservedSpecimen,Plantae,NA,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott ex Spreng.,G. Pelissari,"V. C. Souza; J. P. Souza","9337","1995","10",NA,Brasil,SP,Arredores da foz do Rio Guaraú (margem esquerda). Mata de restinga.,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,"09",Peruíbe,NA,NA,"21922",auto,NA,NA,"2011","08","02",NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.9900016784668,-24.3199996948242,"34",2020-11-04 11:14:14-03,ESALQ,ESA,"24759",PreservedSpecimen,Plantae,Magnoliophyta,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,"Pelissari, G.","Souza, V.C.; Souza, J.P. et al.","9337.0","1995","10",NA,Brasil,São Paulo,Arredores da foz do Rio Guaraú (margem esquerda). Mata de restinga.,-46.9900016784668,-24.3199996948242,NA,"Árvore, ca. 8 m alt.; estípulas e sicônios verdes. Latescente.",ESA024759,ESA024759,"09",Peruíbe,NA,NA,"21922",auto,NA,NA,"2011","08","02",NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47.204722,-24.110555,"35",2020-11-04 11:14:14-03,ESALQ,ESA,"128304",PreservedSpecimen,Plantae,Magnoliophyta,NA,Moraceae,Ficus,pulchella,Ficus pulchella,NA,NA,"Virillo, C.B.","183.0","2013","04",NA,Brasil,São Paulo,"Reserva Particular da Votorantim (CBA). UHE - Trilha da Chaminé, Floresta Ombrófila Densa na beira do ribeirão do veado",-47.204722,-24.110555,NA,NA,ESA128304,NA,"01",Tapiraí,"269","269",NA,NA,"-47.204722","-24.110555",NA,NA,NA,NA,NA,NA,NA,NA,PEDRO DE TOLEDO,"3537206"
-46.9900016784668,-24.3199996948242,"57",2021-03-01 16:35:54-03,UNICAMP,UEC,"76398",S,Plantae,Magnoliopsida,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,"Machado, AFP","Souza, VC; Souza, JP; et al.","9337","1995","10",NA,Brazil,São Paulo,"Arredores da foz do Rio Guaraú, Margem esquerda. Mata de restinga.",-46.9900016784668,-24.3199996948242,NA,"Árvore, ca. 8m alt., estípulas e sicônios verdes. Latescente.",NA,NA,"09",Peruíbe,NA,NA,"21922",auto,NA,NA,"2010","01",NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47.9199981689453,-24.3799991607666,"58",2021-03-01 16:35:54-03,UNICAMP,UEC,"76413",S,Plantae,Magnoliopsida,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,"Machado, AFP","Miyagi, PH; Zandoval, JA; Souza, JP","473","1995","02",NA,Brazil,São Paulo,"Mamparra, Reserva Florestal Carlos Botelho, a 2km da sedinha, beira de estrada.",-47.9199981689453,-24.3799991607666,NA,"Árvore, mais de 3m alt. Frutos imaturos verdes.",NA,NA,"15",Sete Barras,NA,NA,"34059",auto,NA,NA,"2010","01","20",NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.9900016784668,-24.3199996948242,"106",2020-08-31 09:17:09-03,INPA,INPA,"228438",S,Plantae,Dicotyledon Rosids,Rosales,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,"Pellisare, G; Romaniuc Neto, S; Pellisare","Souza, VC de","9337","1995","10",Southern America,Brasil,São Paulo,Arredores da foz do Rio Guaraú (margem esquerda). Mata de restinga.,-46.9900016784668,-24.3199996948242,NA,NA,INPA0228438,INPA0228438 INPA0228438_e INPA0228438_e1,"09",Peruíbe,NA,NA,"21922",auto,NA,NA,"2010","09",NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.9900016784668,-24.3199996948242,"135",2019-11-13 11:26:28-03,USP,SPF,"107970",PreservedSpecimen,Plantae,NA,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott ex Spreng.,"Castro, RM","Souza, VC","9337","1995","10",NA,Brasil,São Paulo,Arredores da Foz do Rio Guaraú (margem esquerda). Mata de restinga.,-46.9900016784668,-24.3199996948242,NA,"Árvore, ca. 8 m alt., estípulas e sicônios verdes. Latescentes.",SPF00107970,NA,"09",Peruíbe,NA,NA,"21922",auto,NA,NA,"2004","10",NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.9983,-24.32,"164",2019-06-24 08:13:08-03,IAC,IAC,"53619",S,Plantae,NA,NA,Moraceae-5.Ficeae,Ficus,pulchella,Ficus pulchella,Schott ex Spreng.,G. Pelissari,V.C. Souza & J. Paula-Souza et. al.,"9337","1995","10",NA,Brasil,São Paulo,Arredores da foz do Rio Guaraú (margem esquerda),-46.9983,-24.32,NA,NA,NA,NA,"09",Peruíbe,NA,NA,NA,NA,"-46.9983","-24.3200","2011","08","02",NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.9900016784668,-24.3199996948242,"178",2019-10-03 10:04:05-03,UFSCar,SORO,"6156",PreservedSpecimen,Plantae,NA,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schrott,G. Pelissari,"Souza, V.C.; Souza, J.P.","9337","1995","10",NA,Brasil,São Paulo,Arredores da foz do Rio Guaraú (margem esquerda). Mata de restinga.,-46.9900016784668,-24.3199996948242,NA,"Árvore, ca. 8 m alt.; estípulas e sicônios verdes. Latescente.",NA,NA,"09",Peruíbe,NA,NA,"21922",auto,NA,NA,"2011","08","02",NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.4199981689453,-23.8899993896484,"194",2019-11-21 10:10:57-03,IBt,SP,"238416",S,Plantae,NA,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,NA,"Pompéia, SL","1","1986","06",NA,Brasil,São Paulo,NA,-46.4199981689453,-23.8899993896484,NA,NA,NA,NA,"21",Cubatão,NA,NA,"15123",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
