X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,preparationType,occurrenceRemarks,barcode,imagecode,day,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,typeStatus,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,fieldNumber,individualCount,relatedCatalogItem,sex,NM_MUNICIP,CD_GEOCMU
-46.7200012207031,-23.3199996948242,"22",2020-01-20 14:40:12-03,UPM,MACK,"2879",PreservedSpecimen,Plantae,NA,NA,Asteraceae,Baccharis,cf. sphenophylla,Baccharis cf. sphenophylla,Dusén ex Malme,M. G. Silva,G. Ramos,"24","2015","10",NA,Brasil,SP,NA,NA,NA,NA,"02",Franco da Rocha,Parque Estadual do Juquery,-46.7200012207031,-23.3199996948242,NA,NA,NA,"2016",NA,NA,NA,NA,"12135",auto,NA,NA,NA,NA,NA,FRANCO DA ROCHA,"3516408"
-46.7200012207031,-23.3199996948242,"38",2020-01-20 14:40:13-03,UPM,MACK,"3399",PreservedSpecimen,Plantae,NA,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,Dusén ex Malme,NA,P. Britto,"4","2016","10",NA,Brasil,SP,NA,NA,"HMACK00003399-P.Britto4-8/10/2016,ParqueEstadualdoJuquery,FrancodaRocha,SP,Brasil",NA,"08",Franco da Rocha,Parque Estadual do Juquery,-46.7200012207031,-23.3199996948242,NA,NA,NA,NA,NA,NA,NA,NA,"12135",auto,NA,NA,NA,NA,NA,FRANCO DA ROCHA,"3516408"
-46.7400016784668,-23.3600006103516,"39",2020-11-04 11:01:11-03,ESALQ,ESA,"31544",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,Dusén,Irmão Teodoro,"Hoehne, W.","12050.0","1945","10",NA,Brasil,São Paulo,NA,NA,ESA031544,ESA031544,"10",Caieiras,NA,-46.7400016784668,-23.3600006103516,NA,NA,NA,NA,NA,NA,NA,NA,"9448",auto,NA,NA,NA,NA,NA,CAIEIRAS,"3509007"
-46.6300010681152,-23.5400009155273,"40",2020-11-04 11:01:11-03,ESALQ,ESA,"31586",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,NA,"Heiden, G.","Hoehne, W.","11972.0","1946","05",NA,Brasil,São Paulo,NA,NA,ESA031586,ESA031586,"03",São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7400016784668,-23.3600006103516,"41",2020-07-31 18:52:00-03,UFPI,TEPB,"22144",PreservedSpecimen,Plantae,NA,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,Durén,B.M.T. Walter,W.Hoehne,NA,"1945","10",NA,Brasil,São Paulo,NA,Forma feminina.,NA,NA,"10",Caieiras,NA,-46.7400016784668,-23.3600006103516,NA,NA,NA,"1995","07","20",NA,NA,"9448",auto,NA,NA,NA,NA,NA,CAIEIRAS,"3509007"
-46.7400016784668,-23.3600006103516,"47",2021-03-01 16:23:25-03,UNICAMP,UEC,"88967",S,Plantae,Magnoliopsida,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,Dusén ex Malme,"Heiden, G","Hoehne, W",SPF11606,"1946","01",NA,Brazil,São Paulo,NA,Forma feminina.,UEC113796,UEC113796,"02",Caieiras,NA,-46.7400016784668,-23.3600006103516,NA,NA,NA,"2010","09",NA,NA,NA,"9448",auto,NA,NA,NA,NA,NA,CAIEIRAS,"3509007"
-46.6300010681152,-23.5400009155273,"58",2021-03-01 16:23:25-03,UNICAMP,UEC,"88966",S,Plantae,Magnoliopsida,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,Dusén ex Malme,"Heiden, G","Hoehne, W",SPF12000,"1946","05",NA,Brazil,São Paulo,NA,Forma feminina.,UEC113795,UEC113795,"16",São Paulo,Cidade Jardim,-46.6300010681152,-23.5400009155273,NA,NA,NA,"2010","09",NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"59",2021-03-01 16:23:25-03,UNICAMP,UEC,"99335",S,Plantae,Magnoliopsida,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,Dusén ex Malme,"Heiden, G","Hoehne, W",SPF11999,"1946","05",NA,Brazil,São Paulo,NA,Forma masculina.,UEC113793,UEC113793,"16",São Paulo,Cidade Jardim.,-46.6300010681152,-23.5400009155273,NA,NA,NA,"2010","09",NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"60",2021-03-01 16:23:25-03,UNICAMP,UEC,"99338",S,Plantae,Magnoliopsida,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,Dusén ex Malme,"Heiden, G","Hoehne, W",SPF11999,"1946","05",NA,Brazil,São Paulo,NA,Forma masculina.,UEC113791,UEC113791,"16",São Paulo,Cidade Jardim.,-46.6300010681152,-23.5400009155273,NA,NA,NA,"2010","09",NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"61",2021-03-01 16:23:25-03,UNICAMP,UEC,"91678",S,Plantae,Magnoliopsida,NA,Asteraceae,Baccharis,sphenophylla,Baccharis sphenophylla,Dusén ex Malme,"Heiden, G","Handro, O","29967","1932","12",NA,Brazil,São Paulo,NA,Flores alvas. Nativa.,UEC113806,UEC113806,"26",São Paulo,Jardim Botânico.,-46.6300010681152,-23.5400009155273,NA,NA,NA,"2010","09",NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
