X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,recordNumber,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,continentOcean,preparationType,previousCatalogNumber,phylum,order,infraspecificEpithet,typeStatus,coordinatePrecision,geoFlag,class,relatedCatalogItem,relationshipType,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-46.618358,-23.646109,"54",2021-03-15 16:37:00-03,NY,NYBG,"501988",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,longipes,Psychotria longipes,Müll.Arg.,J. A. Steyermark,O. Handro,"1931","12","10",Brazil,São Paulo,Sao Paulo,Jardim Botanico,-46.618358,-23.646109,NA,NA,NY00501988,NY00501988_01,NA,NA,NA,"28710",NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631095' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"56",2021-03-15 16:37:00-03,NY,NYBG,"501989",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,longipes,Psychotria longipes,Müll.Arg.,J. A. Steyermark,O. Handro,"1931","12","10",Brazil,São Paulo,Sao Paulo,Jardim Botanico,-46.618358,-23.646109,NA,NA,NY00501989,NY00501989_01,NA,NA,NA,"28710",NA,NA,sheet 2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631096' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.621883,-23.654505,"62",2021-03-15 16:37:00-03,NY,NYBG,"01096293",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,sessilis,Psychotria sessilis,(Vell.) Müll.Arg.,D. C. Zappi,F. de Barros,"1990","11","14",Brazil,São Paulo,NA,"Capital, Reserva Biológica do Parque Estadual das Fontes do Ipiranga",-46.621883,-23.654505,NA,NA,NY01096293,NY01096293_01,NA,NA,NA,"1943",NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236277' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"67",2021-03-15 16:37:00-03,NY,NYBG,"01096294",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,J. H. Kirkbride Jr.,Collector unknown,"1901","10","24",Brazil,São Paulo,Sao Paulo,Horto da Cantareira.,-46.63,-23.5403,NA,NA,NY01096294,NY01096294_01,NA,NA,NA,s.n.,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236278' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"94",2021-03-15 16:37:00-03,NY,NYBG,"502379",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,J. H. Kirkbride Jr.,O. Handro,"1943","12","28",Brazil,São Paulo,Sao Paulo,"Alto da Serra (via ferrea Sao Paulo-Santos), Estaçao Biológica",-46.63,-23.5403,NA,NA,NY00502379,NY00502379_01,NA,NA,NA,s.n.,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604989' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"103",2021-03-15 16:37:00-03,NY,NYBG,"502348",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,P. G. Delprete,O. Handro,"1932","12","05",Brazil,São Paulo,Sao Paulo,Nativa no Jardim Botanico,-46.618358,-23.646109,NA,NA,NY00502348,NY00502348_01,NA,NA,NA,s.n.,NA,NA,Planta viva no. 303 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605001' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.3,-23.75,"124",2021-03-15 16:37:00-03,NY,NYBG,"502372",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,N. A. Rosa,N. A. Rosa,"1980","12","27",Brazil,São Paulo,Santo André,Reserva biológica do alto da serra Paranapiacaba,-46.3,-23.75,NA,NA,NY00502372,NY00502372_01,NA,NA,NA,"3856",NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604980' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.618358,-23.646109,"137",2021-03-15 16:37:00-03,NY,NYBG,"502347",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,NA,O. Handro,"1932","12","05",Brazil,São Paulo,Sao Paulo,Nativa no Jardim Botanico,-46.618358,-23.646109,NA,NA,NY00502347,NY00502347_01,NA,NA,NA,s.n.,NA,NA,Planta viva no. 303 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605000' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.621883,-23.654505,"156",2021-03-15 16:37:00-03,NY,NYBG,"00502344",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,P. G. Delprete,O. Handro,"1931","12","10",Brazil,São Paulo,Sao Paulo,Nativa no parque do Estado e Jardim Botanico,-46.621883,-23.654505,NA,NA,NY00502344,NY00502344_01,NA,NA,NA,s.n.,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605002' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.621883,-23.654505,"159",2021-03-15 16:37:00-03,NY,NYBG,"502401",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,NA,F. C. Hoehne,"1931","11","27",Brazil,São Paulo,Sao Paulo,Parque do Estado,-46.621883,-23.654505,NA,NA,NY00502401,NY00502401_01,NA,NA,NA,s.n.,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604971' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"186",2021-03-15 16:37:00-03,NY,NYBG,"502360",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,J. H. Kirkbride Jr.,F. C. Hoehne,"1930","10","22",Brazil,São Paulo,Sao Paulo,Jardim Botanico,-46.618358,-23.646109,NA,NA,NY00502360,NY00502360_01,NA,NA,NA,"26666",NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605009' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.621883,-23.654505,"205",2021-03-15 16:37:00-03,NY,NYBG,"502345",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,NA,O. Handro,"1931","12","10",Brazil,São Paulo,Sao Paulo,Nativa no parque do Estado e Jardim Botanico,-46.621883,-23.654505,NA,NA,NY00502345,NY00502345_01,NA,NA,NA,s.n.,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605003' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Gentianales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.3,-23.766667,"247",2021-02-08 11:10:07-03,UNESP-IBB,BOTU,"9613",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,"Santos, L.B.","Amaral Jr., A.","1973","08","26",Brasil,São Paulo,Santo André,NA,-46.3,-23.766667,46°18'w,23°46's,BOTU009613,NA,"2008","05","09","1627",NA,NA,"Arbusto com +- 2 m de altura, com frutos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.6300010681152,-23.5400009155273,"341",2021-03-30 12:48:16-03,EAO,IAN,"165848",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,"Zappi, DC","Rosa, NA; Pires, JM","1980","11","21",Brasil,São Paulo,São Paulo,"Arredores do Castelinho do Instituto de Botânica de São Paulo.&nf;Mata de terra firme, relevo ondulado.",-46.6300010681152,-23.5400009155273,NA,NA,IAN165848,NA,"2017","08","23","3833",NA,NA,"Árvore de 7m de altura, 40cm de circunferência; flores em botões verdes.",Southern America,NA,NA,Dicotiledônea,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"354",2020-01-20 14:40:51-03,UPM,MACK,"671",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,F.G. Pereira,R. J. F. Garcia,"2009","04","16",Brasil,SP,São Paulo,"Parque Natural Fazenda do Carmo, campo antropizado em topo de morro",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"2009","12","17","3555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.291667,-23.770833,"355",2019-12-12 15:31:50-03,UFABC,HUFABC,"000593",PreservedSpecimen,Plantae,Rubiaceae,Psychotria,vellosiana,Psychotria vellosiana,Benth.,Bruniera C. P.,"Bruniera, C P; Dutra, L L","2017","09","14",Brasil,São Paulo,Santo André,"Parque Natural Municipal Nascentes de Paranapiacab, Estrada Fford, próximo à Trilha da Água Fria. Borda de Floresta Ombrófila Densa. Vegetação secundária.",-46.291667,-23.770833,"-46.291667","-23.770833",HUFABC000593,HUFABC000593,"2017","09",NA,"932",NA,NA,"Árvore ca. 4m alt., envergada sobre a estrada. Folhas cartáceas, pilosas e discolores. Botões esverdeados. VOUCHER para estudos moleculares.",NA,NA,NA,Angiospermas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
