X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,preparationType,occurrenceRemarks,barcode,imagecode,county,locality,decimalLongitude,decimalLatitude,identifiedBy,minimumElevationInMeters,maximumElevationInMeters,typeStatus,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,fieldNumber,individualCount,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"14",2021-03-15 16:37:00-03,NY,NYBG,"375843",PreservedSpecimen,Plantae,Magnoliophyta,Ericales,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichler) Pierre,A. Rodrigues,"5531","1968","12","12",South America,Brazil,São Paulo,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244301' target='other'> <mi>dwc_moreinfo</mi></a>,NY00375843,NY00375843_01,Sao Paulo,"Serra da Cantareira; Pinheirinho",-46.63,-23.5403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"28",2020-11-04 11:19:37-03,ESALQ,ESA,"75185",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,Pierre,"Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2202.0","2001","04","13",NA,Brasil,São Paulo,NA,NA,ESA075185,ESA075185,São Paulo,NA,-46.6300010681152,-23.5400009155273,"Ivanauskas, N.M.",NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.183333,-23.4,"63",2021-03-01 16:41:10-03,UNICAMP,UEC,"200108",S,Plantae,Magnoliopsida,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichler ex Miq.) Pierre,"Padgurschi, MCG; Belinello, R",M1307,"2009",NA,NA,NA,Brazil,São Paulo,NA,Parcela M - Projeto Biota-FAPESP. Árvore com 17 metros de altura. Frequência da espécie na parcela: n=42,UEC177769,NA,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,NA,"990","1045",NA,"-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.63,-23.54,"88",2013-04-01 09:18:31-03,IPT,BCTW,"14412",S,Plantae,Magnoliophyta,NA,NA,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichler ex Miq.) Pierre,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,NA,Lâmina IF: 697,NA,NA,São Paulo,Horto Florestal,-46.63,-23.54,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,Magnoliopsida,NA,NA,NA,SÃO PAULO,"3550308"
-46.775556,-23.988889,"157",2019-10-07 09:12:57-03,UEFS,HUEFS,"117092",PreservedSpecimen,Plantae,Angiospermae,Ericales,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichler) Pierre,"Farah, F.T.","2202","2001","04","13",NA,Brasil,São Paulo,NA,Floresta Ribeirinha ao longo do Rio Mambu.,HUEFS0117092,HUEFS0117092,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu.",-46.775556,-23.988889,L.C.Fabris,"750","750",NA,46W46'32'',23S59'20'',NA,NA,"2009","06",NA,Asteranae,NA,NA,NA,ITANHAÉM,"3522109"
-45.8400001525879,-23.5300006866455,"163",2019-10-07 09:12:57-03,UEFS,HUEFS,"173456",PreservedSpecimen,Plantae,Angiospermae,Ericales,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichler) Pierre,"Souza, F.M.","491",NA,NA,NA,NA,Brasil,São Paulo,NA,Floresta Ombrófila Densa Montana.,HUEFS0173456,HUEFS0173456,Salesópolis,"Parque Estadual da Serra do Mar, estrada intermediária da PETROBRAS, trilha da Torre (SABESP);",-45.8400001525879,-23.5300006866455,NA,"1312","1312",NA,NA,NA,"18032",auto,NA,NA,NA,Asteranae,NA,NA,NA,SALESÓPOLIS,"3545001"
-47.004408,-23.755951,"175",2019-01-25 15:37:12-02,IAC,IAC,"43363",S,Plantae,NA,NA,Sapotaceae-3.Chrysophylloideae,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichler ex Miq.) Pierre,E.L.M. Catharino,s/nº,NA,NA,NA,NA,Brasil,São Paulo,NA,NA,NA,NA,Cotia,"Morro Grande, Reserva, área Quilombo, indivíduo 94.4",-47.004408,-23.755951,E.L.M. Catharino,NA,NA,NA,"-47.004408","-23.755951",NA,NA,NA,NA,NA,NA,NA,NA,NA,COTIA,"3513009"
-45.8400001525879,-23.5300006866455,"223",2021-03-04 15:42:58-03,IF,SPSF,"34167",PreservedSpecimen,Plantae,Magnoliophyta,Ericales,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,Pierre,F. M. Souza & M. T. Z. Toniato & D.Souza,"491","2005","02","23",América do Sul,Brasil,SP,NA,"COLETA: XLS: SPSFNovo; Árvore ca. 19 m, botões verdes. Látex branco.; GEOGRAFIA: Trilha da Torre (SABESP). Floresta Ombrófila Densa Montana.&nf;UTM: X=429146 Y=7386493;",NA,NA,Salesópolis,Parque Estadual da Serra do Mar,-45.8400001525879,-23.5300006866455,N. M. Ivanauskas,"1312","1312",NA,NA,NA,"18032",auto,"2005","03","05",Magnoliopsida,NA,NA,NA,SALESÓPOLIS,"3545001"
-46.6300010681152,-23.5400009155273,"225",2021-03-04 15:42:58-03,IF,SPSF,"29568",PreservedSpecimen,Plantae,Magnoliophyta,Ericales,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,NA,F.T.Farah,"2202","2001","04","13",América do Sul,Brasil,SP,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutú",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,Magnoliopsida,NA,NA,NA,SÃO PAULO,"3550308"
-47.1,-23.966667,"227",2021-03-04 15:42:58-03,IF,SPSF,"39098",PreservedSpecimen,Plantae,Magnoliophyta,Ericales,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,Pierre,R.T. Polisel,"417","2006","02","20",América do Sul,Brasil,SP,NA,"COLETA: Árvore 8 m, flores castanhas.;",NA,NA,Juquitiba,Estrada para o Recanto Maria Tereza,-47.1,-23.966667,G.A.D.C. Franco,NA,NA,NA,NA,NA,NA,NA,"2007","03","01",Magnoliopsida,NA,NA,NA,JUQUITIBA,"3526209"
