X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,imagecode,coordinatePrecision,geoFlag,dayIdentified,class,minimumElevationInMeters,maximumElevationInMeters,individualCount,typeStatus,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-46.9099998474121,-23.6000003814697,"23",2019-08-20 10:06:45-03,UNICAMP,UEC,"169731",S,Plantae,Magnoliopsida,NA,Asteraceae,Stifftia,fruticosa,NA,Stifftia fruticosa,(Vell.) D.J.N.Hind & Semir,"Monge, M","Monge, M","927","2009","11",NA,NA,Brazil,São Paulo,Cotia,"Caucaia do alto, próximo a reserva do Morro Grande. Na frente da casa do Mario e do padre.",-46.9099998474121,-23.6000003814697,NA,NA,UEC100123,"2009","11",NA,NA,UEC100123,"23869",auto,NA,NA,NA,NA,NA,NA,NA,COTIA,"3513009"
-46.6361,-23.5475,"62",2019-01-25 15:38:48-02,IAC,IAC,"7539",S,Plantae,NA,NA,Asteraceae,Stifftia,fruticosa,NA,Stifftia fruticosa,(Vell.) D.J.N.Hind & Semir,M. Monge,M. Koscinski,s/nº,"1936","07","15",NA,Brasil,São Paulo,São Paulo,Horto Florestal de São Paulo,-46.6361,-23.5475,NA,"SYNTYPUS: Stifftia grazielae Leitão - Bragantia, 29(16): 176 (1970). Material recebido do Sr. Bento Pickel em 27 de julho de 1944. Nome popular: rabo-de-cotia, jambeiro-do-mato, esponjeira e diadema",NA,"2010","05","-46.6361","-23.5475",NA,NA,NA,"15",NA,NA,NA,NA,Síntipo,NA,SÃO PAULO,"3550308"
