X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,county,coordinatePrecision,geoFlag,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,class,fieldNumber,typeStatus,individualCount,NM_MUNICIP,CD_GEOCMU
-45.88,-23.1703,"8",2021-03-15 16:37:00-03,NY,NYBG,"396831",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,angustifolia,Declieuxia cordigera angustifolia,Müll.Arg.,J. H. Kirkbride Jr.,I. Mimura,"151","1961","12","20",South America,Brazil,São Paulo,6-6.5 km ao SW ao longo da rodovia Pres. Dutra da saida para Sao José. 100-500 m ao lado SE da rodovia,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733045' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396831,NY00396831_01,-45.88,-23.1703,"600","600",Sao José dos Campos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.88,-23.1703,"11",2021-03-15 16:37:00-03,NY,NYBG,"396832",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,angustifolia,Declieuxia cordigera angustifolia,Müll.Arg.,J. H. Kirkbride Jr.,I. Mimura,"151","1961","12","20",South America,Brazil,São Paulo,6-6.5 km ao SW ao longo da rodovia Pres. Dutra da saida para Sao José. 100-500 m ao lado SE da rodovia,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733046' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396832,NY00396832_01,-45.88,-23.1703,"600","600",Sao José dos Campos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-46.63,-23.5403,"24",2021-03-15 16:37:00-03,NY,NYBG,"396834",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,angustifolia,Declieuxia cordigera angustifolia,Müll.Arg.,J. H. Kirkbride Jr.,H. Luederwaldt,"11699","1907","05","25",South America,Brazil,São Paulo,Ipiranga,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733048' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396834,NY00396834_01,-46.63,-23.5403,NA,NA,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.724373,-23.565521,"29",2021-03-15 16:37:00-03,NY,NYBG,"396830",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,angustifolia,Declieuxia cordigera angustifolia,Müll.Arg.,J. H. Kirkbride Jr.,J. Vidal,III177,"1949","10","01",South America,Brazil,São Paulo,Butantan,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733037' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396830,NY00396830_01,-46.724373,-23.565521,NA,NA,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.88,-23.1703,"33",2021-03-15 16:37:00-03,NY,NYBG,"396833",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,angustifolia,Declieuxia cordigera angustifolia,Müll.Arg.,J. H. Kirkbride Jr.,I. Mimura,"121","1961","11","24",South America,Brazil,São Paulo,"Uma área disjuntiva de cerrado, de várias centenas de km2, rodeada antigamente por mata. Ca. 9 km SSE em linha reta da praça principal de Sao José Dos Campos",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733044' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396833,NY00396833_01,-45.88,-23.1703,"660","660",Sao José dos Campos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-47.45,-23.5,"37",2021-03-15 16:37:00-03,NY,NYBG,"396820",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,cordigera,Declieuxia cordigera cordigera,Mart. & Zucc. ex Schult. & Schult.f.,L. B. Smith,S. Machado,"79","1959","09","20",South America,Brazil,São Paulo,Km 120 estrada S. Paulo-Itapetininga,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710349' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396820,NY00396820_01,-47.45,-23.5,NA,NA,Sorocaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOROCABA,"3552205"
-46.543068,-23.587347,"39",2016-11-01 12:35:00-02,NY,NYBG,"396839",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,angustifolia,Declieuxia cordigera angustifolia,Müll.Arg.,J. H. Kirkbride Jr.,A. C. Brade,"12863","1933","12","01",South America,Brazil,São Paulo,Vila Ema,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733030' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396839,NY00396839_01,-46.543068,-23.587347,NA,NA,Piracicaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.621883,-23.654505,"42",2021-03-15 16:37:00-03,NY,NYBG,"396835",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,angustifolia,Declieuxia cordigera angustifolia,Müll.Arg.,J. H. Kirkbride Jr.,F. C. Hoehne,"28541","1931","11","27",South America,Brazil,São Paulo,Parque do Estado,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733042' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396835,NY00396835_01,-46.621883,-23.654505,NA,NA,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.88,-23.1703,"46",2021-03-15 16:37:00-03,NY,NYBG,"396824",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Declieuxia,cordigera,angustifolia,Declieuxia cordigera angustifolia,Müll.Arg.,J. H. Kirkbride Jr.,I. Mimura,"169","1961","12","30",South America,Brazil,São Paulo,7.4-7.7 km ao SSE em linha reta da praça principal de Sao Jose Dos Campo. 400-800 m ao oeste da estrada para Paraibuna.,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733043' target='other'> <mi>dwc_moreinfo</mi></a>,NY00396824,NY00396824_01,-45.88,-23.1703,"600","640",Sao José dos Campos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.8800010681152,-23.1700000762939,"99",2020-11-04 12:15:58-03,ESALQ,ESA,"138873",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Declieuxia,cordigera,NA,Declieuxia cordigera,Mart. & Zucc. ex Schult. & Schult.f.,"Souza, V.C.","Souza, V.C. & Flores, T.B.","40560.0","2017","03","30",NA,Brasil,São Paulo,Estrada Putim-Tamoios. Cerrado.,NA,"Subarbusto, ca. 30 cm alt.; corola violeta-azulada.",ESA138873,NA,-45.8800010681152,-23.1700000762939,NA,NA,São José dos Campos,"39297",auto,"2017","-45,845,306","-23,247,611","03","30",NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
