X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,phylum,order,recordNumber,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,individualCount,geoFlag,continentOcean,preparationType,previousCatalogNumber,imagecode,infraspecificEpithet,class,relatedCatalogItem,relationshipType,typeStatus,fieldNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"21",2021-03-15 16:37:00-03,NY,NYBG,"445803",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,N. A. Rosa,NA,NA,NA,N. A. Rosa,"1980","11","15",Brazil,São Paulo,Sao Paulo,Reserva do Instituto de Botânica de Sao Paulo,-46.63,-23.5403,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57031' target='other'> <mi>dwc_moreinfo</mi></a>,NY00445803,Magnoliophyta,Myrtales,"3718",NA,NA,NA,NA,NA,South America,sheet,NA,NY00445803_01 NY00445803_02,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"201",2020-01-20 14:40:34-03,UPM,MACK,"3376",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A. St. -Hil,NA,NA,NA,NA,M. Ramos,"2011","09","21",Brasil,SP,São Paulo,Subprefeitura da Vila Mariana,-46.6300010681152,-23.5400009155273,NA,NA,NA,"HMACK00003376-M.Ramoss/n-21/9/2011,SubprefeituradaVilaMariana,SãoPaulo,SP,Brasil",NA,NA,s/n,"53584",NA,NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"202",2020-01-20 14:40:34-03,UPM,MACK,"431",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A. St.-Hil.,F. S. Siqueira,"2009","10","14",C.P. Santos,"2009","08","05",Brasil,SP,São Paulo,Parque Jardim Felicidade,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,PJF 78,"53584",NA,NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"277",2020-11-04 11:12:26-03,ESALQ,ESA,"93436",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,St.Hil.,"Kirizawa, M.",NA,NA,NA,"Kirizawa, M. et al.","1977","11","17",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,ESA093436,Magnoliophyta,NA,"310.0","53584",NA,NA,NA,auto,NA,NA,NA,ESA093436,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.8800010681152,-23.1800003051758,"319",2020-11-04 11:12:26-03,ESALQ,ESA,"107496",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,NA,"Prata, E.M.B.",NA,NA,NA,"Lombardi, J.A.","2007","12","04",Brasil,São Paulo,Jundiaí,NA,-46.8800010681152,-23.1800003051758,NA,NA,NA,ESA107496,Magnoliophyta,NA,"7023.0","17840",NA,NA,NA,auto,NA,NA,NA,ESA107496,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-47.5200004577637,-23.2099990844727,"326",2020-11-04 11:12:26-03,ESALQ,ESA,"63930",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,"Rodrigues, R.R. & Bufo, L.V.B.",NA,NA,NA,"Bufo, L.V.B. ; Sabadim, P.C.",NA,NA,NA,Brasil,São Paulo,Porto Feliz,NA,-47.5200004577637,-23.2099990844727,NA,NA,NA,ESA063930,Magnoliophyta,NA,"68.0","19715",NA,NA,NA,auto,NA,NA,NA,ESA063930,NA,NA,NA,NA,NA,NA,NA,PORTO FELIZ,"3540606"
-46.6300010681152,-23.5400009155273,"378",2019-02-15 11:44:40-02,IPA,IPA,"9875",S,Plantae,Lythraceae,Lafoensia,densiflora,Lafoensia densiflora,Pohl,"Pickel, B.",NA,NA,NA,Aloísio,"1941","12","23",Brasil,São Paulo,São Paulo,Horto Florestal,-46.6300010681152,-23.5400009155273,NA,NA,"Cálice em forma d copo coriáceo, por fora verde com manchas roxas ou púrpura, por dentro verde, depois púrpura, pétalas 10 bancas (amarelas quando sêcas), estames longos, enrolados, brancos.",IPA0009875,Plantae,NA,"5621","53584",NA,NA,NA,auto,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"457",2021-01-19 19:27:21-03,UFJF,CESJ,"49",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A. St.-Hil.,NA,NA,NA,NA,L. Krieger,"1941","12",NA,Brasil,São Paulo,São Paulo,Santo Amaro,-46.6300010681152,-23.5400009155273,NA,NA,"N.v.: Pocari, copinho. Árvore pequena, flores brancas grandes; abrem à tarde. Estames longos.",CESJ000049,Angiosperma,NA,CESJ49,"53584",NA,NA,NA,auto,América do Sul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"574",2019-08-20 10:17:15-03,UNICAMP,UEC,"93118",S,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,NA,NA,NA,NA,"Kuhlmann, M","1933","11","30",Brazil,São Paulo,São Paulo,"Horto do Museu Paulista,",-46.6300010681152,-23.5400009155273,NA,NA,NA,UEC159791,Magnoliopsida,NA,s.n.,"53584",NA,NA,NA,auto,NA,NA,NA,UEC159791,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"575",2021-03-01 16:33:16-03,UNICAMP,UEC,"93116",S,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,"Kirizawa, M","1980","11","28","Kirizawa, M; Noffs, LB; Wanderley, MBL; Goes, M","1977","12","15",Brazil,São Paulo,São Paulo,"Parque Estadual das Fontes do Ipiranga, Jardim Botânico.",-46.6300010681152,-23.5400009155273,NA,NA,"Área 6: planta n#?#º143A. Altura de 6,0 metros, folhas novas vermelhas e pétalas creme.",UEC159790,Magnoliopsida,NA,"317","53584",NA,NA,NA,auto,NA,NA,NA,UEC159790,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
